报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,32038.89,77237.83,125753.55,236310.06,55666.78,94479.43,130565.6,199782.67,70548.23,122638.73,176978.24,171261.28,65485.22,136024.31,275704.86,429269.72,181838.06,632942.63,952371.8,1219237.64,198203.38,676819.07,717053.47,1021740.02,124278.55,438370.27,730103.1,843293.07,110128.87,246376.11,395006.05,501016.51,200227.53,469122.49,595102.14,728317.81,84364.37,195351.67,346621.77,419075.24,132530.24,292640.57,527136.63,781448.25,217590.92,534299.36,846355.02,1167602.07,314450.68,796812.97,1206237.42
收到的税费返还,345.15,608.5,1741.58,2265.8,667.06,671.98,1193.42,363.94,182.56,292.0,506.6,559.21,326.45,141.98,463.45,433.2,129.55,783.48,872.46,505.91,265.52,302.73,694.74,880.72,83.18,1846.4,1887.12,2060.86,168.14,743.05,766.18,1620.57,800.71,1056.54,1524.71,4712.79,536.79,1106.14,1689.69,6436.74,1118.96,4144.26,5263.31,17085.17,884.45,2367.63,3188.1,4462.3,432.75,997.93,2067.38
收到的其他与经营活动有关的现金,483.75,1831.85,2670.38,11547.67,1647.38,5701.82,7249.35,26999.68,3065.44,4973.06,27804.08,48882.0,3136.94,5557.72,9584.48,19566.1,6694.98,7148.6,8688.36,18860.17,7201.75,12805.59,17092.69,66711.37,5497.43,14526.27,20386.66,103858.07,4923.05,10501.35,14831.44,40621.28,5510.85,30726.62,36521.38,47467.49,5351.52,16997.05,23964.97,38845.03,4656.14,14539.87,20231.06,32190.79,6376.94,15260.25,21401.94,26698.88,10893.51,28884.89,39466.16
经营活动现金流入小计,32867.79,79678.18,130165.52,250123.53,57981.22,100853.22,139008.37,227146.3,73796.22,127903.79,205288.92,220702.49,68948.62,141724.01,285752.79,449269.03,188662.6,640874.72,961932.62,1238603.72,205670.64,689927.39,734840.89,1089332.11,129859.17,454742.95,752376.89,949212.0,115220.06,257620.51,410603.68,543258.36,206539.08,500905.65,633148.23,780498.09,90252.69,213454.87,372276.42,464357.0,138305.34,311324.69,552631.0,830724.22,224852.31,551927.25,870945.07,1198763.25,325776.94,826695.78,1247770.96
购买商品、接受劳务支付的现金,18187.74,39406.38,62116.72,149129.87,38877.81,68556.69,86740.34,154689.38,37053.73,65684.24,163523.02,158775.0,37409.28,52087.81,144825.89,202651.26,67691.49,362131.73,431266.06,654866.29,112540.98,257397.22,323738.75,687578.98,101938.34,248031.3,388629.78,594911.14,60542.23,150861.52,227051.53,305972.13,81382.99,169755.73,257993.26,331779.58,45893.5,78756.83,140051.78,286298.85,99350.49,217260.34,364336.41,842129.73,111070.47,536064.35,827487.69,1080505.77,240591.94,700610.26,1084279.81
支付给职工以及为职工支付的现金,3252.4,5848.88,9230.97,17136.06,5357.78,10523.34,18717.51,25752.46,8202.31,15637.58,23829.29,36372.63,10864.02,19359.78,33458.67,47173.57,13942.1,28348.52,48170.86,63896.76,18385.44,35003.12,54196.55,76775.64,22001.38,39264.48,57238.0,81212.04,22664.6,41642.24,62436.62,83872.38,21612.17,41972.47,59673.56,82262.1,19559.07,38805.02,58675.16,79437.56,21338.53,42896.07,62548.5,84755.97,22505.46,40539.56,66500.91,95348.21,24272.74,47653.07,70594.47
支付的各项税费,6231.85,14809.38,22969.86,29654.69,8792.92,22336.12,31577.28,38098.42,14546.22,21346.41,28389.38,36642.17,14407.79,32006.52,56935.89,82797.23,40191.27,119176.37,262372.12,289720.9,136117.14,252289.05,320691.7,339410.43,36242.38,53025.64,73741.85,95122.59,15299.87,29787.6,40429.1,50743.24,17691.31,44918.94,55060.48,69345.0,7431.51,20986.37,36291.63,54602.2,14192.34,27037.49,45779.45,55483.8,11774.98,38243.3,46155.69,55979.49,18702.55,30149.62,45628.8
支付的其他与经营活动有关的现金,1766.37,3764.28,6201.07,24307.39,1767.39,8138.27,11051.18,29022.71,3752.39,9823.69,11424.26,8699.99,3567.05,6185.6,12867.48,22303.22,4117.81,7561.12,9023.88,35339.0,5426.16,9269.98,12677.45,83856.55,7530.68,14177.21,21041.55,64504.59,13381.75,29013.52,38722.33,32935.49,8915.51,15857.3,23476.75,26261.5,6778.22,10225.76,38956.29,33922.91,8855.56,14978.24,25850.74,29276.19,9016.02,13148.77,21453.0,36831.34,10276.08,11983.63,21614.0
经营活动现金流出小计,29438.36,63828.92,100518.62,220228.02,54795.89,109554.42,148086.3,247562.96,63554.65,112491.93,227165.95,240489.8,66248.14,109639.71,248087.92,354925.27,125942.67,517217.74,750832.92,1043822.95,272469.72,553959.37,711304.45,1187621.6,167712.78,354498.63,540651.18,835750.36,111888.45,251304.88,368639.58,473523.23,129601.98,272504.43,396204.05,509648.18,79662.29,148773.98,273974.86,454261.51,143736.92,302172.15,498515.1,1011645.69,154366.94,627995.98,961597.29,1268664.81,293843.31,790396.59,1222117.08
经营活动产生的现金流量净额,3429.43,15849.26,29646.89,29895.51,3185.33,-8701.2,-9077.93,-20416.66,10241.57,15411.86,-21877.03,-19787.3,2700.48,32084.3,37664.87,94343.76,62719.93,123656.98,211099.7,194780.77,-66799.08,135968.02,23536.44,-98289.49,-37853.61,100244.31,211725.7,113461.64,3331.61,6315.63,41964.1,69735.13,76937.1,228401.21,236944.18,270849.92,10590.4,64680.88,98301.57,10095.5,-5431.58,9152.54,54115.91,-180921.47,70485.37,-76068.73,-90652.23,-69901.56,31933.63,36299.19,25653.89
