报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,343360.42,714532.01,1170356.61,1688901.87,499576.0,870657.64,1381487.22,1930349.71,423365.68,765755.48,1183837.69,1672164.72,481259.15,903499.34,1407409.43,1925567.89,465413.13,958643.74,1562919.08,2052780.71,549885.52,1331218.84,2036912.99,2719946.91,585615.07,1354684.35,2093197.97,2827937.09,620319.16,1352519.55,2134523.2,2863654.81,708923.86,1436292.3,2217251.73,2872980.09,650393.93,1336194.22,2074336.08,2814265.18,759604.25,1536732.31,2790338.14,3611610.53,728831.52,1492872.66,2517632.87,3440765.45,734317.46,1554971.38,2469168.39,3367129.27,575563.83,1320400.09,2247483.39
收到的税费返还,570.96,1953.79,2436.27,2794.23,462.65,2065.56,2416.58,0.0,0.0,6974.54,6990.44,0.0,0.0,1891.76,2681.32,2551.09,0.0,0.0,73.74,14.33,3439.53,13774.91,27183.56,43831.44,3071.64,23879.64,34586.04,44323.31,14874.63,23855.48,43875.36,55332.18,12005.65,28495.01,40633.65,56935.45,2555.04,9031.31,9904.76,12984.15,1191.67,1964.55,2873.11,3806.84,967.67,2064.46,4412.74,5399.77,1381.38,2642.63,3761.47,4910.83,2101.59,7828.19,53500.42
收到的其他与经营活动有关的现金,303566.98,77882.08,346777.13,286332.47,248379.99,254483.07,642022.21,369994.99,94146.86,104032.24,160816.12,265729.6,133444.48,165670.57,326159.42,418473.24,98789.3,220126.37,325249.93,397659.6,119579.61,297017.56,453926.29,443905.3,79552.89,331581.89,488511.42,590166.16,107624.16,286028.03,329063.02,528887.31,55878.03,153925.34,244324.93,353461.83,37452.32,147708.22,213496.46,311358.43,97398.66,199607.92,285109.11,398779.77,93052.36,152155.2,269007.24,402780.35,65774.71,157733.75,280670.0,337631.13,152818.72,373092.8,544803.52
经营活动现金流入小计,647498.36,794367.88,1519570.02,1978028.57,748418.65,1127206.27,2025926.01,2300344.7,517512.54,876762.27,1351644.25,1937894.32,614703.63,1071061.67,1736250.18,2346592.23,564202.44,1178770.11,1888242.75,2450454.63,672904.66,1642011.3,2518022.83,3207683.65,668239.6,1710145.87,2616295.43,3462426.56,742817.96,1662403.07,2507461.57,3447874.3,776807.54,1618712.65,2502210.32,3283377.36,690401.3,1492933.74,2297737.3,3138607.76,858194.59,1738304.78,3078320.36,4014197.15,822851.55,1647092.32,2791052.85,3848945.57,801473.55,1715347.76,2753599.87,3709671.23,730484.15,1701321.08,2845787.33
购买商品、接受劳务支付的现金,123551.62,237555.36,434757.09,601586.77,242613.44,282229.5,476516.05,663754.83,166674.44,237167.88,354053.82,653515.49,210111.91,344920.89,579417.26,657957.03,173738.32,340249.05,575056.58,712863.24,226779.27,693855.43,1088977.86,1464584.05,282640.94,658301.16,992068.01,1379613.6,275581.39,625215.36,999202.29,1230780.51,322639.45,595882.66,962125.19,1167155.89,288558.21,589918.17,1009357.33,1598342.01,375866.91,733265.35,1223430.47,1689970.05,354405.63,763766.6,1283218.5,1870859.05,404658.62,776316.8,1205234.5,1698311.84,373971.53,670616.29,1063018.36
支付给职工以及为职工支付的现金,61738.87,121693.27,184528.78,267101.18,61332.73,124294.31,195723.39,299459.29,71572.22,140877.94,221752.64,327656.99,75965.83,145954.66,224727.76,346109.76,80969.34,151023.05,233349.27,360193.34,84702.82,160140.5,248910.24,379413.35,84091.03,170257.33,267650.75,391688.71,84197.08,172599.85,261218.56,508281.82,112192.22,256377.29,387915.39,580064.67,132403.28,259635.93,397773.5,603463.98,168296.13,325048.11,477212.27,660954.7,164056.16,344732.61,489361.65,715175.97,153189.0,331078.39,470100.06,670100.19,138739.34,294658.35,434068.21
支付的各项税费,31144.04,69828.62,103786.74,133927.61,36048.43,82851.03,142856.62,188953.65,32130.5,74269.43,105187.29,133567.44,24541.18,79843.91,129944.24,159540.3,60151.12,109242.81,161594.39,199285.91,59825.36,128286.79,197453.37,250902.28,92894.23,167240.82,237624.26,301096.7,66257.58,144156.82,218670.1,243508.0,98513.22,218468.1,292099.89,328754.94,104334.9,193183.86,262716.57,279421.45,129828.36,202181.3,326763.47,367918.2,91743.41,206203.77,321504.32,345241.86,233875.13,340300.61,420218.95,452486.25,111698.46,178767.78,269276.45
支付的其他与经营活动有关的现金,404026.22,144617.81,424402.88,466964.69,524634.53,538497.37,1087047.11,830283.55,366462.08,371629.97,448659.26,699705.26,174498.19,216257.62,289615.59,361052.95,143216.99,255716.57,370201.9,454474.25,149273.48,211325.01,425660.05,458617.4,75936.69,278790.8,550923.47,528759.74,96313.13,228504.42,292385.83,444419.72,45669.57,89279.91,167250.57,240665.2,267185.26,290567.23,352690.25,453787.74,104842.47,155068.54,209387.33,334281.15,206714.33,180228.33,263252.74,346653.32,53314.61,108756.37,259903.49,271469.86,126032.21,254429.01,415251.5
经营活动现金流出小计,620460.75,573695.06,1147475.49,1469580.26,864629.13,1027872.23,1902143.17,1982451.32,636839.23,823945.21,1129653.01,1814445.19,485117.12,786977.08,1223704.86,1524660.04,458075.77,856231.48,1340202.15,1726816.75,520580.93,1193607.73,1961001.51,2553517.08,535562.89,1274590.11,2048266.49,2601158.75,522349.17,1170476.46,1771476.78,2426990.05,579014.46,1160007.97,1809391.03,2316640.7,792481.66,1333305.18,2022537.64,2935015.18,778833.87,1415563.3,2236793.54,3053124.11,816919.53,1494931.3,2357337.21,3277930.2,845037.36,1556452.17,2355457.0,3092368.13,750441.54,1398471.44,2181614.53
经营活动产生的现金流量净额,27037.61,220672.82,372094.53,508448.32,-116210.48,99334.04,123782.84,317893.38,-119326.7,52817.05,221991.24,123449.14,129586.51,284084.6,512545.32,821932.18,106126.66,322538.62,548040.6,723637.89,152323.73,448403.57,557021.32,654166.57,132676.71,435555.76,568028.94,861267.81,220468.78,491926.61,735984.78,1020884.25,197793.08,458704.68,692819.29,966736.66,-102080.36,159628.56,275199.66,203592.58,79360.73,322741.48,841526.82,961073.04,5932.02,152161.02,433715.65,571015.37,-43563.81,158895.59,398142.86,617303.1,-19957.39,302849.64,664172.8
收回投资所收到的现金,4013.71,43172.34,67087.57,49353.5,34.4,12713.09,14072.0,14566.63,73065.0,82671.98,79274.14,78511.54,468.95,1118.95,526.79,2175.54,296.9,707.41,787.16,7119.56,2590.22,2592.61,2590.51,2795.39,0.0,0.0,150000.0,150000.0,0.0,0.0,0.0,2562.33,0.0,4504.29,5027.34,71774.7,857.88,1769.84,5472.19,47481.1,3669.12,120876.4,115189.37,130673.77,36532.51,328964.27,343053.38,446189.7,29718.54,29232.38,48042.37,62300.4,18796.44,29011.17,47689.44
取得投资收益所收到的现金,4907.5,14310.08,18094.2,15849.75,1378.62,5945.38,11348.9,14456.44,584.01,5401.95,8982.25,15007.51,1071.57,5041.49,13075.57,17348.51,318.4,11962.6,16343.83,17121.54,665.97,6483.16,20231.48,20831.1,645.43,7781.62,65748.51,66093.21,210.99,510.66,17003.72,21317.32,14.88,14449.24,44350.26,49192.94,37.88,3484.24,45807.49,31715.38,202032.03,206691.05,266332.96,335437.38,8974.43,11055.72,100555.89,111434.72,1178.37,5802.84,115956.5,120547.27,69473.24,84214.95,205446.72
处置固定资产、无形资产和其他长期资产所收回的现金净额,677.72,1385.54,3154.2,6023.09,1025.22,84307.5,88337.12,94265.8,4042.18,6099.43,7501.36,58734.65,1368.99,15639.84,16053.83,47075.63,59417.45,61134.45,63021.68,63505.43,1141.05,1572.3,45143.53,3065.53,1832.85,2210.06,2782.31,4707.43,538.86,4285.5,17550.61,24051.99,2651.58,7612.16,10171.53,18327.73,12995.26,18422.18,34992.86,114197.83,9781.32,18567.56,26917.58,22757.17,624.06,1617.16,6833.14,10525.87,4023.71,6578.08,15870.89,15706.75,461.95,847.01,2481.03
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.79,389.75,184.59,0.0,64.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144628.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265513.86,0.0,10567.29,10567.29,10567.29,0.0,0.0,0.0
收到的其他与投资活动有关的现金,62419.38,56838.04,56837.02,68980.03,0.0,5573.62,5543.42,6076.68,0.0,0.0,45.35,0.0,0.0,0.0,0.0,750.0,0.0,1983.18,1983.18,1983.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1512.2,1519.15,11446.78,61.18,0.0,0.0,0.0,0.0,0.0,0.0,7209.77,0.0,0.0,0.0,5900.2,120.44,1809.78,1809.78,125.09,0.0,0.0,5.0,138236.19,8465.58,46067.03,240946.11
投资活动现金流入小计,72018.31,115706.01,145173.0,140206.37,2438.24,108539.6,119301.44,129365.56,77691.2,94275.14,96192.85,152438.29,2909.51,21864.49,29656.19,67349.68,60032.74,75787.65,82135.85,89729.71,4397.24,10648.06,67965.53,26692.02,2478.28,9991.68,218530.82,220800.65,2249.85,6308.35,36073.49,204006.51,2727.64,26565.69,59549.13,139295.37,13891.02,23676.26,86272.54,200604.09,215482.47,346135.01,408439.91,494768.52,46251.43,343446.93,452252.19,1833789.23,34920.62,52180.59,190442.05,347357.91,97197.22,160140.15,496563.31
购建固定资产、无形资产和其他长期资产所支付的现金,54322.44,122863.94,154433.01,290094.87,64820.46,151293.51,208897.74,316686.97,33810.19,80740.37,141632.47,206286.28,46766.06,118866.27,168247.25,309513.97,47904.73,81317.97,137137.99,222361.92,51561.83,89834.97,177731.64,163865.46,40350.03,161862.8,197761.46,259266.1,26266.29,139992.8,161512.22,191455.19,41401.78,64960.63,98555.57,125725.54,46627.9,116001.78,149074.26,188853.87,92537.83,119791.9,141076.43,203953.57,19283.05,38666.03,91788.2,143490.49,20140.7,69426.39,117098.91,257569.56,43623.07,156492.61,210481.53
