报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,109361.93,106797.14,99293.43,102035.97,41896.86,62580.21,96021.76,5470.67,44706.09,61876.45,95664.77,22055.18,56925.79,117283.05,163878.81,31351.65,88243.02,100328.35,168677.43,38357.6,112410.07,142043.11,280150.81,33383.24,88620.77,156076.02
收到的税费返还,363.02,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,0.0,0.0,0.0,0.0,211.55,232.51,16.57,0.0,4142.8,4126.79,0.0,0.0,0.0,6727.13,1585.07,9617.38,20267.23
收到的其他与经营活动有关的现金,12413.43,3282.64,3137.4,1702.6,2148.47,2882.95,3299.05,1919.62,1883.88,3677.92,2321.25,3688.73,2381.22,50915.59,9116.69,1273.01,4930.48,16642.91,18781.44,5725.84,13390.73,33831.6,44096.83,18460.4,22391.51,41461.19
经营活动现金流入小计,122138.38,110079.77,102430.83,103738.57,44045.32,65463.17,99323.37,7390.29,46589.97,65554.37,97986.02,25743.91,59307.01,168410.19,173228.01,32641.24,93173.5,121114.06,191585.66,44083.43,125800.8,175874.7,330974.77,53428.71,120629.66,217804.44
购买商品、接受劳务支付的现金,83796.2,81906.79,67545.16,67761.94,25394.72,40225.6,56416.86,3556.16,33517.98,43157.93,60752.46,21608.85,42830.46,68306.42,102254.53,32782.76,73153.53,97088.9,111395.03,31665.53,78390.09,102156.51,157979.48,27092.68,50064.19,121796.86
支付给职工以及为职工支付的现金,5836.14,6403.97,7324.24,7598.61,4778.84,6944.31,9496.07,3994.48,5630.25,7820.37,10348.68,3449.63,5851.52,13608.86,19010.84,5904.08,12110.5,17209.4,25465.58,9163.08,10751.34,18189.35,33783.12,10127.89,18140.62,29668.94
支付的各项税费,7064.02,6350.82,7588.06,8774.15,3475.86,5280.78,7655.27,3081.31,4156.18,6556.42,8811.17,3233.05,4650.13,14272.86,17524.83,7684.08,12963.89,20710.18,22053.52,7035.23,14405.8,17489.75,26485.9,6783.92,15268.5,18977.68
支付的其他与经营活动有关的现金,11620.15,4578.93,5360.86,4660.3,4311.36,4728.23,7070.94,537.19,4155.62,4846.76,6970.4,1073.32,2527.23,15617.58,8390.15,6432.05,6215.81,14760.91,15569.43,3802.43,10546.45,17493.14,36396.58,5987.52,17060.09,21106.98
经营活动现金流出小计,108316.51,99240.51,87818.32,88795.0,37960.78,57178.92,80639.14,11169.13,47460.03,62381.48,86882.7,29364.85,55859.34,111805.72,147180.35,52802.97,104443.73,149769.39,174483.57,51666.26,114093.68,155328.75,254645.07,49992.0,100533.4,191550.46
经营活动产生的现金流量净额,13821.87,10839.26,14612.51,14943.57,6084.54,8284.25,18684.22,-3778.84,-870.05,3172.88,11103.31,-3620.93,3447.67,56604.47,26047.66,-20161.74,-11270.23,-28655.33,17102.09,-7582.83,11707.12,20545.96,76329.7,3436.71,20096.26,26253.98
收回投资所收到的现金,0.0,0.0,0.0,4857.0,13100.0,12442.0,13627.0,500.0,4630.0,10025.0,10025.0,7100.0,7600.0,10180.0,31690.0,11500.0,26100.0,35500.0,39500.0,8000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0
