报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
一、营业总收入,19621.92,25287.13,33213.94,39118.93,8215.01,21592.97,34133.36,47027.72,9404.39,24557.46,37820.28,51807.83,10235.14,26039.5,38616.64,53680.74,10533.97,22808.29
营业收入,19621.92,25287.13,33213.94,39118.93,8215.01,21592.97,34133.36,47027.72,9404.39,24557.46,37820.28,51807.83,10235.14,26039.5,38616.64,53680.74,10533.97,22808.29
二、营业总成本,17850.71,22879.19,29595.16,35047.44,7624.85,19599.22,30768.47,42209.72,8675.88,22090.09,33744.05,46434.85,9526.46,23501.55,34231.05,47955.63,9719.2,20562.29
营业成本,16406.62,21058.22,26588.49,30806.19,6406.05,17110.39,27234.9,37377.26,7436.25,19415.96,29684.71,40803.18,7817.84,19576.19,28096.24,39441.89,7551.13,16193.63
营业税金及附加,84.23,73.62,80.04,104.01,21.33,41.56,136.79,186.56,77.26,143.08,221.39,262.81,70.02,101.69,137.48,223.25,77.87,126.65
销售费用,296.46,384.72,914.77,1442.98,398.89,730.11,1116.62,1594.98,334.35,777.03,1177.39,1709.64,563.09,1246.45,1958.4,2876.03,653.22,1289.94
管理费用,1009.53,1348.86,1801.03,2577.68,805.3,1503.53,2205.31,2982.43,846.55,1753.94,2684.75,3757.77,1179.28,2503.21,1090.5,1603.56,536.5,962.66
财务费用,17.92,17.3,8.66,76.59,-6.73,4.88,18.9,23.26,-18.52,-85.46,-157.66,-250.06,-103.77,-169.56,-255.39,-313.47,-99.73,-210.75
资产减值损失,35.95,-3.52,202.16,39.99,0.0,208.76,55.95,45.23,0.0,85.53,133.47,151.5,0.0,243.56,375.21,134.77,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资收益,-19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35,993.4,1104.64,34.16,135.31,291.19,492.14,23.88,159.43
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
三、营业利润,1751.76,2407.94,3618.77,4071.49,590.16,1993.76,3364.89,4818.0,728.51,2508.28,5115.49,6657.8,774.26,2759.31,4762.89,6503.35,838.65,2216.72
加:营业外收入,4.74,10.59,69.21,59.03,1.05,176.83,276.76,296.86,19.09,0.92,29.24,0.0,0.3,0.3,0.3,0.9,0.68,2.27
减：营业外支出,3.02,102.85,0.58,0.2,0.27,2.41,2.41,2.45,14.0,14.46,14.46,0.46,8.47,8.47,8.47,8.48,0.0,0.0
其中：非流动资产处置损失,0.0,96.49,0.44,0.12,0.27,2.41,2.41,2.45,14.0,14.0,14.0,0.0,0.0,8.47,0.0,0.0,0.0,0.0
四、利润总额,1753.48,2315.69,3687.41,4130.32,590.94,2168.17,3639.24,5112.41,733.6,2494.74,5130.27,6657.34,766.1,2751.14,4754.72,6495.77,839.33,2218.99
减：所得税费用,297.79,376.0,576.18,622.06,102.88,338.78,560.97,813.65,116.06,344.7,698.03,998.12,89.19,395.04,572.92,1122.5,183.01,337.63
五、净利润,1455.69,1939.68,3111.22,3508.25,488.06,1829.39,3078.27,4298.77,617.54,2150.05,4432.23,5659.22,676.9,2356.1,4181.8,5373.27,656.32,1881.36
归属于母公司所有者的净利润,1455.69,1939.68,3132.17,3616.38,520.3,1868.74,3134.22,4360.49,631.52,2163.82,4434.9,5688.99,699.21,2357.92,4168.93,5415.26,725.98,1891.08
少数股东损益,0.0,0.0,-20.94,-108.13,-32.24,-39.35,-55.95,-61.73,-13.98,-13.77,-2.67,-29.77,-22.3,-1.82,12.87,-42.0,-69.67,-9.72
基本每股收益(元/股),0.0,0.0,0.522,0.588,0.085,0.304,0.392,0.709,0.092,0.217,0.435,0.551,0.065,0.22,0.277,0.36,0.048,0.126
稀释每股收益(元/股),0.0,0.0,0.52,0.59,0.085,0.304,0.392,0.71,0.092,0.217,0.435,0.0,0.0,0.0,0.0,0.36,0.0,0.126
七、其他综合收益,-2.32,-9.75,1.13,14.45,-1.65,7.01,9.3,22.15,-1.86,-8.0,-14.77,-19.82,-5.83,-5.83,-5.83,-5.83,0.0,0.0
八、综合收益总额,1453.37,1929.93,3112.35,3522.71,486.41,1836.4,3087.57,4320.91,615.68,2142.05,4417.47,5639.4,671.07,2350.27,4175.97,5367.44,656.32,1881.36
归属于母公司所有者的综合收益总额,1453.37,1929.93,3133.3,3630.84,518.64,1875.75,3143.52,4382.64,629.66,2155.81,4420.13,5669.17,693.38,2352.09,4163.1,5409.43,725.98,1891.08
归属于少数股东的综合收益总额,0.0,0.0,-20.94,-108.13,-32.24,-39.35,-55.95,-61.73,-13.98,-13.77,-2.67,-29.77,-22.3,-1.82,12.87,-42.0,-69.67,-9.72
