报表日期,2016-12-31,2017-12-31,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,11656.74,13520.46,0.0,26341.48,6008.1,9926.73,0.0,23786.83,7971.97,18387.64,28652.68,40199.04,15087.08
收到的税费返还,328.97,367.04,0.0,713.32,97.17,380.91,0.0,718.17,163.71,638.58,962.86,1251.34,317.26
收到的其他与经营活动有关的现金,54.54,103.9,0.0,424.44,226.2,312.55,0.0,801.74,142.99,881.42,1174.25,807.07,256.2
经营活动现金流入小计,12040.26,13991.4,0.0,27479.25,6331.47,10620.18,0.0,25306.74,8278.67,19907.64,30789.79,42257.44,15660.54
购买商品、接受劳务支付的现金,2960.07,5258.43,0.0,6173.09,948.61,1848.9,0.0,6264.75,2027.24,5577.2,8500.92,11007.23,6024.0
支付给职工以及为职工支付的现金,3204.33,3742.21,0.0,5158.64,2967.01,4486.95,0.0,7052.63,3592.88,5000.57,6497.9,8315.83,4978.45
支付的各项税费,1468.39,2488.41,0.0,4242.49,567.86,1421.88,0.0,3708.55,1007.3,2529.77,4256.86,6406.59,1756.79
支付的其他与经营活动有关的现金,779.27,1438.87,0.0,1727.1,421.64,934.58,0.0,2315.73,707.54,1546.51,2110.52,2660.33,721.39
经营活动现金流出小计,8412.07,12927.93,0.0,17301.33,4905.11,8692.31,0.0,19341.65,7334.96,14654.05,21366.21,28389.99,13480.64
经营活动产生的现金流量净额,3628.19,1063.47,5676.72,10177.92,1426.36,1927.87,998.91,5965.09,943.71,5253.6,9423.58,13867.45,2179.9
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230100.0,95776.27
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,0.0,0.0,3212.09,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,0.0,0.0,0.84,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.08
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,33.48,7043.15,0.0,2009.11,3005.85,6011.6,0.0,6011.6,0.0,37519.49,156767.77,0.0,144.02
投资活动现金流入小计,33.48,7043.15,0.0,2009.95,3005.85,6011.6,0.0,6011.6,19.25,37519.56,156767.84,233312.16,95920.37
购建固定资产、无形资产和其他长期资产所支付的现金,90.17,353.5,0.0,2491.05,91.27,161.49,0.0,2793.02,59.67,268.34,933.9,2693.28,28416.74
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,500.0,337874.52,58300.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
