报表日期,2012-12-31,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,67677.12,88566.65,111888.67,66633.12,100252.12,24415.95,41470.09,61878.75,102810.46,28705.47,45683.0,65275.17,104502.88,32353.76,53863.03,88478.9,167244.52,63696.82,107034.81,160755.26
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.43,1729.77,0.21,1543.97,7792.64
收到的其他与经营活动有关的现金,34909.08,4908.73,3261.33,2902.88,5797.07,745.63,1274.63,3416.43,3221.41,1147.11,2739.1,4067.36,6526.54,1049.1,2291.72,6925.29,16580.23,4579.01,7534.25,10074.56
经营活动现金流入小计,102586.2,93475.37,115149.99,69536.0,106049.19,25161.59,42744.73,65295.19,106031.88,29852.58,48422.1,69342.53,111029.42,33402.86,56154.75,95545.62,185554.52,68276.04,116113.03,178622.46
购买商品、接受劳务支付的现金,40206.71,52577.24,74368.45,44467.85,68632.1,21212.58,27757.14,37563.12,62797.92,20350.85,31837.12,41911.07,62390.92,24647.33,34033.85,49909.61,78412.47,32725.13,44391.26,62862.62
支付给职工以及为职工支付的现金,2334.8,3405.65,4335.28,3918.34,5502.45,1906.37,3238.09,4352.89,5759.04,1887.57,3286.73,4740.22,6556.57,2207.09,3741.96,7346.26,16706.71,8372.3,12697.51,16144.25
支付的各项税费,5498.34,6870.35,7425.39,6039.55,7624.73,2324.65,3875.57,6046.92,8411.12,2870.48,5120.51,6827.21,8725.65,3323.97,5571.43,7424.55,12028.49,5936.4,13915.8,18963.6
支付的其他与经营活动有关的现金,12728.71,1590.05,1710.75,2527.44,2925.66,225.63,1143.77,3262.83,2822.41,2453.83,3339.56,3852.66,4155.19,520.81,1104.92,6583.84,9981.0,8519.01,9378.15,10481.67
经营活动现金流出小计,60768.56,64443.29,87839.88,56953.19,84684.93,25669.23,36014.57,51225.77,79790.49,27562.73,43583.92,57331.15,81828.33,30699.21,44452.16,71264.25,117128.67,55552.84,80382.73,108452.15
经营活动产生的现金流量净额,41817.64,29032.08,27310.12,12582.82,21364.26,-507.64,6730.16,14069.42,26241.38,2289.85,4838.18,12011.38,29201.09,2703.65,11702.59,24281.36,68425.85,12723.19,35730.3,70170.32
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,231000.0,233000.0,277500.0,10500.0,41500.0,41500.0,41500.0,0.0,0.0,0.0
取得投资收益所收到的现金,9.95,31.93,3.77,11.87,11.87,0.0,7.12,7.12,7.12,414.06,1367.38,1380.64,1646.89,160.24,155.97,155.97,165.47,0.0,12775.09,5.22
处置固定资产、无形资产和其他长期资产所收回的现金净额,17.77,1.72,2.53,2.2,39.62,0.0,0.0,0.0,4.7,0.0,0.02,2.35,5.82,0.6,1.5,26.52,44.39,10.13,26.3,44.79
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868.03,0.0,0.0,0.0,0.0
投资活动现金流入小计,27.72,33.65,6.3,14.07,51.5,0.0,7.12,7.12,11.82,75414.06,232367.39,234382.99,279152.71,10660.84,41657.47,42550.53,41709.86,10.13,12801.39,50.01
购建固定资产、无形资产和其他长期资产所支付的现金,8980.85,10963.16,6440.86,4737.83,6804.61,916.76,1449.33,2606.36,4780.8,644.41,2363.39,4677.54,8930.6,2075.09,2501.6,5783.43,21973.3,10331.63,14975.98,21618.1
投资所支付的现金,9129.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90000.0,76000.0,144000.0,187500.0,229000.0,0.0,0.0,257894.01,0.0,0.0,0.0,5000.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54605.35,54018.11,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4190.78,8910.8,0.0,0.0,0.0
投资活动现金流出小计,18110.6,10963.16,6440.86,4737.83,6804.61,916.76,1449.33,2606.36,94780.8,76644.41,146363.39,192177.54,237930.6,2075.09,2501.6,322473.58,84902.21,10331.63,14975.98,26618.1
投资活动产生的现金流量净额,-18082.89,-10929.51,-6434.56,-4723.75,-6753.11,-916.76,-1442.21,-2599.24,-94768.97,-1230.35,86004.0,42205.45,41222.11,8585.75,39155.87,-279923.05,-43192.36,-10321.49,-2174.59,-26568.09
吸收投资收到的现金,9814.66,0.0,2477.17,0.0,0.0,0.0,0.0,4000.0,103440.8,0.0,0.0,0.0,0.0,0.0,0.0,257894.01,68.07,79.53,231.1,336.67
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,7800.0,0.0,0.0,8000.0,8000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219993.0,221693.0,220166.9,0.0,6000.0,9000.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99440.8,0.0,0.0,1089.0,0.0,1089.0,0.0,0.0,1714.39,0.0,0.0,0.0,0.0
筹资活动现金流入小计,17614.66,0.0,2477.17,8000.0,8000.0,0.0,0.0,103440.8,103440.8,0.0,1089.0,0.0,1089.0,0.0,219993.0,481301.41,220234.97,79.53,6231.1,9336.67
偿还债务支付的现金,19542.0,6024.0,3824.0,530.0,630.0,0.0,100.0,5100.0,5100.0,0.0,2800.0,2800.0,2800.0,0.0,69990.47,132429.41,130905.84,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,18155.63,7395.92,21883.05,9718.75,9829.0,12108.99,12217.87,12316.38,12356.14,34.91,11238.79,11238.79,11238.8,0.0,18339.62,23216.98,27126.4,3000.0,47642.85,37599.14
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,767.9,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0
筹资活动现金流出小计,37697.63,13419.92,25707.05,10248.75,10459.0,12108.99,12317.87,17438.38,18224.04,84.91,14038.79,14038.79,14038.8,0.0,88330.09,155646.39,158032.24,3000.0,47659.85,37616.14
筹资活动产生的现金流量净额,-20082.97,-13419.92,-23229.89,-2248.75,-2459.0,-12108.99,-12317.87,86002.42,85216.76,-84.91,-12949.79,-14038.79,-12949.8,0.0,131662.91,325655.01,62202.73,-2920.47,-41428.75,-28279.47
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19268.06,18507.2,-2045.62,344.62,2200.4
五、现金及现金等价物净增加额,3651.78,4682.65,-2354.33,5610.31,12152.15,-13533.4,-7029.91,97472.6,16689.17,974.59,77892.39,40178.03,57473.4,11289.4,182521.37,89281.39,105943.42,-2564.4,-7528.42,17523.15
加:期初现金及现金等价物余额,5124.01,8775.79,13458.44,11104.12,11104.12,23256.26,23256.26,23256.26,23256.26,39945.43,39945.43,39945.43,39945.43,97418.83,97418.83,97418.83,97418.83,248890.41,203362.26,203362.26
六、期末现金及现金等价物余额,8775.79,13458.44,11104.12,16714.43,23256.26,9722.87,16226.35,120728.86,39945.43,40920.02,117837.82,80123.47,97418.83,108708.23,279940.21,186700.23,203362.26,246326.02,195833.84,220885.41
净利润,0.0,20209.19,21696.64,0.0,20040.5,0.0,7978.12,0.0,20336.18,0.0,11050.73,0.0,26369.74,0.0,10247.11,0.0,42023.8,0.0,32507.09,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,82.47,146.22,0.0,208.26,0.0,74.12,0.0,228.58,0.0,136.85,0.0,284.28,0.0,90.45,0.0,50.28,0.0,40.33,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,3766.46,4094.59,0.0,4460.45,0.0,2556.82,0.0,5193.13,0.0,2691.37,0.0,5386.3,0.0,2791.13,0.0,13874.96,0.0,15307.14,0.0
无形资产摊销,0.0,74.14,132.89,0.0,166.85,0.0,91.9,0.0,185.73,0.0,92.06,0.0,183.27,0.0,74.31,0.0,187.97,0.0,95.15,0.0
长期待摊费用摊销,0.0,243.85,243.3,0.0,236.43,0.0,127.14,0.0,251.89,0.0,124.69,0.0,248.13,0.0,122.54,0.0,245.19,0.0,126.25,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,64.44,47.53,0.0,-36.51,0.0,0.39,0.0,2.44,0.0,4.94,0.0,-64.11,0.0,0.0,0.0,-40.37,0.0,-19.14,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27,0.0,-102.02,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
