报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,20892.71,48171.96,74395.93,115446.79,29217.26,69178.19,103864.44,167166.38,58985.49,96136.14,141246.94,202973.72,46443.22,97273.81,144133.03,217192.76,64704.32,122846.12,193238.82,294920.23,81439.7,143488.0,204082.32,308913.43,94648.43,163506.6,231033.45,327848.01,69426.42,142612.77,212803.2,310740.74,80631.44,145896.49,200858.53,304919.82,77053.05,138488.24,193998.48,313283.7,84123.94,146106.03,214135.79,329285.55,88222.58,167808.5,243999.1,379563.06,104392.98,178488.33,254247.22,387316.27,79211.51,150886.25,225283.62,374076.44,92998.15
收到的税费返还,10.07,31.87,62.29,80.1,5.05,37.48,55.66,85.67,25.17,61.81,92.75,98.73,35.9,49.28,116.21,115.09,23.86,64.77,113.5,129.14,36.04,115.47,141.83,190.0,22.35,118.4,146.65,187.65,81.05,106.93,212.39,338.67,32.22,129.84,165.11,318.94,16.88,106.4,106.4,164.71,0.0,19.46,19.46,159.72,10.19,8.31,53.23,75.11,0.0,48.23,48.23,77.71,0.0,0.0,98.51,161.84,0.6
收到的其他与经营活动有关的现金,64.76,218.4,509.56,515.57,353.92,513.39,1315.3,2228.7,749.35,1533.63,2146.81,7575.33,775.33,952.55,1609.63,3492.87,754.95,1826.64,2021.11,1956.18,267.86,819.8,5192.42,7637.56,1017.33,2961.16,6673.91,8334.1,2378.79,8136.83,9530.98,9060.48,403.53,4880.96,14225.89,27530.56,2073.0,3546.25,8939.6,14734.18,2446.35,10286.92,33040.28,34748.17,1329.96,4072.51,6426.92,15463.03,2125.17,3112.07,6804.08,12553.82,2382.74,5794.01,10559.31,19148.26,3777.25
经营活动现金流入小计,20967.54,48422.23,74967.78,116042.46,29576.23,69729.06,105235.4,169480.74,59760.02,97731.59,143486.5,210647.78,47254.44,98275.64,145858.88,220800.72,65483.12,124737.54,195373.44,297005.54,81743.6,144423.27,209416.56,316740.99,95688.1,166586.16,237854.01,336369.77,71886.27,150856.53,222546.58,320139.89,81067.19,150907.29,215249.53,332769.33,79142.94,142140.9,203044.48,328182.59,86570.28,156412.41,247195.53,364193.44,89562.73,171889.32,250479.25,395101.2,106518.16,181648.63,261099.54,399947.8,81594.25,156680.26,235941.44,393386.53,96776.0
购买商品、接受劳务支付的现金,12069.5,24213.21,47911.62,67364.25,14708.34,37062.18,67549.34,102531.8,27222.27,55334.53,81687.44,126531.04,23671.94,58635.2,83865.59,121216.61,30521.85,74993.76,123029.07,177598.94,36798.8,83986.31,123665.28,164640.89,35615.11,90250.98,128882.03,170462.51,41580.82,80675.42,113549.83,158691.34,50919.08,96768.89,136621.56,183365.24,48054.63,98884.3,132301.98,188817.9,47859.09,109123.08,156323.07,214705.49,57590.11,128660.3,189771.56,255750.54,62774.16,135838.75,185007.85,246785.11,55737.01,124804.61,169608.14,223555.07,53639.8
支付给职工以及为职工支付的现金,1893.2,3346.92,5624.23,7611.68,2289.0,4452.66,7523.07,10854.19,3603.44,6455.3,9827.38,13353.38,3860.66,7821.94,11980.45,15958.17,5471.34,10609.86,16523.25,22560.71,7482.82,13048.22,19756.26,26700.45,7733.59,13465.24,20064.58,26745.55,7451.72,13121.17,19166.44,25413.88,8086.19,13719.3,20146.12,26292.68,7570.42,12967.76,19156.94,25566.48,8291.41,14553.79,21566.38,28956.54,10544.23,18521.56,27008.21,36126.91,11690.29,20825.07,29969.03,39769.46,11235.7,19477.04,28446.83,38463.37,11748.14
支付的各项税费,2480.05,5244.23,6437.2,7632.55,2901.94,9875.6,12168.86,15119.52,4939.31,10014.24,12623.13,20190.91,6983.62,17347.05,23986.22,28854.22,8991.67,19467.12,22890.47,37702.08,6474.67,17789.62,21803.6,42803.04,4308.05,15279.01,17961.61,29860.03,2825.1,9911.12,14457.4,25885.86,3462.47,9934.26,14672.67,25296.22,3561.48,6324.49,11017.98,19586.12,5712.35,11048.14,14317.77,21220.55,10256.86,16452.73,20173.34,26573.3,10202.17,16398.97,18802.92,24154.0,5455.64,8960.13,11049.0,20141.11,6723.95
支付的其他与经营活动有关的现金,2147.22,4469.97,9195.18,12694.77,5288.44,10368.73,17638.21,23562.77,4542.62,10347.2,15380.37,20477.36,7647.6,11853.75,18115.93,28862.69,7336.97,15564.47,25210.07,33917.64,7154.62,16159.48,25843.59,38779.51,10072.89,19071.62,29261.93,40980.8,7044.96,14326.68,26074.63,33461.07,8355.35,16688.18,24008.07,33716.19,7489.02,15372.67,17903.48,35286.05,8433.86,15464.89,22616.57,34250.03,8831.75,19682.19,31456.41,46190.41,14792.55,25982.18,42791.83,56483.4,9777.1,21932.65,36342.89,53133.26,10639.85
经营活动现金流出小计,18589.97,37274.32,69168.24,95303.26,25187.73,61759.17,104879.48,152068.27,40307.64,82151.27,119518.31,180552.69,42163.82,95657.94,137948.19,194891.69,52321.83,120635.21,187652.85,271779.36,57910.91,130983.63,191068.73,272923.89,57729.65,138066.85,196170.14,268048.89,58902.6,118034.39,173248.31,243452.15,70823.09,137110.62,195448.41,268670.34,66675.55,133549.23,180380.37,269256.55,70296.71,150189.9,214823.79,299132.61,87222.95,183316.79,268409.52,364641.17,99459.18,199044.97,276571.63,367191.96,82205.45,175174.42,245446.85,335292.81,82751.75
经营活动产生的现金流量净额,2377.57,11147.9,5799.54,20739.2,4388.51,7969.89,355.92,17412.47,19452.38,15580.31,23968.2,30095.09,5090.63,2617.69,7910.68,25909.03,13161.29,4102.33,7720.59,25226.19,23832.69,13439.64,18347.83,43817.1,37958.46,28519.31,41683.87,68320.88,12983.67,32822.14,49298.27,76687.74,10244.1,13796.68,19801.12,64098.99,12467.39,8591.67,22664.11,58926.03,16273.57,6222.51,32371.74,65060.83,2339.79,-11427.47,-17930.27,30460.03,7058.98,-17396.34,-15472.09,32755.84,-611.2,-18494.16,-9505.41,58093.72,14024.25
