报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
销售商品、提供劳务收到的现金,15429.75,29387.92,45096.52,75164.51,20884.38,43072.37,69371.43,77924.05,27248.51,57838.4,84023.17,116170.45,33223.38,61340.5,86585.54,114512.84,26617.55,52387.45,75427.53,95845.77,15821.93,30296.35,55527.65,89715.72,26958.42,38657.26,55855.59,70594.92,10701.49,23165.8,37153.57,56415.86,15004.56,31567.27,44247.92,53815.24,10040.36,24594.79,37205.05,51461.43,8924.36,22869.3,37365.28,55080.56,16025.42,30561.08,44214.36,63634.49,22477.69,46746.01,68735.17,87331.14,20463.63,42191.67,59805.49,90916.14,22989.36,45081.19
收到的税费返还,380.91,723.8,1143.41,1415.39,148.6,324.98,397.01,698.18,284.68,408.5,783.04,1652.98,210.92,1239.02,1491.76,2196.21,102.74,102.74,273.3,454.57,215.35,473.55,563.34,728.6,935.09,1932.76,4130.98,4401.05,40.39,40.39,613.82,744.85,361.13,558.07,1602.92,2049.92,300.56,677.68,677.68,1088.21,223.47,287.22,471.93,480.76,453.97,546.29,835.76,1362.66,0.0,329.45,489.27,976.91,117.02,620.21,1040.93,1262.06,296.2,619.52
收到的其他与经营活动有关的现金,201.43,396.5,542.33,1487.93,119.97,191.26,220.59,1488.88,243.63,2961.22,2371.81,1770.2,392.47,1599.61,2722.45,2846.52,994.93,10441.72,13885.32,16981.12,1535.81,4157.97,5699.84,4782.29,1058.48,829.6,1318.24,6586.62,390.71,753.03,1409.85,2196.9,400.68,2467.17,2799.08,3702.12,166.58,1667.7,1968.61,2734.94,160.19,988.32,1549.48,1258.45,524.24,926.93,2288.3,2543.59,413.36,1214.17,1949.82,3133.7,464.47,2070.42,2623.6,3965.78,594.99,1136.14
经营活动现金流入小计,16012.09,30508.22,46782.25,78067.84,21152.94,43588.62,69989.02,80111.1,27776.81,61208.11,87178.02,119593.62,33826.76,64179.13,90799.74,119555.57,27715.22,62931.92,89586.14,113281.46,17573.09,34927.86,61790.83,95226.61,28951.99,41419.62,61304.82,81582.59,11132.6,23959.22,39177.25,59357.61,15766.37,34592.51,48649.92,59567.28,10507.49,26940.16,39851.34,55284.58,9308.02,24144.85,39386.69,56819.77,17003.62,32034.29,47338.42,67540.74,22891.05,48289.64,71174.25,91441.75,21045.12,44882.29,63470.03,96143.99,23880.56,46836.85
购买商品、接受劳务支付的现金,9832.37,20030.31,29933.34,50394.3,14792.19,29139.01,46499.63,41897.97,14812.27,31285.3,44663.87,57145.93,14725.59,27433.34,39546.93,66441.63,17089.87,29148.98,44426.62,65456.0,15097.53,34046.52,58988.48,90038.66,21861.43,31831.02,43860.18,57422.65,10093.05,17896.75,26295.52,35927.87,7769.25,18470.99,28643.78,35945.69,5479.06,13258.48,22507.53,30578.91,4860.2,10836.4,20163.37,31252.52,10610.68,20532.63,30686.17,39475.23,8997.94,19599.66,30106.59,40005.01,9147.32,18409.84,27144.0,38352.2,11400.03,25297.57
支付给职工以及为职工支付的现金,1939.27,3540.33,5053.06,6602.21,2041.72,3801.9,5803.74,7433.82,2559.65,4814.31,7022.45,11111.04,5030.62,10117.09,13567.59,16747.04,4878.64,9465.66,13412.6,16573.53,4520.71,9186.0,13753.71,18080.02,4600.38,8944.66,13584.44,17596.95,4871.46,8882.96,12745.22,16898.88,4041.57,7700.34,11485.23,15095.5,3237.32,6220.19,9364.04,12747.21,3194.77,6450.07,9699.05,13247.73,3624.25,7225.69,10965.87,14791.19,4818.69,9241.29,14322.2,19029.74,6642.54,11093.92,15554.5,20653.02,7833.27,15190.28
支付的各项税费,949.33,1650.8,3352.52,4784.72,741.8,2744.7,4146.95,5675.41,2644.91,4987.9,7152.56,11103.38,3265.58,8767.58,12079.73,15950.93,2089.65,3960.72,6017.02,6603.87,946.06,3530.53,3556.61,4474.55,289.98,1859.1,2550.69,3345.13,669.93,1133.5,1610.6,1984.03,1140.8,1742.09,2256.62,2809.61,917.33,1983.74,2466.04,3127.71,1931.33,2723.29,3377.79,4020.3,937.73,1802.74,2953.82,4413.73,1757.15,3622.13,5656.33,7137.88,1144.23,3605.69,4863.94,7454.89,1735.32,3472.23
支付的其他与经营活动有关的现金,1716.86,3621.97,5507.85,8058.83,2439.83,4579.23,6217.85,10210.45,2256.79,3634.28,6261.71,8560.42,1750.67,5061.92,7246.34,9952.98,3249.24,7817.34,14813.76,18059.67,2104.46,4131.99,6665.6,10235.17,2798.22,3032.52,4490.49,6034.05,1376.12,3274.59,4582.23,6569.27,1337.86,3012.81,4342.98,5441.96,733.96,1852.17,2794.83,4713.8,472.94,1234.6,2331.79,4294.22,734.59,1732.89,2326.25,3791.96,928.61,2018.35,3114.51,3952.21,742.94,2157.14,3380.14,4685.3,1499.94,2274.98
经营活动现金流出小计,14437.83,28843.41,43846.77,69840.06,20015.55,40264.85,62668.16,65217.66,22273.63,44721.79,65100.59,87920.76,24772.45,51379.94,72440.6,109092.59,27307.4,50392.7,78669.99,106693.06,22668.75,50895.03,82964.4,122828.4,29550.01,45667.3,64485.8,84398.78,17010.56,31187.79,45233.57,61380.05,14289.49,30926.23,46728.61,59292.75,10367.66,23314.58,37132.42,51167.64,10459.24,21244.37,35572.0,52814.77,15907.24,31293.95,46932.11,62472.11,16502.39,34481.43,53199.63,70124.84,17677.03,35266.59,50942.58,71145.41,22468.56,46235.07
经营活动产生的现金流量净额,1574.26,1664.82,2935.47,8227.78,1137.4,3323.77,7320.86,14893.44,5503.18,16486.33,22077.44,31672.86,9054.31,12799.19,18359.15,10462.98,407.82,12539.22,10916.15,6588.39,-5095.66,-15967.17,-21173.57,-27601.8,-598.03,-4247.68,-3180.98,-2816.19,-5877.97,-7228.57,-6056.32,-2022.44,1476.89,3666.28,1921.31,274.53,139.83,3625.59,2718.92,4116.94,-1151.22,2900.48,3814.69,4005.0,1096.38,740.34,406.31,5068.63,6388.66,13808.21,17974.63,21316.91,3368.09,9615.71,12527.45,24998.57,1412.0,601.78
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,825.82,2136.4,0.0,0.0,4139.03,157.1,86.75,408.19,656.02,917.63,2566.52,26731.63,66960.04,67087.84,9946.22,28799.77,33862.21,41737.05,1502.41,9002.49,15448.32,39266.57,5472.6,31612.29,31626.0,34097.9,7841.38,22478.03,29087.85,44487.96,9752.99,29660.96,32163.3,47463.3,12800.0,34700.0,34700.0,32900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.85,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,78.91,0.0,1009.69,1921.66,2011.44,1248.5,1555.72,2273.26,1609.92,17.87,271.16,277.59,271.37,0.0,286.27,506.1,694.29,105.81,232.27,428.95,486.58,11.5,132.6,300.81,680.03,364.13,932.43,984.19,1024.92,54.27,271.33,293.76,363.63,117.5,542.23,557.95,661.28,179.94,349.23,349.23,349.23,74.8,74.8,74.8,74.8,0.0,92.85,92.85,0.0,0.0,104.46,104.46,104.46,0.0,279.95
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,660.2,660.2,12.66,0.0,0.0,157.09,157.09,0.0,70.41,70.41,70.92,0.0,476.01,1102.2,1123.03,114.19,114.19,114.69,118.96,0.0,297.31,297.31,297.31,0.0,4000.28,13500.28,13529.88,0.0,0.0,0.0,0.0,1.11,1.11,38.63,38.63,126.01,1420.11,3946.56,4243.73,177.89,270.31,273.36,280.58,121.25,121.25,121.25,121.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.22,10.09,2327.65
