报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,23208.9,54998.18,73316.19,117409.65,26228.68,49838.2,67228.45,108556.29,28119.08,46078.14,73016.1,102272.75,25348.75,47038.32,74433.96,120332.6,38976.06,74758.42,114832.66,153868.3,35532.57,72311.39,143368.22,207034.23,53906.05,207217.28,321193.28,424963.89,108099.12,282816.27,511234.15,764486.06,189912.81,410825.54,691479.48,1064856.8,259086.05,595527.28,981994.13,1440047.37,394159.89,872469.98,1683144.61,2614646.91,705195.39,1860973.45,3494089.65,5376323.13,952438.89,2229971.15,3938928.67,5754741.06,1252934.23,3524656.85
收到的税费返还,352.03,141.71,314.14,634.02,332.35,350.65,350.65,702.83,220.12,420.11,439.79,850.6,208.82,326.54,572.32,959.55,154.94,184.88,198.4,897.05,238.17,1132.29,5846.39,7323.8,3107.49,4135.67,6389.54,9602.07,3199.43,4446.61,9584.43,11085.87,4391.76,9070.84,12750.87,16166.67,4787.12,5307.37,8884.94,10527.58,4036.5,5774.62,7070.62,23789.88,4099.94,17455.68,43060.19,64388.26,40657.18,41377.47,56035.73,69150.35,18198.07,50753.81
收到的其他与经营活动有关的现金,502.57,1982.1,3868.91,4170.25,510.53,2028.85,3053.71,5091.92,770.44,1814.36,3204.06,3940.22,1290.87,2687.01,1177.16,3840.53,651.72,1594.88,2179.52,4671.77,724.83,2212.95,4721.91,14746.76,2201.03,4582.53,6731.77,16955.48,3647.64,5506.33,15852.2,21467.04,3845.28,14627.77,20087.89,32586.05,5176.69,18471.15,23841.2,26998.87,6228.84,8686.32,14319.31,25736.83,4603.76,8740.06,18843.18,24955.03,22837.13,58954.21,88479.32,31693.89,1444.95,19619.47
经营活动现金流入小计,24063.5,57121.99,77499.23,122213.92,27071.56,52217.7,70632.81,114351.04,29109.64,48312.62,76659.95,107063.57,26848.44,50051.88,76183.43,125132.68,39782.72,76538.18,117210.58,159437.12,36495.57,75656.63,153936.52,229104.8,59214.57,215935.48,334314.59,451521.44,114946.18,292769.21,536670.78,797038.97,198149.85,434524.15,724318.24,1113609.51,269049.86,619305.8,1014720.27,1477573.83,404425.23,886930.92,1704534.54,2664173.62,713899.08,1887169.19,3555993.02,5465666.41,1015933.19,2330302.84,4083443.71,5855585.3,1272577.25,3595030.13
购买商品、接受劳务支付的现金,26465.84,50830.39,68704.58,104592.68,22975.68,42053.66,63716.74,90151.35,27453.24,33911.02,54840.9,76329.05,22447.59,39415.8,63152.45,95667.53,32169.51,59154.46,78063.1,105036.89,32841.35,73573.48,133274.5,202108.03,81804.31,230411.93,363015.85,453501.97,117738.41,292748.18,502164.08,734665.43,257251.0,470289.85,704163.27,1003139.91,263285.12,595473.82,919293.9,1313963.57,383167.5,927443.68,1726620.08,2421968.85,1181233.59,2440634.81,4132762.12,4968215.16,1030676.6,2412907.86,4134273.79,5305191.97,1763189.99,3846453.77
支付给职工以及为职工支付的现金,1343.97,2382.3,3497.89,4885.72,1356.48,2901.58,4426.43,6068.24,1644.7,3506.52,5269.08,7170.47,1946.16,3944.88,5958.64,8925.53,2519.06,5079.01,7721.34,11753.68,3372.04,8176.59,12178.41,16034.38,4402.48,11786.04,17237.86,24818.59,7782.5,16184.31,25511.62,34802.79,10444.32,21932.84,32632.45,45942.05,13430.9,32863.23,45295.59,72242.49,17001.51,37214.49,61109.03,77105.55,22213.08,54773.35,80232.49,107897.43,33574.65,80036.52,123005.25,168060.27,39500.98,122080.23
支付的各项税费,368.88,941.82,1495.98,2405.34,331.64,1096.54,1471.22,2333.92,520.94,1216.87,1695.7,2236.98,880.91,1729.06,2374.86,3274.86,1193.4,2403.78,3357.82,3130.18,1923.26,2948.43,4023.26,7118.9,1356.76,2592.64,4235.04,7958.6,1953.38,3006.9,6292.26,11411.25,3857.03,10852.95,16409.12,20447.03,3628.92,8438.11,11529.35,18668.23,3122.32,11109.46,14278.72,29370.4,3827.23,12952.15,23126.42,34469.31,19299.62,27076.25,41951.35,67962.29,28009.28,35328.77
支付的其他与经营活动有关的现金,2146.88,1328.83,3480.17,9327.02,2446.75,3973.47,5807.47,12190.4,3540.76,7238.7,11421.49,15215.42,4280.63,7059.55,11614.19,14387.51,4148.19,6506.84,11099.11,14162.05,6552.77,12470.69,20545.16,27217.69,7906.39,14439.5,25926.84,47707.08,14477.96,20750.68,42791.84,60349.6,27491.61,46875.66,45528.68,58451.03,15018.64,31056.45,51226.42,65500.98,22820.84,38686.39,64803.35,110244.03,50540.57,81232.75,143349.23,222048.81,38099.44,103088.32,161932.62,227835.85,18178.8,116931.83
经营活动现金流出小计,30325.56,55483.34,77178.62,121210.76,27110.56,50025.25,75421.86,110743.91,33159.65,45873.11,73227.17,100951.92,29555.3,52149.29,83100.14,122255.43,40030.17,73144.09,100241.37,134082.81,44689.42,97169.19,170021.34,252479.01,95469.94,259230.11,410415.58,533986.25,141952.25,332690.07,576759.8,841229.08,299043.96,549951.3,798733.51,1127980.02,295363.59,667831.61,1027345.27,1470375.27,426112.17,1014454.02,1866811.17,2638688.84,1257814.61,2589593.06,4379470.26,5332630.71,1121650.32,2623108.95,4461163.01,5769050.38,1848879.05,4120794.61
经营活动产生的现金流量净额,-6262.05,1638.65,320.61,1003.16,-39.0,2192.45,-4789.04,3607.13,-4050.01,2439.51,3432.78,6111.65,-2706.86,-2097.42,-6916.7,2877.25,-247.44,3394.08,16969.21,25354.31,-8193.84,-21512.55,-16084.82,-23374.21,-36255.37,-43294.63,-76100.99,-82464.81,-27006.06,-39920.86,-40089.02,-44190.11,-100894.11,-115427.15,-74415.27,-14370.51,-26313.74,-48525.8,-12625.0,7198.55,-21686.94,-127523.1,-162276.63,25484.78,-543915.52,-702423.87,-823477.24,133035.7,-105717.12,-292806.12,-377719.29,86534.92,-576301.8,-525764.48
