报表日期,2009-12-31,2010-12-31,2011-12-31,2012-12-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
货币资金,4348.73,2742.73,4200.01,6405.5,8579.66,0.0,10333.64,31185.19,26540.65,25454.91,27547.46,31036.95,33490.41,24607.02,27180.71,29719.51,23523.26,22567.02,23547.4,22276.17,14320.43,17620.86,18581.43,27008.98,36913.96,42884.4,46004.31,73041.4,67386.96,62586.04,75077.12,80244.73,77699.78,62294.58
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1611.79,3222.73,10445.0,4137.11,3737.7,1704.19,21802.55
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14240.09,13920.22,15771.25,19704.81,16199.82,16107.26,16406.05,23974.47,19823.54,15436.22,16562.95,23989.98
应收票据,19.5,400.62,1219.84,1407.33,1014.66,0.0,1781.75,324.02,1387.74,1010.36,3156.31,1488.31,1767.02,1532.57,3480.86,1140.75,2147.36,2234.73,3731.8,1792.73,2747.08,2278.14,4072.76,2195.26,3913.51,3937.48,5322.99,3539.72,2993.28,4202.49,6472.68,2760.65,2678.07,4654.98
应收账款,1558.29,2198.22,3502.02,4905.48,5580.06,0.0,5846.41,7676.16,6833.91,9023.69,6213.64,7281.75,6665.87,9425.47,6533.07,8280.86,7204.66,10086.81,7679.19,9259.81,8633.79,12116.77,10167.33,11724.97,11857.74,15767.33,10876.83,12567.53,13412.77,19771.99,13350.85,12675.56,13884.88,19334.99
预付款项,28.29,28.08,18.02,176.55,376.15,0.0,598.58,108.63,36.47,40.52,62.69,76.02,71.3,7.17,130.59,115.09,172.87,287.78,164.84,363.08,259.41,402.56,444.88,403.5,532.01,876.77,877.66,929.33,1022.47,553.29,473.9,477.43,494.82,759.29
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.01,99.0,219.55,0.0,0.0,23.34,40.99,12.23,49.3,65.97,100.88,139.12,52.6,151.23,75.33,0.0,170.25,559.48,593.92,362.14,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,315.11,64.85,96.98,86.33,97.62,0.0,151.25,184.57,231.83,561.54,363.46,356.43,423.27,266.26,187.19,266.72,238.9,336.0,163.36,193.57,217.57,269.02,207.46,285.45,333.49,779.92,670.35,0.0,671.03,0.0,804.61,0.0,925.87,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,376.59,360.35,461.86,503.59,616.18,0.0,796.75,995.41,1142.9,1115.92,1191.33,1208.87,981.88,922.61,915.5,1047.73,1099.22,1167.01,1404.05,1712.28,1899.07,2040.91,1982.74,1793.79,1736.67,1458.35,2347.31,2475.65,2922.94,3084.73,3681.9,3928.11,3915.9,3689.32
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,6000.0,6000.0,0.0,0.0,10000.0,10000.0,10003.28,12700.0,15500.0,17181.52,21203.22,28180.44,27664.51,30140.53,27161.2,13133.41,10545.07,11896.13,474.71,678.82,943.74,1002.16,1264.45,1243.08,1166.6
流动资产合计,7546.51,5794.85,9498.73,13484.79,16264.33,0.0,19508.38,40473.98,39173.51,43206.95,44691.89,41547.32,43619.3,46761.1,48427.94,50597.28,47127.26,52191.57,53921.46,56866.84,56358.66,62531.9,65649.72,70724.37,68496.12,76249.31,78165.84,95846.32,92904.92,102782.15,105000.34,105960.45,102546.6,114689.49
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1300.0,1300.0,1300.0,1300.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,39.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产净额,2837.43,3837.99,3633.98,3627.77,3952.03,0.0,3977.43,3914.59,3883.9,3895.46,3841.51,3761.42,3686.97,4126.86,8679.27,8538.6,8494.88,8114.91,11573.13,11767.63,11639.95,11505.89,11479.97,11418.7,11982.46,11861.57,11965.41,0.0,12629.3,0.0,15495.34,0.0,15550.41,0.0
在建工程,393.28,23.79,26.9,245.3,219.55,0.0,865.68,1119.06,1335.3,1361.53,2186.71,2636.41,3318.37,3879.82,1017.84,1625.66,1764.9,2340.03,279.89,107.56,128.72,226.62,876.4,1093.07,1195.43,1429.95,1802.65,0.0,3287.64,0.0,4267.97,0.0,5762.38,0.0
工程物资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产清理,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
