报表日期,2007-12-31,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
销售商品、提供劳务收到的现金,37121.95,27195.01,38367.46,9877.37,25817.0,39384.71,58440.24,15880.76,38151.03,60130.34,90346.79,28901.68,63765.1,98188.34,136068.47,38078.07,80998.17,124777.29,178390.11,47890.89,95387.39,150282.24,208743.28,62679.48,134208.24,202307.32,274922.37,68859.86,151122.73,229473.34,327183.65,87699.2,179758.68,275023.44,366807.54,107470.33,208950.94,311291.98,416977.04,118724.91,228145.82,370378.8,465709.86,140738.24,257184.83,385811.48,483407.92,117953.82
收到的税费返还,853.82,0.0,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.52,12.52,170.16,19.44,22.24,24.86,15.41,16.54,19.0,265.81,272.62,301.82,3014.82,3031.53,91.95,123.06,135.45,624.97,109.72
收到的其他与经营活动有关的现金,0.0,213.7,424.75,25.16,478.96,707.38,690.7,212.8,564.99,2037.7,4295.59,233.99,1676.4,2339.84,4518.8,1602.57,3961.1,4978.28,6856.21,744.59,1264.79,2164.73,3951.68,251.74,1466.59,2444.18,3368.6,267.85,654.52,1536.47,3543.01,1170.41,3702.75,4826.06,8083.42,1809.64,4600.6,7661.37,12305.8,596.93,3574.71,4849.69,6294.77,1569.99,6653.23,10769.31,12948.19,2819.41
经营活动现金流入小计,37975.77,27408.71,38797.36,9902.53,26295.96,40092.09,59130.94,16093.56,38716.02,62168.03,94642.38,29135.67,65441.5,100528.19,140587.27,39680.64,84959.27,129755.57,185246.32,48635.49,96652.18,152446.97,212694.96,62931.22,135674.83,204751.5,278290.97,69127.71,151777.25,231022.34,330739.18,89039.77,183480.87,279871.74,374915.82,109295.37,213568.08,318972.35,429548.65,119594.46,232022.35,378243.31,475036.15,142400.18,263961.12,396716.24,496981.09,120882.94
购买商品、接受劳务支付的现金,19754.11,9946.79,12617.82,1857.61,6585.97,10602.79,12811.25,6378.72,11449.2,15591.08,24512.19,13013.82,25136.0,35102.05,45708.93,9173.84,20474.37,27017.95,40638.66,9812.16,14863.35,19474.14,26200.85,6607.36,15621.86,24493.69,32880.02,7620.94,26150.51,36657.18,51357.39,6970.69,15499.96,19236.53,23631.07,5605.69,13488.0,22037.54,31541.98,7808.88,20492.19,29370.84,41287.81,9635.14,21585.86,34693.7,45302.15,10351.11
支付给职工以及为职工支付的现金,2591.11,3353.62,4463.8,1585.83,2885.2,4371.67,6150.14,2942.77,4745.05,6743.63,9372.95,4437.38,7582.64,10658.47,14165.81,5753.15,9330.32,13025.14,15740.84,7533.08,11773.79,16485.31,21556.84,9107.99,13961.25,19060.26,24522.25,10628.2,16657.97,22983.36,29829.63,13613.88,21235.22,29831.61,39816.08,16474.46,26809.82,38359.81,50137.81,20827.07,33556.75,47149.82,70206.66,28063.98,46924.5,64735.86,81432.9,27836.88
支付的各项税费,3412.77,3604.79,5063.2,1805.32,3517.54,6154.56,10102.27,2538.7,7693.67,12296.2,17629.56,4065.43,9325.39,15805.83,22016.4,6508.87,15468.87,22943.6,32731.36,11556.7,24703.28,35018.25,47249.11,13927.26,30800.89,42894.96,58231.6,19259.91,39080.12,55307.97,71519.53,17066.86,40069.94,57623.23,76510.14,22862.29,47245.79,66891.94,88781.43,24513.49,51379.74,71055.17,87287.18,28538.75,49967.37,67759.06,85717.22,9296.31
支付的其他与经营活动有关的现金,6942.42,6263.42,8863.22,3165.34,6475.35,9776.38,16639.08,3960.18,10971.46,17898.43,24462.75,6054.33,13694.63,21669.41,31464.28,6771.46,16163.84,29541.14,44014.1,9269.34,24039.81,34433.9,50835.96,13531.52,30009.74,50463.8,64432.18,12288.85,30760.54,49211.72,72429.75,20686.64,39158.85,61598.01,91477.33,21399.18,51318.04,83001.45,113315.19,35617.61,69681.72,118314.18,142188.15,31908.14,62769.17,103294.56,133864.33,11825.45
经营活动现金流出小计,32700.41,23168.61,31008.04,8414.11,19464.06,30905.41,45702.74,15820.37,34859.38,52529.34,75977.45,27570.97,55738.67,83235.76,113355.42,28207.31,61437.39,92527.83,133124.95,38171.28,75380.23,105411.6,145842.77,43174.14,90393.74,136912.71,180066.06,49797.9,112649.15,164160.22,225136.29,58338.08,115963.97,168289.38,231434.62,66341.63,138861.65,210290.74,283776.4,88767.05,175110.41,265890.01,340969.8,98146.0,181246.9,270483.18,346316.61,59309.75
经营活动产生的现金流量净额,5275.35,4240.1,7789.32,1488.41,6831.9,9186.68,13428.2,273.18,3856.64,9638.69,18664.94,1564.7,9702.83,17292.43,27231.86,11473.33,23521.88,37227.74,52121.37,10464.21,21271.95,47035.37,66852.2,19757.09,45281.09,67838.79,98224.91,19329.81,39128.1,66862.11,105602.88,30701.69,67516.9,111582.35,143481.2,42953.74,74706.43,108681.61,145772.24,30827.42,56911.94,112353.3,134066.35,44254.17,82714.23,126233.06,150664.48,61573.19
收回投资所收到的现金,190.0,0.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,5000.0,12000.0,17000.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,30000.0,70000.0,21350.0,60350.0,60350.0,94350.0,2000.0,2700.0,2700.0,2700.0,40500.0,124000.0,169000.0,230800.0,90000.0,170000.0,171500.0,237900.0,81500.0,129623.03,216400.0,261200.0,10800.0
取得投资收益所收到的现金,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.4,17.26,64.05,100.73,100.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260.82,953.84,1653.12,435.37,967.29,972.94,1292.11,10.87,13.81,13.81,13.81,166.6,629.3,1024.61,1791.3,1258.32,2208.23,2232.38,2993.79,575.69,1214.44,1927.66,2180.64,102.46
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,4.6,4.6,4.6,0.0,1.5,1.5,1.66,0.0,0.9,0.9,1.09,0.51,0.75,2.31,2.35,0.25,0.25,0.3,0.83,0.17,19.05,35.01,75.61,0.0,8.57,10.77,33.57,112.0,167.01,411.59,72.99,0.55,7.23,9.82,14.53,13.69
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,190.0,0.0,3506.55,0.0,0.0,0.0,300.0,0.0,0.0,0.0,5037.4,5021.86,12068.65,17105.33,17105.33,0.0,1.5,1.5,1.66,0.0,0.9,0.9,1.09,0.51,10261.57,30956.15,71655.48,21785.63,61317.54,61323.25,95642.94,2011.04,2732.87,2748.82,2789.42,40666.6,124637.87,170035.38,232624.86,91370.32,172375.24,174143.97,240966.78,82076.24,130844.7,218337.48,263395.16,10916.15
