报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30
货币资金,5378.15,5751.92,4708.2,12950.6,10897.36,11935.03,10153.92,57721.87,30626.56
交易性金融资产,0.0,0.0,1.54,0.0,44.54,0.0,30.78,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,19194.33,18631.14,30936.53,39610.51,40898.3,33230.78,26108.81
应收票据,1459.98,1168.23,640.0,900.0,835.11,366.0,1693.69,0.0,0.0
应收账款,12890.87,13073.94,18554.33,17731.14,30101.42,39244.51,39204.61,33230.78,26108.81
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,65.7,70.54,188.26,606.98,526.79,477.76,910.32,610.0,608.77
其他应收款(合计),0.0,0.0,199.6,289.54,305.61,536.95,349.06,619.5,592.0
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,235.3,237.73,0.0,289.54,0.0,0.0,0.0,619.5,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,9170.67,10375.5,10583.51,13272.67,14336.85,26275.94,27275.62,27282.11,27065.59
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.15,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,132.83,1104.23,2834.59,9328.89,1804.71,4192.31,3412.29,8963.83,10641.75
流动资产合计,29333.49,31782.09,37710.03,55079.81,58852.38,83028.49,83030.3,128664.25,95643.49
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
