报表日期,2011-12-31,2012-12-31,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,20530.4,24223.67,16593.41,22199.16,5186.65,11949.46,18245.14,25414.88,5229.51,10740.84,16226.29,24033.69,6918.45,18577.68,36468.18,59463.66,14866.43,39682.27,65011.51,124159.49,28191.14,65904.65,88946.82,119786.17,25690.47,49968.7,76172.02
收到的税费返还,0.0,0.0,66.4,66.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.75,152.96,666.91,606.21,51.83,289.49,552.67,910.89,320.3,569.95,1104.13
收到的其他与经营活动有关的现金,942.13,1300.72,489.74,528.09,30.05,79.42,78.53,109.63,103.32,329.6,427.94,629.48,76.36,945.4,1423.58,687.01,312.27,1366.68,4405.7,3406.25,560.82,1127.89,5286.9,5909.01,1987.36,2971.25,9064.01
经营活动现金流入小计,21472.53,25524.39,17149.55,22793.65,5216.71,12028.88,18323.67,25524.51,5332.82,11070.45,16654.23,24663.17,6994.81,19523.08,37891.76,60150.67,15443.45,41201.91,70084.11,128171.94,28803.79,67322.02,94786.4,126606.07,27998.14,53509.91,86340.16
购买商品、接受劳务支付的现金,12906.73,15448.54,10099.9,13378.83,4213.43,7901.46,12188.73,16096.68,4107.58,8243.14,12685.22,17322.74,4412.02,9968.03,19064.42,34921.09,7866.33,24482.91,45329.7,91273.2,18745.25,39126.16,46669.47,57113.41,19542.34,30929.11,48062.83
支付给职工以及为职工支付的现金,2663.01,3832.64,3225.77,4271.81,1140.64,2249.71,3498.36,4732.05,1412.82,2824.16,4331.44,5935.85,1675.27,4116.88,6594.33,9586.97,3726.96,8363.21,13831.74,19713.52,5771.99,12394.56,19118.13,26055.29,6755.6,13043.81,19888.31
支付的各项税费,2324.12,2582.01,2290.95,2594.58,470.7,989.04,2243.65,2786.25,362.16,758.29,1532.61,2304.02,958.79,1998.0,2566.09,4938.5,1568.38,3806.9,6748.58,10214.84,4154.62,5826.89,9195.81,11693.11,2048.77,3121.69,4423.81
支付的其他与经营活动有关的现金,1777.19,1487.07,967.02,1579.37,369.06,887.39,1533.4,2062.64,556.01,1261.0,1821.57,2554.0,639.71,1704.06,3726.54,5559.68,1814.79,3751.09,6771.59,7226.97,3753.13,8892.28,11680.48,10065.45,6079.13,8654.94,14788.58
经营活动现金流出小计,19671.04,23350.26,16583.63,21824.59,6193.83,12027.6,19464.14,25677.62,6438.58,13086.58,20370.84,28116.59,7685.79,17786.98,31951.38,55006.24,14976.46,40404.11,72681.61,128428.52,32424.98,66239.89,86663.88,104927.27,34425.84,55749.55,87163.53
经营活动产生的现金流量净额,1801.49,2174.13,565.91,969.06,-977.13,1.29,-1140.47,-153.11,-1105.75,-2016.13,-3716.61,-3453.42,-690.98,1736.1,5940.39,5144.43,466.99,797.79,-2597.5,-256.58,-3621.19,1082.13,8122.51,21678.79,-6427.71,-2239.65,-823.37
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0
取得投资收益所收到的现金,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,34.25,20.69,11.57,13.92,1.5,6.89,6.89,7.94,9.36,13.8,114.57,15.17,5.92,6.78,5.92,1.5,0.0,15.4,31.4,77.31,0.03,30.93,81.87,505.47,57.92,125.05,220.98
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,648.06,0.0,0.0,0.0,792.71,0.0,0.0,148.48,0.0,0.0,1075.15,1345.2
投资活动现金流入小计,39.48,20.69,11.57,13.92,1.5,6.89,6.89,7.94,9.36,13.8,114.57,15.17,5.92,6.78,5.92,670.6,0.0,15.4,31.4,870.03,0.03,30.93,230.35,5318.71,57.92,1200.2,1566.18
购建固定资产、无形资产和其他长期资产所支付的现金,1619.03,982.59,263.89,423.24,214.38,386.14,661.54,835.36,292.46,812.87,2364.85,7561.76,541.96,995.47,1259.36,1895.61,408.52,2068.45,7031.62,11133.64,3533.84,10866.55,16728.68,17118.61,1512.17,6104.49,13680.95
投资所支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5997.6,5762.4,5762.4,5762.4,5762.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6089.68,515.32,1215.32,2807.33
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1143.09,1127.0,27026.72,27026.72,26227.15,13075.57,13075.57,13075.57,17387.97,3300.0,3271.06,3486.06,3271.06,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3016.53,3016.53,3016.53
投资活动现金流出小计,1619.03,982.59,263.89,423.24,214.38,386.14,661.54,835.36,292.46,812.87,2364.85,14702.45,7431.36,33784.59,34048.48,33885.16,13484.09,15144.02,20107.18,28521.61,6833.84,14137.61,20214.74,26479.34,5044.02,10336.33,19504.81
投资活动产生的现金流量净额,-1579.55,-961.9,-252.32,-409.32,-212.88,-379.25,-654.65,-827.41,-283.1,-799.07,-2250.27,-14687.28,-7425.44,-33777.81,-34042.56,-33214.56,-13484.09,-15128.62,-20075.79,-27651.58,-6833.81,-14106.68,-19984.39,-21160.63,-4986.1,-9136.13,-17938.63
吸收投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13935.0,0.0,0.0,0.0,11686.9,0.0,30669.0,30669.0,30669.0,24300.0,24042.0,24042.0,24042.0,0.0,0.0,0.0,0.0,0.0,10847.49,10847.49
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,1735.54,1369.67,1832.75,494.54,1815.71,2670.53,3576.65,321.3,1610.27,4098.49,7201.99,2602.57,4697.95,6197.95,6443.6,1800.0,7123.26,14434.07,25273.38,11669.24,23923.64,37750.82,51305.74,15517.0,24417.0,36727.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,112.29,135.15,293.81,293.81,459.12,459.12,459.12,459.12,452.19,452.19,452.19,452.19,348.11,1147.68,348.11,858.2,1004.85,1509.63,2109.63,3509.63,3271.56,5546.09,5189.22,10853.98,2794.05,9303.03,9881.65
筹资活动现金流入小计,112.29,1870.69,1663.47,2126.56,953.66,2274.83,3129.65,17970.77,773.5,2062.47,4550.68,19341.08,2950.67,36514.63,37215.05,37970.8,27104.85,32674.89,40585.69,52825.01,14940.81,29469.73,42940.03,62159.71,18311.05,44567.52,57456.14
偿还债务支付的现金,1116.0,1273.73,2336.17,2954.25,950.75,1644.84,2343.93,3429.41,984.16,2522.12,2961.93,3486.68,1839.3,3893.98,6393.98,8353.31,1228.46,4521.0,7257.96,10931.8,6045.69,14308.99,25346.49,36192.48,9984.92,17480.29,31086.45
分配股利、利润或偿付利息所支付的现金,269.05,229.54,164.84,195.13,32.35,514.43,551.9,605.09,39.96,433.04,472.35,550.76,97.01,805.49,860.77,937.96,55.78,1516.96,1603.78,2174.11,321.65,3092.17,3357.72,3392.4,486.36,8949.44,9457.96
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,235.75,373.81,1721.73,542.14,298.75,291.91,625.32,530.17,659.56,661.62,571.05,702.39,446.17,2313.38,1499.74,2019.73,937.58,6264.06,4261.66,4832.71,1683.57,3407.29,4610.39,22619.63,3945.64,4617.91,4800.94
筹资活动现金流出小计,1620.8,1877.08,4222.74,3691.52,1281.84,2451.17,3521.16,4564.67,1683.69,3616.78,4005.33,4739.84,2382.48,7012.85,8754.49,11311.0,2221.82,12302.03,13123.4,17938.62,8050.91,20808.44,33314.6,62204.52,14416.92,31047.64,45345.35
筹资活动产生的现金流量净额,-1508.51,-6.39,-2559.27,-1564.95,-328.19,-176.34,-391.51,13406.1,-910.2,-1554.32,545.35,14601.24,568.19,29501.78,28460.56,26659.81,24883.03,20372.86,27462.29,34886.39,6889.9,8661.29,9625.43,-44.8,3894.13,13519.88,12110.78
四、汇率变动对现金及现金等价物的影响,-15.07,-0.03,-0.66,-0.8,-0.25,-0.09,-0.09,-0.17,0.14,-0.12,0.0,0.46,0.0,7.32,0.43,29.19,-4.04,-19.07,-32.68,-30.39,10.58,115.2,14.06,95.93,-135.46,-89.75,-110.02
五、现金及现金等价物净增加额,-1301.64,1205.82,-2246.34,-1006.01,-1518.45,-554.39,-2186.72,12425.4,-2298.91,-4369.64,-5421.54,-3539.0,-7548.22,-2532.61,358.83,-1381.12,11861.89,6022.97,4756.33,6947.84,-3554.51,-4248.06,-2222.38,569.29,-7655.14,2054.35,-6761.23
加:期初现金及现金等价物余额,5384.81,4083.17,5288.99,5288.99,4282.98,4282.98,4282.98,4282.98,16708.38,16708.38,16708.38,16708.38,13169.38,13169.38,13169.38,13169.38,11788.26,11788.26,11788.26,11788.26,18736.09,18736.09,18736.09,18736.09,19305.39,19305.39,19305.39
六、期末现金及现金等价物余额,4083.17,5288.99,3042.65,4282.98,2764.53,3728.59,2096.26,16708.38,14409.48,12338.74,11286.85,13169.38,5621.16,10636.77,13528.21,11788.26,23650.15,17811.23,16544.59,18736.09,15181.58,14488.03,16513.72,19305.39,11650.25,21359.73,12544.16
净利润,3809.38,4170.65,2364.88,3276.52,0.0,1779.3,2571.7,2913.33,0.0,1652.64,0.0,3934.04,0.0,1994.73,0.0,7283.65,0.0,8171.25,0.0,20001.88,0.0,11478.28,0.0,1891.8,0.0,4121.18,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,149.5,126.61,110.4,127.98,0.0,182.58,168.27,194.53,0.0,233.21,0.0,590.84,0.0,371.03,0.0,638.25,0.0,646.7,0.0,4389.4,0.0,425.4,0.0,23417.88,0.0,295.56,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,511.45,549.09,436.85,586.49,0.0,308.68,470.46,638.69,0.0,342.98,0.0,708.33,0.0,460.1,0.0,1107.06,0.0,737.74,0.0,1616.54,0.0,855.0,0.0,1820.83,0.0,988.45,0.0
无形资产摊销,37.28,35.01,27.32,36.84,0.0,19.04,28.56,38.65,0.0,19.78,0.0,40.29,0.0,75.27,0.0,310.28,0.0,299.72,0.0,655.68,0.0,393.08,0.0,879.31,0.0,421.14,0.0
长期待摊费用摊销,184.88,199.16,56.59,75.21,0.0,37.3,55.61,73.31,0.0,43.01,0.0,98.89,0.0,53.6,0.0,126.67,0.0,114.53,0.0,262.19,0.0,159.68,0.0,351.64,0.0,209.35,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,-2.41,-14.31,-4.13,-4.86,0.0,-4.42,-2.09,-2.01,0.0,-2.45,0.0,9.76,0.0,-4.17,0.0,-8.97,0.0,-1.33,0.0,-1.34,0.0,-7.16,0.0,20.16,0.0,131.29,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
