报表日期,2013-12-31,2014-12-31,2015-09-30,2015-12-31,2016-06-30,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,20150.88,24371.34,21390.72,28264.62,14435.58,35199.67,58796.93,80237.86,0.0,48646.82,73206.02,99390.57,0.0,46924.38,69092.09
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.32,0.0,11.08,11.08,85.48,0.0,5.81,580.62
收到的其他与经营活动有关的现金,448.05,958.63,450.81,441.75,369.76,2997.91,3634.7,11005.22,0.0,4097.74,6279.82,6824.11,0.0,3806.57,4922.68
经营活动现金流入小计,20598.93,25329.98,21841.52,28706.37,14805.34,38197.58,62431.63,91261.4,0.0,52755.64,79496.92,106300.16,0.0,50736.76,74595.39
购买商品、接受劳务支付的现金,10345.46,10494.15,8617.78,10359.46,4376.97,6611.47,8097.93,6502.36,0.0,4668.74,5483.57,6961.21,0.0,4389.38,7350.04
支付给职工以及为职工支付的现金,2091.99,2889.93,2583.08,3498.92,2307.33,4867.29,7139.09,8916.0,0.0,6212.22,9450.19,13569.73,0.0,9419.46,13322.61
支付的各项税费,1488.22,1796.44,2395.65,3466.72,1502.13,5357.94,8812.17,10580.84,0.0,6391.51,9336.34,12772.7,0.0,5837.14,8931.7
支付的其他与经营活动有关的现金,3861.53,5478.26,4331.01,6324.6,2090.19,10755.1,29812.46,48583.45,0.0,26785.29,41473.41,58813.5,0.0,25392.36,37450.81
经营活动现金流出小计,17787.19,20658.77,17927.53,23649.7,10276.61,27591.8,53861.65,74582.65,0.0,44057.76,65743.51,92117.14,0.0,45038.34,67055.16
经营活动产生的现金流量净额,2811.74,4671.21,3914.0,5056.67,4528.73,10605.78,8569.98,16678.75,1054.3,8697.89,13753.41,14183.02,1985.67,5698.42,7540.23
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,162.22,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
