报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31
货币资金,2788.62,5960.23,3737.92,1246.42,3609.34,2151.78,2444.78,3144.23,708.37,8055.42,1712.83,6095.07,7830.33,5776.99,10779.74,12556.39,12357.15,22126.23,7489.31,6174.99,14646.28,27516.2
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,2955.49,2957.24,7429.67,0.0,13150.6,14657.75,15389.88,16006.07,22553.61,18970.48,21354.18,19964.06,7039.95,7769.01,9347.34,8240.32,8921.6
应收票据,2655.0,3913.22,2371.12,582.0,710.83,1926.13,1789.83,4878.98,4447.22,7791.11,9342.91,11992.5,10621.05,15623.53,12640.89,10634.69,10040.16,0.0,0.0,0.0,0.0,0.0
应收账款,45.91,1754.55,2937.59,1152.53,1348.7,1029.36,1167.41,2550.7,3798.96,5359.5,5314.84,3397.39,5385.02,6930.08,6329.59,10719.49,9923.89,7039.95,7769.01,9347.34,8240.32,8921.6
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12576.8,13419.01,16425.39,20112.22,19497.47
预付款项,380.79,81.8,371.25,1084.75,3801.17,2550.86,2127.54,1522.2,2380.85,646.22,798.14,1738.83,795.57,303.82,1140.87,1035.36,1077.94,770.95,983.71,624.73,944.75,177.92
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,1322.95,1322.59,1306.25,0.0,2066.94,1504.2,1424.46,1443.15,1359.44,1404.28,1387.08,881.41,160.65,212.16,188.72,158.76,125.81
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,399.93,544.34,1010.12,869.08,1085.4,1322.95,1322.59,1306.25,1315.79,2066.94,1504.2,1424.46,1443.15,1359.44,0.0,1387.08,0.0,160.65,0.0,188.72,0.0,125.81
