报表日期,2016-12-31,2017-12-31,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,16135471.0,18222184.0,19676203.0,4768556.0,9110987.0,14332406.3,19738469.0,0.0,0.0,16071255.4
收到的税费返还,2094.0,3311.0,6980.0,2607.0,5964.0,9252.8,10226.0,0.0,0.0,9666.4
收到的其他与经营活动有关的现金,50195.0,43160.0,278101.0,46927.0,68640.0,69072.4,145855.0,0.0,0.0,55568.3
经营活动现金流入小计,16187760.0,18268655.0,19961284.0,4818090.0,9185591.0,14410731.5,19894550.0,0.0,0.0,16136490.1
购买商品、接受劳务支付的现金,14639890.0,16853701.0,18058849.0,3673385.0,7607472.0,11764279.1,17050367.0,0.0,0.0,13879390.6
支付给职工以及为职工支付的现金,346986.0,380645.0,406390.0,143977.0,254069.0,363045.2,481007.0,0.0,0.0,408309.0
支付的各项税费,352060.0,323179.0,396926.0,76461.0,184256.0,195542.9,326305.0,0.0,0.0,215069.4
支付的其他与经营活动有关的现金,683510.0,654776.0,873623.0,185961.0,290151.0,513373.6,684053.0,0.0,0.0,634355.0
经营活动现金流出小计,16022446.0,18212301.0,19735788.0,4079784.0,8335948.0,12836240.8,18541732.0,0.0,0.0,15137124.0
经营活动产生的现金流量净额,165314.0,56354.0,225496.0,738306.0,849643.0,1574490.7,1352818.0,782456.0,988530.0,999366.1
收回投资所收到的现金,910431.0,3501242.0,8620540.0,2946619.0,3892941.0,4968097.2,5962428.0,0.0,0.0,4598037.6
取得投资收益所收到的现金,101963.0,419782.0,296293.0,88170.0,180297.0,269066.9,363703.0,0.0,0.0,272298.7
处置固定资产、无形资产和其他长期资产所收回的现金净额,6777.0,8053.0,10586.0,2643.0,3281.0,4296.3,7244.0,0.0,0.0,8024.0
处置子公司及其他营业单位收到的现金净额,10912.0,0.0,1711.0,0.0,8906.0,9242.3,9242.0,0.0,0.0,2192.9
收到的其他与投资活动有关的现金,0.0,49653.0,0.0,84.0,22978.0,63888.4,67909.0,0.0,0.0,13367.6
投资活动现金流入小计,1030083.0,3978730.0,8929130.0,3037516.0,4108403.0,5314591.1,6410526.0,0.0,0.0,4893920.8
购建固定资产、无形资产和其他长期资产所支付的现金,311103.0,254554.0,423806.0,142815.0,338681.0,476564.4,717357.0,0.0,0.0,529889.8
投资所支付的现金,1425224.0,4671301.0,8453252.0,4093250.0,5215312.0,5606061.8,5814415.0,0.0,0.0,4809849.7
取得子公司及其他营业单位支付的现金净额,0.0,2099.0,6686.0,0.0,3074.0,13940.3,24536.0,0.0,0.0,2168.4
支付的其他与投资活动有关的现金,7346.0,0.0,50408.0,26398.0,0.0,0.0,0.0,0.0,0.0,274969.0
投资活动现金流出小计,1743673.0,4927954.0,8934152.0,4262463.0,5557066.0,6096566.5,6556308.0,0.0,0.0,5616876.9
投资活动产生的现金流量净额,-713590.0,-949224.0,-5022.0,-1224947.0,-1448663.0,-781975.4,-145782.0,0.0,0.0,-722956.1
吸收投资收到的现金,82207.0,172769.0,15867.0,591.0,1693.0,1926.3,10560.0,0.0,0.0,2456.9
其中：子公司吸收少数股东投资收到的现金,4324.0,11341.0,15867.0,591.0,1693.0,1926.3,10560.0,0.0,0.0,2456.9
