报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,24702.14,29729.53,35605.3,48520.13,9344.58,22248.7,43925.68,63835.66,8488.46,23712.71,43197.93,55203.89,9057.57,22510.83,35424.29,56664.04,8270.57,16359.7
收到的税费返还,2.15,9.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.96,45.25,73.31,29.99,49.28,49.28,49.28,0.0,30.21
收到的其他与经营活动有关的现金,298.91,480.04,555.9,1318.28,221.66,1198.76,1582.82,1097.34,117.94,308.55,653.56,1239.07,481.47,869.77,1286.62,1913.47,554.91,1059.97
经营活动现金流入小计,25003.2,30219.04,36161.19,49838.41,9566.24,23447.45,45508.5,64933.0,8606.4,24040.22,43896.74,56516.27,9569.02,23429.88,36760.2,58626.79,8825.47,17449.88
购买商品、接受劳务支付的现金,22323.58,25088.61,30516.99,38529.57,11895.4,21996.15,40379.6,53126.91,10013.06,19246.09,35625.99,46437.19,7229.72,18061.9,25894.99,41457.93,8328.26,14991.08
支付给职工以及为职工支付的现金,564.55,696.46,1588.8,2738.71,782.55,1481.24,2178.18,2894.34,749.11,1514.74,2296.13,3401.75,1172.19,2059.63,3192.87,4220.42,1416.78,2863.85
支付的各项税费,751.87,819.97,1437.81,1614.23,580.85,970.38,1654.27,2269.61,935.28,1395.68,2715.9,3029.65,1086.08,1513.31,2250.38,2835.74,1048.55,2098.88
支付的其他与经营活动有关的现金,733.07,1835.77,1447.53,2345.54,711.56,1155.06,1784.28,2262.92,579.97,1170.32,1821.59,1693.74,535.59,1632.15,2879.82,2397.98,1233.67,2367.51
经营活动现金流出小计,24373.07,28440.81,34991.13,45228.05,13970.36,25602.84,45996.33,60553.78,12277.42,23326.83,42459.6,54562.33,10023.57,23266.99,34218.06,50912.08,12027.26,22321.31
经营活动产生的现金流量净额,630.13,1778.23,1170.06,4610.36,-4404.12,-2155.38,-487.83,4379.22,-3671.02,713.39,1437.14,1953.94,-454.54,162.9,2542.14,7714.71,-3201.79,-4871.44
收回投资所收到的现金,4244.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534.13,534.13,0.0,0.0,103.35,64077.5,8000.0,22000.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.35,993.4,1104.64,26.12,127.27,277.3,492.14,23.88,159.43
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.24,0.0,0.0,0.45,0.02,0.02,0.02,0.02,0.0,0.0,40.72,40.72,0.2,0.2,0.22,0.22,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,1000.0,0.0,0.0,0.0
投资活动现金流入小计,4244.79,0.0,0.0,0.45,0.02,0.02,0.02,0.02,0.0,21.35,1568.25,1679.48,1026.32,1127.47,1380.87,64569.86,8023.88,22159.43
购建固定资产、无形资产和其他长期资产所支付的现金,6.42,321.01,412.49,863.95,281.18,663.04,669.96,977.55,49.77,456.36,598.24,864.59,51.42,203.09,294.78,661.89,165.52,170.32
投资所支付的现金,4161.92,0.0,0.0,534.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.5,0.0,0.0,0.0,62980.0,17000.0,35000.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,4168.34,321.01,412.49,1398.08,281.18,663.04,669.96,977.55,49.77,456.36,598.24,1962.09,51.42,203.09,294.78,63641.89,17165.52,35170.32
投资活动产生的现金流量净额,76.45,-321.01,-412.49,-1397.63,-281.16,-663.02,-669.94,-977.53,-49.77,-435.01,970.0,-282.61,974.89,924.38,1086.09,927.97,-9141.64,-13010.89
吸收投资收到的现金,0.0,450.0,418.25,0.0,0.0,0.0,0.0,0.0,17949.5,17949.5,17949.5,19435.63,0.0,0.0,204.5,204.5,0.0,190.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,148.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,509.0,2000.0,2910.0,2538.29,10.0,10.0,10.0,10.0,315.02,315.02,315.02,315.02,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,509.0,2450.0,3328.25,2538.29,10.0,10.0,10.0,10.0,18264.52,18264.52,18264.52,19750.65,0.0,0.0,204.5,204.5,0.0,190.0
偿还债务支付的现金,509.0,1650.0,1000.0,3660.0,0.0,0.0,0.0,1638.29,10.0,10.0,247.37,247.37,77.65,77.65,77.65,77.65,0.0,0.0
分配股利、利润或偿付利息所支付的现金,38.08,44.9,277.64,1308.66,19.46,807.91,825.47,831.77,1.76,918.55,903.16,992.66,0.98,0.98,1590.14,1707.76,0.0,0.0
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,724.9,938.1,938.1,935.1,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流出小计,547.08,1694.9,1277.64,4968.66,19.46,882.91,900.47,2545.06,736.66,1866.65,2088.63,2175.13,78.63,78.63,1667.79,1785.41,0.0,0.0
筹资活动产生的现金流量净额,-38.08,755.1,2050.61,-2430.37,-9.46,-872.91,-890.47,-2535.06,17527.86,16397.87,16175.89,17575.53,-78.63,-78.63,-1463.29,-1580.91,0.0,190.0
四、汇率变动对现金及现金等价物的影响,-0.96,-5.6,1.13,8.33,-1.86,16.36,16.97,17.95,0.53,-0.62,-0.45,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
五、现金及现金等价物净增加额,667.55,2206.72,2809.3,790.69,-4696.6,-3674.95,-2031.26,884.58,13807.6,16675.64,18582.59,19246.26,441.73,1008.65,2164.94,7061.77,-12343.43,-17692.33
加:期初现金及现金等价物余额,2838.84,3506.38,5713.1,8522.41,9505.05,9313.1,9313.1,9313.1,10514.11,10197.67,10197.67,10197.67,29443.93,29443.93,29443.93,29443.93,36505.7,36505.7
六、期末现金及现金等价物余额,3506.38,5713.1,8522.41,9313.1,4808.45,5638.15,7281.84,10197.67,24321.72,26873.31,28780.26,29443.93,29885.66,30452.59,31608.87,36505.7,24162.27,18813.38
净利润,0.0,0.0,3111.22,3508.25,0.0,0.0,0.0,4298.77,0.0,2150.05,0.0,5659.22,0.0,2356.1,0.0,5373.27,0.0,1881.36
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,202.16,39.99,0.0,0.0,0.0,45.23,0.0,85.53,0.0,151.5,0.0,243.56,0.0,134.77,0.0,222.84
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,145.52,295.17,0.0,0.0,0.0,540.28,0.0,287.53,0.0,553.49,0.0,242.27,0.0,433.77,0.0,157.55
无形资产摊销,0.0,0.0,8.64,34.8,0.0,0.0,0.0,74.08,0.0,59.32,0.0,155.21,0.0,122.05,0.0,252.69,0.0,145.54
