报表日期,2008-12-31,2009-12-31,2010-12-31,2011-06-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,178.75,1370.88,13491.45,6920.34,10084.77,9919.04,64979.37,64446.5,70609.36,69844.61,61734.38,77686.54,84223.2,75288.15,105560.94,95979.66,108272.23,98334.15,60575.49,50869.45,48921.77,161932.98,207201.37,105673.45,137250.72,136225.33,110922.83,115687.5,139515.46,137454.9,181811.02,125815.11,124052.63,124992.65
交易性金融资产,0.0,14.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27544.8,25665.68,30014.46,20804.46,18246.44,26497.01
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,228.01,889.4,1546.08,2501.68,2349.09,2798.38,3567.84,4500.57,4502.38,4079.27,4553.32,7351.81,6017.89,8918.06,11192.62,10810.44,7722.53,12566.12,12499.03,13636.59,26108.76,29523.16,27894.12,24195.83,31198.58,37159.0,36005.5,27382.45,27544.8,25665.68,30014.46,20804.46,18246.44,26497.01
预付款项,35.18,6.5,49.06,7501.75,601.85,1028.67,1524.59,2691.85,1819.06,2596.12,4037.52,3015.12,1706.43,1806.93,1420.34,2167.11,2949.45,5523.22,6476.9,6861.08,6448.59,10045.43,10866.47,12776.35,14249.85,16827.1,20916.46,24397.61,18777.34,18644.85,18572.25,19247.14,12239.47,14605.05
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.73,597.99,1112.66,578.72,330.47,343.99,445.85,837.15,826.18,350.01,474.49,59.63,243.96,107.6,251.12,100.53,279.43,32.97,104.67,176.09,80.81,175.92,0.0,337.29,320.89
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,1815.97,1626.05,89.32,130.9,188.86,189.05,40.45,40.29,12.13,47.6,147.25,268.75,189.29,206.0,381.38,428.09,418.0,512.91,3640.19,603.32,1591.6,1782.2,1557.25,2060.54,5269.79,4726.34,24115.57,4316.8,2554.48,2751.44,2044.6,2458.5,1652.21,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.9,234.53,228.61,200.68,159.4,119.0,180.81,233.01,167.45,167.45,472.54,472.54,473.3,473.3,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,5800.83,5750.0,0.0,0.0,6000.0,0.0,0.0,0.0,11742.93,435.97,233.11,71.82,166.95,37.56,1476.35,1323.58,707.44,646.29,902.66,1587.89,1841.17,2027.79,2735.86,2149.83,1680.5,1638.85,3044.94,2658.56
流动资产合计,2257.91,3914.29,15175.91,17054.67,13224.57,13935.13,75913.08,77429.21,76942.93,76952.33,77070.46,90434.87,92715.52,86549.62,130868.1,110501.64,120661.08,118035.09,83867.97,72601.48,84787.52,205084.31,248501.7,145771.04,189444.67,197277.62,194307.81,174390.12,191304.04,186747.5,234298.76,169964.07,159572.99,170751.63
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21639.46,37008.56,43297.62,44934.82,47740.28,85308.07,101264.72,134995.04,132082.01,124859.13,125111.17,110151.64,109938.3,88334.21,87192.25,81750.03,80519.65,69343.55,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
