报表日期,2007-12-31,2008-12-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
货币资金,36.69,14806.69,10453.73,10028.0,10968.99,81433.84,78619.58,77896.22,78311.21,76087.51,57822.9,65217.81,60319.97,56986.68,56003.33,50945.6,48633.16,45059.85,44266.11,30607.73,31781.37,20445.43,17101.75,19736.37,21434.62,17423.44,17339.02,11929.24,29113.93,28114.31,26177.8,11075.76,12057.81,12497.52,18115.14,20661.0,17820.85,7482.13,12672.73,10935.23,22997.46,31211.4
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013.15,10069.62
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8988.51,10481.03,12501.66,11657.09,15424.62,11226.04
应收票据,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,621.33,281.76,300.02,590.07,188.44,302.73,242.34,217.92,360.35,282.58,863.11,949.59,2091.53,1632.57,1934.1,2113.79,2316.98,2331.69,3353.29,2933.4,9370.73,9275.24,7891.42,14115.9,16999.31,17924.27,20371.51,24105.97,12444.9,13338.14,10464.4,12735.89,9599.74,10589.95,9508.78,8585.19,8988.51,10481.03,12501.66,11657.09,15424.62,11226.04
预付款项,20.0,430.0,373.32,738.16,702.31,444.76,609.76,1164.59,699.19,1488.44,10765.08,3648.64,3246.53,3849.88,3836.31,4500.53,4622.2,4913.39,5738.93,5425.89,6252.83,8381.67,8553.36,10717.29,5488.99,6748.79,6236.12,5716.42,3459.27,3437.36,3934.83,3592.69,1811.84,1885.28,2373.89,2348.14,2150.66,2629.09,4833.9,8909.54,5701.43,7975.82
应收利息,0.0,20.67,50.44,8.09,14.26,200.11,386.85,442.17,632.16,254.21,207.04,322.49,227.32,378.02,293.52,250.24,253.11,277.94,64.54,69.03,62.76,44.08,20.52,28.98,36.34,11.82,13.44,0.0,0.0,0.0,15.3,0.98,7.96,0.91,0.61,0.61,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.0,0.0,0.0,0.0
其他应收款,979.21,78.92,32.03,84.66,76.51,75.03,594.07,137.51,171.94,464.39,420.24,727.75,515.91,863.66,413.83,593.66,758.28,817.08,742.61,807.05,1456.1,11998.78,1272.84,1066.01,3480.35,2676.31,1816.7,1869.87,10862.78,2105.18,2490.1,2795.87,9841.71,9531.07,10304.42,4110.33,13712.66,19125.69,16261.86,14945.23,1442.42,0.0
