报表日期,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,23396.38,24240.83,9992.87,19655.8,24896.42,37182.45,5294.43,18299.0,26377.27,37134.97,5313.56,15425.87,25908.49,35952.92,7770.06,15398.26,22577.66,28865.74,8760.35,15432.58,24217.9,62910.66,99253.76,218826.95,350283.95,484391.84,121277.39,265585.04,396025.38,512396.52,174818.3,340676.06,492928.35,662714.83,170101.47,343883.76,531567.91,751730.15,308886.56,597880.35,954387.0,1406818.9,433082.45,846812.76,1183024.23,1528924.57,354526.86
收到的税费返还,136.25,0.0,0.0,0.0,0.0,66.56,0.68,1.88,1.88,0.0,0.0,1.46,5.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984.08,3074.91,5626.26,6558.29,3243.45,4615.49,6721.5,9261.89,479.31,2183.8,5772.21,8157.51,953.86,2689.09,4316.59,5879.6,1089.79,1814.82,2161.92,2601.51,301.39,631.73,950.02,3230.33,271.34
收到的其他与经营活动有关的现金,252.17,936.75,1.36,1.52,133.65,192.05,51.72,1462.63,2573.06,1923.46,1.65,255.68,254.18,184.71,164.25,229.13,359.16,526.74,173.74,229.94,821.69,1255.85,646.15,2216.11,5464.34,8391.51,3604.37,5321.89,6944.21,8746.26,1649.1,2595.02,4567.16,5578.65,1757.12,2396.01,3882.68,8073.29,9306.68,5330.32,10530.76,15498.94,5188.34,10687.59,16958.3,21247.44,4014.52
经营活动现金流入小计,23784.8,25177.58,9994.23,19657.32,25030.07,37441.06,5346.84,19763.5,28952.21,39058.43,5315.21,15683.02,26167.82,36137.63,7934.31,15627.39,22936.82,29392.48,8934.09,15662.52,25039.59,64166.51,101883.99,224117.96,361374.55,499341.65,128125.21,275522.42,409691.1,530404.66,176946.71,345454.87,503267.72,676450.99,172812.46,348968.86,539767.17,765683.05,319283.02,605025.49,967079.68,1424919.35,438572.18,858132.07,1200932.55,1553402.35,358812.71
购买商品、接受劳务支付的现金,13482.23,17049.35,4501.68,11212.82,17935.02,25923.34,4761.79,13458.52,19648.37,29343.24,5484.13,13290.51,19098.76,27735.31,4614.21,10465.33,15774.61,18303.27,5801.33,10183.14,18091.76,33447.17,35205.51,89373.89,138536.37,188377.52,50783.03,109431.5,161946.51,184738.12,44990.83,104887.19,162945.94,191824.39,31869.75,76412.62,113996.58,159265.26,26347.28,66349.58,103413.95,132891.12,43996.54,103625.07,153416.15,218992.36,60201.84
支付给职工以及为职工支付的现金,879.27,1109.94,414.66,838.61,1249.57,1768.96,595.47,1384.18,2097.6,2664.33,679.66,1503.47,2376.09,2698.14,736.85,1420.81,2043.59,2576.64,607.7,1361.49,1931.21,4507.79,9384.44,15172.39,21697.23,33482.5,10560.62,19955.47,28745.69,40118.68,13931.21,27348.84,39752.48,59718.43,19748.8,38953.65,52828.01,71662.18,20806.78,38436.23,55624.04,78769.53,32288.38,58014.6,82516.32,109740.17,52264.64
支付的各项税费,2143.72,2205.01,995.59,1703.61,1818.95,2557.0,553.61,555.07,799.09,1099.49,158.51,733.74,1146.51,1047.94,532.38,1072.2,1271.08,1748.67,277.01,863.56,1271.74,4425.57,5058.71,11420.98,17342.48,22635.07,7861.28,16375.09,22683.2,28895.36,5488.31,13757.53,20773.47,36381.84,8007.68,14841.33,20864.76,25865.11,12410.14,23401.02,33302.42,46549.48,10774.71,19657.69,26644.79,39899.4,6005.57
支付的其他与经营活动有关的现金,3056.38,1762.0,503.71,2373.39,2813.34,3904.61,269.37,1613.78,1691.56,2092.12,293.93,731.39,2027.5,2231.83,316.86,979.55,1050.12,1878.97,617.79,1088.84,1979.07,12627.29,36590.4,70047.67,108184.39,146722.74,50336.44,83871.64,130765.21,171458.54,48666.02,89776.58,138198.63,205336.73,56974.16,121037.65,213221.54,313447.13,243915.75,415203.15,585004.75,840952.83,176117.62,431812.06,693934.62,891976.69,173049.13
经营活动现金流出小计,19561.6,22126.31,6415.63,16128.44,23816.88,34153.91,6180.24,17011.54,24236.62,35199.18,6616.23,16259.11,24648.85,33713.23,6200.3,13937.89,20139.4,24507.56,7303.83,13497.03,23273.77,55007.82,86239.05,186014.92,285760.48,391217.82,119541.38,229633.71,344140.61,425210.7,113076.37,235770.14,361670.52,493261.4,116600.39,251245.26,400910.89,570239.69,303479.95,543390.0,777345.16,1099162.95,263177.25,613109.42,956511.88,1260608.62,291521.18
经营活动产生的现金流量净额,4223.2,3051.27,3578.6,3528.88,1213.19,3287.15,-833.4,2751.96,4715.6,3859.25,-1301.02,-576.09,1518.96,2424.4,1734.01,1689.5,2797.42,4884.93,1630.26,2165.5,1765.83,9158.69,15644.94,38103.04,75614.08,108123.82,8583.83,45888.71,65550.48,105193.96,63870.34,109684.73,141597.2,183189.59,56212.06,97723.6,138856.28,195443.36,15803.08,61635.49,189734.52,325756.4,175394.93,245022.65,244420.67,292793.73,67291.53
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.65,1165.81,2117.88,3684.53,3361.08,8495.74,8445.67,15732.33,30455.08,700.01,11863.67,18675.96,42197.16,9175.22,10581.63,21713.99,30365.56,1500.0,22428.5,24689.02,24476.82,17473.18
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.39,205.8,172.1,192.23,341.16,0.0,443.17,697.16,1135.0,11218.28,12323.32,14928.88,2599.96,587.29,3143.12,4515.91,6649.58,544.81,1606.09,2406.36,5015.67,1870.06,5338.87,7429.08,8304.65,3393.46
处置固定资产、无形资产和其他长期资产所收回的现金净额,3.0,6.69,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,230.7,95.0,24.51,24.92,27.35,107.41,0.0,0.0,0.0,110.24,82.89,215.2,231.23,2767.71,50.41,290.09,251.89,1325.77,7.72,189.09,442.45,890.92,372.62,217.47,224.07,1320.17,13.29,20.47,29.74,252.18,11.42,61.46,104.77,109.34,34.19
处置子公司及其他营业单位收到的现金净额,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16012.25,43004.98,43344.97,43344.97,43344.97,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2657.41,9000.0,9000.0,9000.0,9025.73,0.0,22070.0,22070.0,81436.8,10000.0,97441.79,150441.79,222802.26,49000.0,112655.78,190155.78,358086.32,100780.0,248832.05,273832.05,379447.31,258000.0,467850.0,558081.0,666412.74,72466.58
投资活动现金流入小计,3.0,1006.69,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,230.7,95.0,24.51,24.92,27.35,107.41,0.0,0.0,0.0,2802.03,9288.69,9387.3,9423.47,12629.25,1216.23,24921.14,26703.58,87258.66,29721.73,118399.86,181545.45,256748.22,50659.92,127880.04,213571.72,424265.48,153518.3,304385.2,341327.11,458425.68,261381.47,495678.83,590303.87,699303.55,93367.42
购建固定资产、无形资产和其他长期资产所支付的现金,1826.92,2778.18,2641.72,5930.65,7861.97,13897.82,5043.44,8352.28,12973.63,12662.97,1996.32,4353.02,4456.75,4908.96,640.52,1201.64,2046.0,1964.06,1344.69,1670.8,2283.85,5002.49,2331.99,5431.28,6005.1,15758.7,8214.83,22104.16,15452.29,20922.66,21510.16,57562.6,99379.66,101882.12,8120.67,13191.23,23031.09,32448.41,2138.77,5964.52,9179.23,36822.48,89105.07,96839.75,101779.63,107167.55,6726.66
