报表日期,2008-12-31,2009-06-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
销售商品、提供劳务收到的现金,831051.14,232084.8,570973.74,153800.36,288916.82,475155.67,373451.88,57583.81,227911.95,349430.65,528072.2,108770.89,229956.86,300409.95,494923.84,98736.53,291566.55,336147.25,577975.93,85109.66,166494.16,265016.82,472530.69,80726.7,179278.44,270439.71,462192.74,32478.96,146527.84,242283.81,493749.21,107516.33,409417.27,514963.11,832847.09,251006.84,439567.48,555848.39,787019.85,145150.23,422412.22
收到的税费返还,9513.36,676.41,622.86,346.21,730.04,795.76,801.14,410.96,1331.92,1305.4,2947.01,0.0,23.09,38.84,6962.64,2425.62,2425.3,2440.71,2443.89,9.26,57.7,104.38,309.33,2170.02,2196.65,3085.88,3397.17,167.5,715.34,898.34,923.39,9.87,27.99,27.99,1586.19,335.85,534.23,1631.61,2452.91,31.4,3343.37
收到的其他与经营活动有关的现金,8001.95,6991.32,25514.3,3656.45,8080.44,10029.77,55889.38,4719.15,7810.03,12279.21,17119.92,4748.21,5125.06,8964.47,9688.07,5241.26,2843.14,3068.64,5759.49,3856.06,3427.54,3905.35,15490.63,3354.55,3840.38,4650.43,12805.24,2312.8,3377.15,3347.77,99124.38,7558.95,9626.51,15609.98,36673.17,3629.4,5036.84,22722.65,36931.34,11708.97,4892.96
经营活动现金流入小计,848566.45,239752.53,597110.9,157803.03,297727.3,485981.2,430142.4,62713.92,237053.91,363015.26,548139.12,113519.1,235105.0,309413.27,511574.55,106403.41,296834.99,341656.6,586179.31,88974.98,269964.13,551891.69,488330.64,86251.27,185315.47,278176.02,478395.16,34959.27,150620.33,246529.92,593796.98,115085.14,419071.77,530601.08,871106.45,254972.09,445138.55,580202.64,826404.09,156890.6,430648.54
购买商品、接受劳务支付的现金,772641.4,236983.16,564116.09,166500.32,300912.73,481220.71,373714.1,102229.07,264608.91,364802.36,537049.35,118587.88,261371.43,373856.92,529627.82,124142.27,219061.98,266282.36,261353.0,119485.81,168526.22,328678.27,534873.36,71942.8,131043.92,187375.01,344030.83,144432.79,246243.14,297154.35,371366.93,71295.37,226030.02,312455.26,562724.8,198329.37,411692.28,471345.86,548755.18,145418.54,405367.05
支付给职工以及为职工支付的现金,79768.33,45637.03,100899.51,18891.48,53843.98,75742.69,109404.92,27010.24,49760.96,62897.71,100647.3,29966.6,52553.33,58267.98,115162.5,29521.48,55699.11,63850.84,112579.02,28552.75,56622.91,68573.71,112332.98,26319.55,53578.01,64352.0,113253.49,26818.94,51081.19,65571.02,110562.28,28090.65,52900.58,67347.55,114568.28,35415.43,57856.98,73861.4,120416.23,32251.44,63353.39
支付的各项税费,69748.34,43988.17,78960.73,31022.15,51576.37,64116.15,90266.46,25136.7,34244.08,39343.48,52111.27,16430.4,20618.17,25892.74,33476.36,17588.77,22832.97,32609.57,44922.25,9462.97,17910.53,33359.97,49304.44,13652.59,32825.65,41373.11,46061.03,9924.36,16104.28,24191.92,40784.82,15058.13,34465.37,50101.31,65348.92,18723.06,32491.09,45455.14,55722.83,16116.29,21697.02
支付的其他与经营活动有关的现金,40472.98,11682.29,29340.33,8280.59,15230.49,16431.81,27505.09,5982.02,13979.36,16739.57,22758.13,5632.04,15849.08,20204.77,20726.78,6220.71,14572.19,25417.39,18859.38,4952.04,12293.28,22908.8,21264.76,4607.69,8674.38,16162.03,17936.52,5321.69,8517.43,17676.56,21048.9,4323.78,6112.81,19443.43,30121.38,5370.6,5811.38,26734.36,33066.13,6687.76,6089.35
经营活动现金流出小计,962631.05,338290.65,773316.65,224694.54,421563.57,637511.36,600890.57,160358.04,362593.3,483783.13,712566.06,170616.92,350392.02,478222.42,698993.45,177473.24,312166.25,388160.15,437713.64,162453.57,355337.68,736385.9,717775.54,116522.64,226121.96,309262.15,521281.87,186497.79,321946.03,404593.85,543762.92,118767.93,319508.79,449347.55,772763.38,257838.46,507851.74,617396.76,757960.36,200474.03,496506.82
经营活动产生的现金流量净额,-114064.6,-98538.12,-176205.75,-66891.52,-123836.27,-151530.15,-170748.18,-97644.12,-125539.4,-120767.87,-164426.93,-57097.81,-115287.02,-168809.15,-187418.91,-71069.83,-15331.26,-46503.55,148465.67,-73478.59,-85373.55,-184494.21,-229444.9,-30271.37,-40806.49,-31086.13,-42886.72,-151538.52,-171325.7,-158063.93,50034.07,-3682.79,99562.98,81253.53,98343.08,-2866.37,-62713.19,-37194.11,68443.73,-43583.43,-65858.27
