报表日期,2016-12-31,2017-12-31,2018-12-31,2019-09-30
一、营业总收入,2625761.72,2955540.94,3115842.16,2500191.65
营业收入,2625761.72,2955540.94,3115842.16,2500191.65
二、营业总成本,1720458.47,1736935.04,1756366.03,1241254.97
营业成本,1514366.73,1593526.42,1629918.3,1185571.5
营业税金及附加,12026.01,14260.75,2015.61,5713.84
销售费用,0.0,0.0,0.0,0.0
管理费用,6730.61,6350.86,6807.77,5528.18
财务费用,186657.65,122081.82,116786.17,43288.5
研发费用,677.46,715.19,838.17,1152.95
资产减值损失,0.0,0.0,0.0,0.0
公允价值变动收益,0.0,0.0,0.0,0.0
投资收益,0.0,0.0,0.0,0.0
其中:对联营企业和合营企业的投资收益,0.0,0.0,0.0,0.0
汇兑收益,0.0,0.0,0.0,0.0
三、营业利润,902438.87,1207132.85,1366316.38,1269354.33
加:营业外收入,22.47,15.28,104.81,73.08
减：营业外支出,26.59,5.0,1.48,92.15
其中：非流动资产处置损失,0.0,0.0,0.0,0.0
四、利润总额,902434.75,1207143.13,1366419.72,1269335.26
减：所得税费用,112115.95,301798.91,341622.26,317338.76
五、净利润,790318.8,905344.22,1024797.46,951996.5
归属于母公司所有者的净利润,790318.8,905344.22,1024797.46,951996.5
少数股东损益,0.0,0.0,0.0,0.0
基本每股收益(元/股),0.2,0.23,0.26,0.24
稀释每股收益(元/股),0.2,0.23,0.26,0.24
七、其他综合收益,0.0,0.0,0.0,0.0
八、综合收益总额,790318.8,905344.22,1024797.46,951996.5
归属于母公司所有者的综合收益总额,0.0,0.0,0.0,0.0
归属于少数股东的综合收益总额,0.0,0.0,0.0,0.0
