报表日期,2009-12-31,2010-12-31,2011-12-31,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
销售商品、提供劳务收到的现金,3220.32,5740.08,9867.97,0.0,15578.21,4317.8,9692.55,0.0,21052.28,4865.78,10474.69,16359.75,23201.63,6618.2,13012.33,19073.42,26789.82,7624.39,14375.08,22277.09,30823.35,8587.91,16962.98,26893.58,36339.68,11128.47,20782.11,33563.43,48936.26,14216.33,27418.56,42617.71,61205.29,15572.17
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,1230.0,882.51,224.69,0.0,277.16,45.43,262.2,0.0,206.45,125.98,668.14,1031.85,967.57,239.13,589.7,964.53,1163.16,92.35,228.73,409.62,499.45,84.38,364.11,457.08,923.93,89.41,530.82,1035.9,1573.0,225.56,1049.02,3086.7,2772.64,521.19
经营活动现金流入小计,4450.33,6622.58,10092.66,0.0,15855.36,4363.23,9954.75,0.0,21258.74,4991.76,11142.83,17391.59,24169.21,6857.33,13602.03,20037.95,27952.98,7716.73,14603.8,22686.71,31322.79,8672.29,17327.09,27350.66,37263.61,11217.88,21312.94,34599.33,50509.26,14441.89,28467.58,45704.41,63977.93,16093.36
购买商品、接受劳务支付的现金,91.27,231.29,270.24,0.0,378.96,111.11,140.35,0.0,659.83,112.58,252.28,386.02,512.31,146.69,247.76,372.79,535.66,94.37,249.2,420.5,570.17,171.45,334.45,457.61,555.53,94.02,332.19,633.65,2272.04,291.85,814.5,1551.59,2374.64,922.5
支付给职工以及为职工支付的现金,1137.76,1374.46,2223.09,0.0,2999.41,954.3,2142.02,0.0,4515.41,1287.74,2391.53,3743.99,5483.14,1441.92,2752.18,4255.31,5838.39,1703.75,3193.49,4859.24,6792.91,1876.66,3585.42,5427.48,7634.55,2174.46,4442.79,6545.67,9435.67,3327.12,6249.48,9814.94,13864.98,4102.35
支付的各项税费,287.78,923.99,2439.1,0.0,3466.27,1007.87,1976.44,0.0,4477.94,815.12,1378.47,2055.65,2864.79,985.5,1662.92,2439.49,3444.95,705.74,1429.92,2329.89,3530.29,564.48,1615.81,2709.34,3518.07,460.45,2282.57,4705.86,5245.63,2711.73,4510.21,6328.62,9198.88,1411.94
支付的其他与经营活动有关的现金,1670.66,2639.06,3245.26,0.0,4894.08,1439.0,2821.86,0.0,5775.2,1832.1,3872.41,5617.2,6938.65,1586.56,3108.47,5072.11,6651.96,1861.4,3751.66,5966.17,8152.17,2201.87,4400.84,6944.44,9642.04,2747.2,5924.3,9475.88,12910.66,3273.48,6539.45,12254.14,15246.86,2884.6
经营活动现金流出小计,3187.48,5168.8,8177.69,0.0,11738.72,3512.27,7080.66,0.0,15428.38,4047.54,7894.7,11802.86,15798.9,4160.68,7771.34,12139.7,16470.96,4365.27,8624.28,13575.79,19045.55,4814.46,9936.53,15538.86,21350.19,5476.12,12981.85,21361.06,29864.01,9604.19,18113.65,29949.29,40685.37,9321.38
经营活动产生的现金流量净额,1262.85,1453.79,1914.97,1892.87,4116.64,850.96,2874.08,3910.33,5830.35,944.22,3248.14,5588.73,8370.31,2696.65,5830.69,7898.25,11482.02,3351.47,5979.53,9110.92,12277.25,3857.83,7390.56,11811.8,15913.41,5741.76,8331.09,13238.27,20645.25,4837.7,10353.93,15755.12,23292.56,6771.98
收回投资所收到的现金,4600.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,12000.0,6000.0,6000.0,6000.0,10000.0,10000.0,20000.0,27000.0,42500.0,16500.0,37600.0,65100.0,85700.0,26000.0,51000.0,64000.0,74500.0,15100.0,25000.0,25300.0,32600.0,2900.0
