报表日期,2011-12-31,2012-12-31,2013-12-31,2014-12-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,9168.54,13828.0,17275.41,11113.87,14481.57,18213.96,74099.44,71955.73,51636.7,56639.05,45326.68,28967.2,46876.18,50838.92,135973.28,146523.81,119636.36,133921.55,142424.18,139813.7,87822.83,188731.82,107763.87,117096.88,96447.26,101246.99,71468.6,97914.3
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27712.2,19123.58,17034.28,46186.89,97169.11,73128.02
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,25012.92,0.0,0.0,23649.08,0.0,28043.68,0.0,29855.01,0.0,33249.73,32144.35,36051.77,47585.29,42937.99,42581.09,46596.94,52035.54,49273.26,53834.55,47567.61,53021.06,49189.71,45233.28
应收票据,45.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收账款,11534.14,13235.92,14637.5,19212.61,21236.39,25012.92,23250.55,22451.27,23649.08,29049.69,28043.68,27198.6,29855.01,35179.35,33249.73,32144.35,36051.77,47585.29,42937.99,42581.09,46596.94,52035.54,49273.26,53834.55,47567.61,53021.06,49189.71,45233.28
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,1511.49,782.99,726.25,880.04,1169.35,1666.37,1159.76,1065.52,1769.26,2636.78,1990.67,2633.55,5414.08,4112.45,3378.38,3078.86,3506.94,3128.07,2178.86,3142.43,5000.96,2839.65,2304.61,2417.37,2253.87,2658.27,2555.08,2681.69
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,1233.53,0.0,0.0,1487.47,0.0,1086.5,0.0,1120.66,0.0,1093.45,1014.25,1151.76,2157.8,2324.29,1876.14,1910.4,2200.93,2524.03,2549.87,2680.93,2773.18,3491.81,3510.66
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.01,164.87,0.0,0.0,79.33,47.12,0.0,39.71,16.82,270.66,21.75,39.38,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
