报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,13401.23,18870.79,28015.9,23692.1,43179.74,12754.25,26473.06,42312.77,61885.53,19422.9,41323.46,67897.09,102552.41,18776.62,46430.76,63621.66
收到的税费返还,34.09,0.0,427.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.82,82.86,82.86,0.0,0.14,0.14
收到的其他与经营活动有关的现金,286.71,4751.44,2644.7,583.54,17276.28,10734.04,19653.56,32195.74,46761.01,16936.02,32937.53,50671.11,69423.44,27430.79,51342.14,77026.86
经营活动现金流入小计,13722.03,23622.24,31087.93,24275.63,60456.01,23488.29,46126.62,74508.51,108646.53,36358.92,74340.82,118651.06,172058.71,46207.41,97773.04,140648.66
购买商品、接受劳务支付的现金,5083.53,7841.89,12629.56,5765.89,11329.92,2779.01,7923.79,12617.22,19783.87,4280.98,11541.04,19861.38,29945.52,6863.51,11859.37,18328.94
支付给职工以及为职工支付的现金,4629.32,5735.36,6645.09,5799.54,10162.64,4776.72,7102.27,9495.66,12053.1,4810.49,8141.95,11057.72,14074.15,2345.61,5502.46,7894.31
支付的各项税费,714.73,483.45,876.0,1172.46,2216.15,564.66,1253.2,1889.7,2577.76,1168.57,1628.62,1807.95,2443.69,645.07,2611.45,3242.56
支付的其他与经营活动有关的现金,2355.89,3007.85,3580.24,3448.75,16895.73,8475.06,19798.71,33301.71,49593.48,13812.31,35622.09,48228.71,79370.05,8788.26,16720.48,61580.34
经营活动现金流出小计,12783.46,17068.55,23730.89,16186.64,40604.43,16595.44,36077.97,57304.28,84008.21,24072.34,56933.7,80955.75,125833.42,18642.46,36693.76,91046.16
经营活动产生的现金流量净额,938.56,6553.69,7357.05,8089.0,19851.58,6892.85,10048.65,17204.23,24638.32,12286.58,17407.11,37695.31,46225.3,27564.96,61079.28,49602.51
收回投资所收到的现金,65637.95,5140.7,6800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,86000.0,117000.0,124038.54
取得投资收益所收到的现金,424.88,65.77,16.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.27,1141.41,1544.86,1569.25
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,41.22,0.0,33.74,32.05,0.0,0.0,0.02,21.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,1100.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,759.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,66062.83,5247.69,8675.97,33.74,32.05,0.0,0.0,0.02,21.87,0.0,0.0,0.0,13586.27,87141.41,118544.86,125607.79
购建固定资产、无形资产和其他长期资产所支付的现金,2711.79,3382.13,2766.97,1149.43,3947.13,1114.61,3212.49,5137.96,6708.79,764.88,7463.12,9938.13,17111.81,1804.61,8397.31,11333.55
投资所支付的现金,53710.95,5900.0,7301.0,82.32,1083.32,90.0,90.0,3090.0,3345.0,0.0,200.0,300.0,113200.9,23000.0,49000.0,117755.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,21.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,56422.74,9303.4,10067.97,1231.75,5030.45,1204.61,3302.49,8227.96,10053.79,764.88,7663.12,20238.13,130312.71,24804.61,57397.31,129088.56
投资活动产生的现金流量净额,9640.09,-4055.71,-1392.0,-1198.01,-4998.4,-1204.61,-3302.49,-8227.94,-10031.92,-764.88,-7663.12,-20238.13,-116726.45,62336.8,61147.55,-3480.77
吸收投资收到的现金,0.0,574.95,14060.0,98.0,98.0,0.0,500.0,500.0,500.0,0.0,109324.14,109324.14,109324.14,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,574.95,0.0,98.0,98.0,0.0,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,545.09,0.0,257.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,0.0,1120.04,14060.0,355.08,98.0,0.0,500.0,500.0,500.0,0.0,109324.14,109324.14,109324.14,0.0,0.0,0.0
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
分配股利、利润或偿付利息所支付的现金,0.0,0.0,0.0,0.0,220.92,0.0,5005.81,5005.81,5005.81,0.0,0.0,0.0,0.0,0.0,0.0,11552.91
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,220.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,158.57,0.0,1872.15,802.35,1244.35,0.0,90.0,783.2,783.2,0.0,1737.28,1752.11,1752.11,0.0,0.0,0.0
筹资活动现金流出小计,158.57,0.0,1872.15,802.35,1465.27,0.0,5095.81,5789.01,5789.01,0.0,1737.28,1752.11,1752.11,0.0,0.0,11552.91
筹资活动产生的现金流量净额,-158.57,1120.04,12187.85,-447.27,-1367.27,0.0,-4595.81,-5289.01,-5289.01,0.0,107586.86,107572.03,107572.03,0.0,0.0,-11552.91
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
五、现金及现金等价物净增加额,10420.08,3618.02,18152.9,6443.71,13485.91,5688.25,2150.34,3687.28,9317.38,11521.7,117330.85,125029.21,37070.88,89901.76,122226.84,34568.83
加:期初现金及现金等价物余额,6128.77,16548.85,20166.87,38319.77,38319.77,51805.67,51805.67,51805.67,51805.67,61123.06,61123.06,61123.06,61123.06,98193.93,98193.93,98193.93
六、期末现金及现金等价物余额,16548.85,20166.87,38319.77,44763.48,51805.67,57493.92,53956.02,55492.95,61123.06,72644.76,178453.91,186152.27,98193.93,188095.69,220420.77,132762.76
净利润,0.0,0.0,5727.19,0.0,11021.93,0.0,10487.67,0.0,20473.95,0.0,17069.1,0.0,39536.92,0.0,30655.95,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,146.47,0.0,389.83,0.0,234.87,0.0,783.15,0.0,383.47,0.0,1256.82,0.0,473.05,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,661.05,0.0,847.97,0.0,510.82,0.0,1082.11,0.0,584.46,0.0,1445.71,0.0,951.21,0.0
无形资产摊销,0.0,0.0,195.77,0.0,468.88,0.0,297.91,0.0,913.27,0.0,2606.46,0.0,7380.11,0.0,4764.02,0.0
长期待摊费用摊销,0.0,0.0,80.44,0.0,54.15,0.0,24.92,0.0,94.72,0.0,52.08,0.0,106.78,0.0,25.08,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,0.0,0.0,6.68,0.0,0.0,0.0,-15.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,3.72,0.0,1.01,0.0,14.09,0.0,3.28,0.0,10.08,0.0,0.0,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1058.11,0.0,-566.96,0.0
投资损失,0.0,0.0,-475.32,0.0,621.34,0.0,327.7,0.0,321.48,0.0,263.98,0.0,159.2,0.0,-415.23,0.0
递延所得税资产减少,0.0,0.0,-99.37,0.0,-67.2,0.0,52.67,0.0,5.89,0.0,45.67,0.0,5.4,0.0,-8.52,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.62,0.0,37.45,0.0
存货的减少,0.0,0.0,7.22,0.0,-16.61,0.0,11.07,0.0,10.81,0.0,2.2,0.0,4.75,0.0,-5.24,0.0
经营性应收项目的减少,0.0,0.0,-2207.04,0.0,-4528.63,0.0,-4547.01,0.0,-10062.54,0.0,-9004.95,0.0,-6288.45,0.0,-14059.65,0.0
经营性应付项目的增加,0.0,0.0,3320.64,0.0,11049.52,0.0,2647.0,0.0,11016.89,0.0,5401.38,0.0,3621.46,0.0,39228.12,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,0.0,0.0,7357.05,0.0,19851.58,0.0,10048.65,0.0,24638.32,0.0,17407.11,0.0,46225.3,0.0,61079.28,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,38319.77,0.0,51805.67,0.0,53956.02,0.0,61123.06,0.0,178453.91,0.0,98193.93,0.0,220420.77,0.0
现金的期初余额,0.0,0.0,20166.87,0.0,38319.77,0.0,51805.67,0.0,51805.67,0.0,61123.06,0.0,61123.06,0.0,98193.93,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,18152.9,0.0,13485.91,0.0,2150.34,0.0,9317.38,0.0,117330.85,0.0,37070.88,0.0,122226.84,0.0
