报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31
销售商品、提供劳务收到的现金,130309.19,216266.74,335834.95,198306.22,446427.69,450935.18,594082.62,170408.96,362002.2,651343.81,869006.46,175704.33,378345.87,788800.0,1134711.29,307102.32,666885.12,1271056.65,1868369.09,352991.81
收到的税费返还,590.94,213.12,3996.65,2237.98,3281.9,5550.13,5806.37,1552.78,2309.22,3643.17,5035.85,1739.24,5410.41,9836.15,10510.01,1886.68,4437.92,14038.4,13825.35,2328.75
收到的其他与经营活动有关的现金,1034.94,1656.21,850.9,1142.92,4278.05,2953.3,4291.86,3621.79,1816.54,3057.54,4696.49,4215.14,5437.28,6828.38,10049.18,4934.86,14710.04,35203.68,19055.58,25285.57
经营活动现金流入小计,131935.07,218136.08,340682.51,201687.11,453987.65,459438.62,604180.85,175583.53,366127.96,658044.53,878738.8,181658.71,389193.56,805464.53,1155270.47,313923.87,686033.08,1320298.73,1901250.02,380606.13
购买商品、接受劳务支付的现金,108518.13,180051.39,260776.87,169020.81,363699.37,360697.03,471354.38,141653.8,291623.59,505736.5,691897.19,172426.8,349609.94,610159.32,908680.32,269930.15,556578.3,977664.92,1522854.47,291613.85
支付给职工以及为职工支付的现金,7073.98,10561.97,18712.08,13349.22,27858.08,24894.16,35915.27,14339.72,24318.29,37038.46,51352.24,20054.73,33082.95,50201.69,70239.07,26965.27,47264.88,70845.51,99714.76,37684.54
支付的各项税费,4004.94,5667.55,7752.25,5621.0,11759.32,10871.03,15804.52,6359.92,12962.85,17514.0,27698.88,6343.51,9607.87,22168.02,36139.32,8364.65,14379.84,34631.88,41327.25,13467.77
支付的其他与经营活动有关的现金,3835.33,8060.17,14012.55,10589.72,23640.96,24697.45,27284.92,12755.63,16335.81,22339.37,32282.12,14752.48,19560.75,33839.74,48502.56,21279.74,39057.31,107100.85,59088.12,48150.81
经营活动现金流出小计,123432.38,204341.07,301253.75,198580.75,426957.73,421159.68,550359.09,175109.06,345240.54,582628.34,803230.43,213577.52,411861.51,716368.76,1063561.27,326539.81,657280.33,1190243.16,1722984.6,390916.96
经营活动产生的现金流量净额,8502.69,13795.0,39428.76,3106.36,27029.92,38278.94,53821.76,474.47,20887.42,75416.19,75508.38,-31918.81,-22667.95,89095.77,91709.2,-12615.94,28752.75,130055.57,178265.42,-10310.83
收回投资所收到的现金,8000.0,13000.0,5047.8,0.0,0.0,0.0,0.0,0.0,4915.87,4915.87,4915.87,0.0,6712.73,18776.78,83776.78,10000.0,17000.0,32000.0,118200.0,18000.0
取得投资收益所收到的现金,26.75,89.05,20.4,0.0,0.0,224.62,224.62,0.0,784.0,784.0,784.0,0.0,503.72,733.65,1262.97,118.55,872.18,1551.49,2154.9,415.6
处置固定资产、无形资产和其他长期资产所收回的现金净额,871.35,2849.31,3759.26,13.27,25.27,1.78,27.02,0.0,6.51,15.33,22.68,0.84,94.61,19.5,73.57,14.29,85.48,123.92,1361.32,5.96
处置子公司及其他营业单位收到的现金净额,0.0,0.0,128.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,0.0,0.0,69.37,0.0,0.0
收到的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2,0.0,0.0,300.0,3.52,300.0,0.0,0.0,0.43,0.0,0.0
投资活动现金流入小计,8898.1,15938.36,8955.57,13.27,25.27,226.4,251.64,0.0,5706.38,5760.4,5722.56,0.84,7611.07,19533.45,85416.84,10132.84,17957.66,33745.21,121716.22,18421.56
购建固定资产、无形资产和其他长期资产所支付的现金,1304.49,2225.34,9376.21,4151.2,12936.14,13065.18,17195.52,2523.96,5709.22,9421.16,15690.51,5284.07,13111.04,24968.16,32892.59,4855.22,17565.95,21960.81,49547.51,3708.56
投资所支付的现金,8240.0,13000.0,5000.0,0.0,0.0,195.0,395.0,40.0,100.0,100.0,100.0,0.0,17000.0,63120.06,125451.03,10210.0,2354.89,22416.28,114608.0,1967.5
取得子公司及其他营业单位支付的现金净额,9473.58,-89.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29,0.0,0.0,0.0,98.0,5017.13,4917.13,4917.13,5717.14,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,405.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0
投资活动现金流出小计,19018.07,15135.98,14376.21,4151.2,12936.14,13260.18,17590.52,2563.96,6959.22,9926.16,16081.22,5284.07,30111.04,88088.23,158441.62,20082.35,24837.97,57294.22,169872.65,5676.06
投资活动产生的现金流量净额,-10119.97,802.38,-5420.64,-4137.93,-12910.88,-13033.78,-17338.88,-2563.96,-1252.84,-4165.76,-10358.66,-5283.22,-22499.97,-68554.78,-73024.79,-9949.51,-6880.31,-23549.01,-48156.43,12745.5
吸收投资收到的现金,2270.0,0.0,60.0,40.0,240.0,40.0,40.0,0.0,20.0,170.0,170.0,72261.41,84915.6,85389.72,85537.72,294.0,1859.6,14041.76,16414.15,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,60.0,40.0,240.0,40.0,40.0,0.0,20.0,170.0,170.0,0.0,48.06,900.0,1048.0,0.0,294.0,1494.0,1482.0,0.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,200.0,700.0,1000.0,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92805.04
收到其他与筹资活动有关的现金,1574.85,70.08,31.53,6424.11,8294.74,2703.45,2703.45,0.0,3686.99,3686.99,3686.99,0.0,5804.04,6138.32,6128.29,2037.27,1470.61,2108.19,462.54,0.0
筹资活动现金流入小计,3844.85,70.08,91.53,6464.11,8534.74,2743.45,2743.45,0.0,3706.99,3856.99,3856.99,72261.41,90719.64,91528.04,91666.01,2531.27,3530.21,16849.94,17876.68,92805.04
偿还债务支付的现金,0.0,0.0,0.0,5171.17,8304.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,1650.0,1800.0,2600.0,200.0
分配股利、利润或偿付利息所支付的现金,2052.8,4047.2,3300.0,4277.53,5086.15,6778.2,6778.2,17721.0,17721.0,30789.0,30789.0,0.0,16994.07,16994.07,17001.0,4.32,24455.23,24462.26,24453.98,11.46
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,70.08,31.53,8294.74,7844.65,2713.35,215.61,3686.99,0.0,3806.33,1228.33,291.1,0.0,6114.87,7096.32,6577.38,0.0,0.0,5128.69,209.02,0.02
筹资活动现金流出小计,2122.88,4078.73,11594.74,17293.34,16104.35,6993.81,10465.19,17721.0,21527.33,32017.33,31080.1,0.0,23108.94,24090.39,23578.38,504.32,26105.23,31390.94,27263.0,211.48
筹资活动产生的现金流量净额,1721.96,-4008.65,-11503.2,-10829.23,-7569.61,-4250.36,-7721.74,-17721.0,-17820.34,-28160.34,-27223.11,72261.41,67610.7,67437.65,68087.63,2026.94,-22575.02,-14541.0,-9386.32,92593.56
四、汇率变动对现金及现金等价物的影响,-17.19,-19.38,-178.04,72.31,49.98,-196.93,-677.08,-439.66,-183.07,374.42,1234.16,800.67,1080.06,365.8,-2172.79,-2176.64,-1747.49,-413.64,-1682.44,-816.72
五、现金及现金等价物净增加额,87.49,10569.35,22326.87,-11788.49,6599.42,20797.86,28084.06,-20250.14,1631.17,43464.51,39160.77,35860.05,23522.84,88344.44,84599.27,-22715.15,-2450.06,91551.92,119040.23,94211.51
加:期初现金及现金等价物余额,9671.4,9758.88,20328.23,42655.1,42655.1,49254.52,49254.52,81034.0,77338.58,77338.58,77338.58,117090.44,116499.35,116499.35,116499.35,201098.62,201098.62,201098.62,201098.62,320780.44
六、期末现金及现金等价物余额,9758.88,20328.23,42655.1,30866.62,49254.52,70052.38,77338.58,60783.86,78969.75,120803.09,116499.35,152950.5,140022.19,204843.79,201098.62,178383.47,198648.55,292650.54,320138.85,414991.96
净利润,0.0,0.0,16411.86,0.0,22588.96,0.0,35463.19,0.0,32360.74,0.0,74207.48,0.0,30931.4,59565.96,68994.13,0.0,39602.96,0.0,106104.31,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,1213.89,0.0,2911.43,0.0,3113.5,0.0,2142.57,0.0,4208.75,0.0,1760.14,3042.2,4882.93,0.0,4393.87,0.0,15746.49,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,1073.39,0.0,1258.78,0.0,1380.24,0.0,1083.43,0.0,2367.52,0.0,2003.31,3038.42,4225.64,0.0,2712.8,0.0,6410.34,0.0
无形资产摊销,0.0,0.0,320.68,0.0,462.06,0.0,622.81,0.0,351.42,0.0,624.75,0.0,298.29,443.82,610.81,0.0,356.02,0.0,859.83,0.0
长期待摊费用摊销,0.0,0.0,84.53,0.0,142.86,0.0,149.85,0.0,94.85,0.0,210.98,0.0,224.12,385.98,588.29,0.0,409.2,0.0,1164.65,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,-775.09,0.0,13.06,0.0,-1.19,0.0,7.92,0.0,88.21,0.0,42.03,-8.77,-131.07,0.0,0.65,0.0,-732.8,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,6.49,0.0,27.59,0.0,94.43,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1962.38,0.0,-7005.4,0.0,8826.07,10376.3,8961.36,0.0,-1955.96,0.0,-1955.96,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,178.04,0.0,133.02,0.0,677.08,0.0,183.07,0.0,-1234.16,0.0,-1080.06,-365.8,2227.25,0.0,43.98,0.0,3186.45,0.0
投资损失,0.0,0.0,-630.34,0.0,-720.15,0.0,-1332.42,0.0,-4562.85,0.0,-7411.98,0.0,-8213.97,-5322.7,-2990.85,0.0,1781.38,0.0,379.3,0.0
递延所得税资产减少,0.0,0.0,-992.45,0.0,-464.8,0.0,517.55,0.0,36.63,0.0,-549.58,0.0,-271.58,-1431.58,-863.72,0.0,-3534.2,0.0,-4302.59,0.0
递延所得税负债增加,0.0,0.0,0.0,0.0,118.0,0.0,47.11,0.0,294.36,0.0,1244.19,0.0,-1025.53,-1023.42,-1036.64,0.0,-34.7,0.0,48.06,0.0
存货的减少,0.0,0.0,-6078.49,0.0,-12151.41,0.0,-7474.55,0.0,-17185.75,0.0,-33971.67,0.0,-52731.28,-63122.73,-34513.93,0.0,-80496.42,0.0,-56236.79,0.0
经营性应收项目的减少,0.0,0.0,-7170.08,0.0,-600.56,0.0,-17211.37,0.0,2789.5,0.0,3239.18,0.0,-8806.61,-39675.18,-24124.37,0.0,-20556.9,0.0,8253.84,0.0
经营性应付项目的增加,0.0,0.0,35792.81,0.0,13338.66,0.0,37869.96,0.0,5253.92,0.0,39490.11,0.0,5375.7,123193.27,61896.7,0.0,82116.22,0.0,91485.42,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2976.19,0.0,3886.26,0.0,7760.47,0.0
经营活动产生现金流量净额,0.0,0.0,39428.76,0.0,27029.92,0.0,53821.76,0.0,20887.42,0.0,75508.38,0.0,-22667.95,89095.77,91709.2,0.0,28752.75,0.0,178265.42,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,42655.1,0.0,49254.52,0.0,77338.58,0.0,78969.75,0.0,116499.35,0.0,140022.19,204843.79,201098.62,0.0,198648.55,0.0,320138.85,0.0
现金的期初余额,0.0,0.0,20328.23,0.0,42655.1,0.0,49254.52,0.0,77338.58,0.0,77338.58,0.0,116499.35,116499.35,116499.35,0.0,201098.62,0.0,201098.62,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,22326.87,0.0,6599.42,0.0,28084.06,0.0,1631.17,0.0,39160.77,0.0,23522.84,88344.44,84599.27,0.0,-2450.06,0.0,119040.23,0.0
