报表日期,2012-12-31,2013-12-31,2014-12-31,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
销售商品、提供劳务收到的现金,99300.65,116626.81,150177.87,186336.5,48087.94,96999.5,157558.5,204627.79,53965.74,101548.79,160364.82,236389.46,62975.24,179679.21,310013.93,441108.97,84607.8,173584.42,834245.36,1293151.73,393018.19,802814.15,1269703.29,2075204.65,520995.15,1147097.92,1759965.73
收到的税费返还,852.06,3588.7,1730.8,4994.32,1802.92,2606.98,4244.21,5041.19,1130.88,2375.91,3497.02,4938.74,926.15,2307.54,4114.67,7472.86,1418.87,2480.2,4168.17,6842.74,1889.78,4529.77,7351.25,12998.66,3972.62,8513.78,13561.24
收到的其他与经营活动有关的现金,3628.56,2413.33,8502.73,4090.76,746.04,1943.75,2613.76,3858.05,924.38,940.49,1188.58,3088.43,315.55,733.92,1085.32,2589.32,208.33,1507.35,5573.26,8430.08,12271.81,10083.75,15954.83,74580.99,9756.46,16642.56,23089.38
经营活动现金流入小计,103781.27,122628.84,160411.4,195421.58,50636.9,101550.23,164416.47,213527.02,56020.99,104865.19,165050.42,244416.63,64216.94,182720.67,315213.92,451171.16,86235.0,177571.97,843986.79,1308424.54,407179.78,817427.68,1293009.37,2162784.31,534724.22,1172254.25,1796616.35
购买商品、接受劳务支付的现金,95466.05,98102.61,135137.99,168981.3,41218.22,85825.61,137085.44,173733.95,40546.98,87354.14,155416.21,236188.87,72405.65,186662.21,295994.78,395874.19,79725.18,158343.3,720590.92,1049234.52,354074.06,685649.05,1094298.05,1588814.44,355886.99,852886.95,1262277.23
支付给职工以及为职工支付的现金,3011.59,4904.04,6814.94,10069.02,3186.06,5822.0,7650.98,11047.65,3915.86,6239.18,9536.1,13584.88,4563.38,8763.99,12702.59,19466.46,4895.38,9970.16,100500.53,125094.48,40980.8,74514.5,108454.72,146492.15,50139.07,90280.6,136394.13
支付的各项税费,1334.75,3220.47,3380.04,6908.96,1229.37,2365.41,3404.57,5334.42,1333.04,2795.79,3654.57,5328.38,2572.22,9052.99,12758.01,17562.65,2842.54,4779.41,10224.23,16899.26,7367.91,11051.5,21064.0,23612.18,16542.4,28398.6,40130.17
支付的其他与经营活动有关的现金,6728.02,11927.25,13086.76,14141.45,4287.15,6510.66,9971.7,16399.35,3257.28,5812.51,8246.62,16509.93,4008.99,7429.36,12698.48,17727.66,4510.53,7874.26,37130.56,36662.77,13440.2,25275.98,31368.49,69406.12,63914.07,89687.13,106731.78
经营活动现金流出小计,106540.4,118154.37,158419.74,200100.73,49920.8,100523.68,158112.69,206515.38,49053.17,102201.62,176853.5,271612.06,83550.23,211908.55,334153.86,450630.97,91973.63,180967.13,868446.23,1227891.02,415862.97,796491.03,1255185.26,1828324.9,486482.53,1061253.28,1545533.31
经营活动产生的现金流量净额,-2759.13,4474.48,1991.66,-4679.16,716.1,1026.55,6303.77,7011.65,6967.83,2663.57,-11803.08,-27195.43,-19333.29,-29187.88,-18939.94,540.19,-5738.63,-3395.16,-24459.44,80533.52,-8683.19,20936.65,37824.1,334459.41,48241.69,111000.98,251083.05
