报表日期,2007-12-31,2008-12-31,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31
销售商品、提供劳务收到的现金,1187510.63,1539191.4,1687329.8,347190.53,732433.0,1072224.83,1619554.73,471210.09,882133.04,1266869.23,1860995.16,458995.45,951731.2,1550935.22,2041663.32,450521.41,929390.49,1465903.02,2080802.4,499802.51,1015029.12,1533339.76,2131808.36,651150.69,1441934.98,2238024.51,3047342.7,715121.65,1535327.01,2516680.75,3402472.88,917318.96,1948294.7,2931942.02,3960067.56,897001.88,1843178.97,3172549.38,4413202.32,1081737.28,2475570.79,3823378.43,5000685.59,1138430.83
收到的税费返还,73644.73,187699.07,159202.2,15443.19,49390.25,75635.81,140721.69,41561.88,64072.55,119454.73,171762.29,19897.56,73926.13,121014.96,166306.36,19169.34,92282.77,118660.87,359210.83,9017.59,61422.66,106417.25,222584.11,56054.28,90627.8,126234.49,201340.93,35882.93,76475.1,139890.61,211274.36,44081.36,78827.14,166347.98,206743.1,58900.77,102778.23,130462.24,167550.77,25741.81,58510.85,76839.3,0.0,0.0
收到的其他与经营活动有关的现金,13161.45,15288.57,12480.09,1921.08,15366.99,26167.12,8460.02,3922.17,7494.25,10645.23,17447.3,48634.72,7471.23,59963.81,15902.41,3222.98,7697.85,17078.44,22333.63,6500.8,12637.03,22174.05,28969.04,18641.9,24749.93,27084.04,41117.99,5360.84,18200.93,23642.96,32584.22,13003.78,13779.21,28234.06,36333.85,7054.25,22159.01,38790.22,61518.53,4689.77,15773.41,40936.09,192915.21,16473.82
经营活动现金流入小计,1274316.82,1742179.04,1859012.09,364554.8,797190.24,1174027.75,1768736.43,516694.15,953699.83,1396969.18,2050204.75,527527.73,1033128.56,1731913.99,2223872.09,472913.73,1029371.11,1601642.33,2462346.86,515320.9,1089088.81,1661931.06,2383361.52,725846.86,1557312.7,2391343.04,3289801.62,756365.41,1630003.04,2680214.31,3646331.46,974404.1,2040901.04,3126524.06,4203144.51,962956.91,1968116.21,3341801.85,4642271.62,1112168.86,2549855.05,3941153.82,5193600.8,1154904.65
购买商品、接受劳务支付的现金,259110.61,380591.57,479394.77,129720.37,259113.16,397953.57,524656.58,115529.69,192865.72,319121.49,440070.4,81680.42,140904.59,345440.1,419507.96,94268.89,237264.88,405420.46,672608.49,114205.75,371396.55,442113.76,699283.52,71425.6,226564.3,472753.3,835221.72,150293.62,298837.77,540636.32,888124.81,195201.6,563913.06,874213.91,1265279.85,173653.43,357655.01,749652.96,1292564.16,234534.75,507753.83,791013.59,1422630.95,184032.21
支付给职工以及为职工支付的现金,117002.0,138343.87,138926.84,28082.95,56736.97,93492.33,141047.99,31579.38,59978.7,96607.48,134561.78,32618.45,67203.53,112383.88,165726.15,36131.08,58308.16,109686.83,174698.07,39090.02,78122.65,115131.81,172048.82,37771.83,74240.36,106987.25,180585.85,49158.77,92095.28,136283.35,219624.25,51451.3,99770.19,150567.02,233948.78,63513.59,132271.82,197734.4,314834.15,78682.32,153650.22,237364.71,405493.29,88053.73
支付的各项税费,216138.11,324132.96,345857.74,71217.97,159081.45,222288.18,350370.86,93484.64,195469.42,283422.74,397667.02,140105.76,249848.46,329314.85,445945.45,151392.92,253292.24,419042.25,565617.88,139266.48,241014.82,344778.38,498038.71,145555.37,284050.11,397296.89,529137.47,201617.1,345924.96,511927.72,624842.1,229644.39,380503.43,515664.51,627655.8,243844.04,371471.92,485309.91,605061.53,229338.51,395300.33,518049.02,601838.03,226847.5
支付的其他与经营活动有关的现金,48203.15,46126.71,28935.56,10021.09,23158.22,48770.93,31316.48,7988.94,16986.32,27390.01,38624.06,13252.7,19671.93,32472.5,49847.06,16860.96,23036.66,66509.48,116497.81,18168.92,28243.29,44890.44,59674.44,15143.9,27208.27,46592.44,48466.74,17020.3,31794.05,66035.46,61637.39,20974.64,37989.46,58443.71,85604.59,19426.17,38150.14,58032.3,89020.01,20796.56,37216.34,80466.89,156720.65,68674.53
经营活动现金流出小计,640453.88,889195.11,993114.91,239042.38,498089.8,762505.0,1047391.91,248582.65,465300.15,726541.72,1010923.25,267657.32,477628.51,819611.33,1081026.62,298653.86,571901.94,1000659.02,1529422.26,310731.16,718777.32,946914.39,1429045.5,269896.71,612063.04,1023629.88,1593411.77,418089.79,768652.05,1254882.85,1794228.55,497271.93,1082176.14,1598889.16,2212489.02,500437.23,899548.89,1490729.57,2301479.86,563352.13,1093920.72,1626894.22,2586682.91,567607.96
经营活动产生的现金流量净额,633862.94,852983.93,865897.18,125512.42,299100.44,411522.75,721344.52,268111.5,488399.68,670427.46,1039281.5,259870.41,555500.04,912302.66,1142845.47,174259.87,457469.17,600983.31,932924.6,204589.74,370311.5,715016.68,954316.02,455950.16,945249.66,1367713.17,1696389.85,338275.63,861350.99,1425331.46,1852102.91,477132.17,958724.9,1527634.9,1990655.5,462519.68,1068567.32,1851072.28,2340791.77,548816.74,1455934.33,2314259.6,2606917.88,587296.69
收回投资所收到的现金,94904.8,15000.0,19000.0,0.0,10018.21,10018.21,10000.0,0.0,0.0,900.0,6800.0,0.0,8300.0,3099.82,0.0,0.0,33826.2,33826.2,16656.38,0.0,0.0,25000.0,0.0,13375.75,13375.75,13375.75,0.0,0.0,0.0,0.0,700.0,0.0,0.0,2839.9,2839.9,0.0,0.0,0.0,0.0,138.57,10000.0,10002.0,10002.0,34044.86
取得投资收益所收到的现金,2920.38,4691.14,4529.52,0.0,3114.0,3292.93,3829.61,0.0,3048.98,3240.38,3646.97,0.0,3500.35,521.24,5608.94,0.0,3377.89,9398.88,21544.41,0.0,4706.74,4881.74,5634.37,0.0,2305.28,2305.28,7615.22,0.0,174.8,1480.13,3555.53,2.14,19.25,4287.15,9018.46,0.0,112.85,1176.6,6337.46,0.0,167.8,6257.27,7794.92,4335.51
处置固定资产、无形资产和其他长期资产所收回的现金净额,5086.64,8099.1,1009.25,416.06,401.92,407.45,4765.35,7.63,511.15,660.2,196.96,4.39,7.66,4.57,5.29,0.0,8.26,6.16,3158.82,4.65,26.43,92035.27,38163.96,2.72,8.17,11.57,42.71,3.12,11.62,26.28,42.85,2.48,2.5,3.76,9.85,77.18,78.77,253.06,1814.19,116.89,447.4,700.07,764.73,1.12
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-209.36,-209.36,0.0,0.0
收到的其他与投资活动有关的现金,5981.08,23680.36,25162.02,256.58,10275.59,18040.44,25226.46,1954.44,5356.15,8384.0,3598.06,5624.7,2432.21,8067.59,10351.52,2073.92,1432.44,3515.9,4530.78,945.91,2123.16,4245.16,29049.77,22378.84,23344.14,25904.18,31710.19,6560.48,6651.14,9098.29,33977.56,915.64,1175.73,1653.68,19563.47,1224.42,2424.91,4504.07,88715.15,1599.41,1881.11,2683.44,30949.04,2277.56
投资活动现金流入小计,108892.89,51470.6,49700.78,672.64,23809.73,31759.03,43821.42,1962.07,8916.27,13184.58,14241.99,5629.09,14240.22,11693.21,15965.76,2073.92,38644.8,46747.14,45890.4,950.56,6856.33,126162.18,72848.09,35757.31,39033.33,41596.77,39368.12,6563.6,6837.56,10604.71,38275.94,920.26,1197.48,8784.49,31431.67,1301.6,2616.53,5933.73,96866.81,1854.87,12286.95,19433.43,49510.69,40659.04
购建固定资产、无形资产和其他长期资产所支付的现金,429746.38,1140504.42,1463248.31,312805.18,642581.65,1090595.38,1812901.24,713543.5,1298291.8,1818813.4,2691463.54,334456.02,1007064.8,1464720.58,2274221.49,567387.52,1004342.22,1630186.79,2370397.77,524099.7,951511.08,1636414.02,2378499.19,536663.26,993488.47,1460629.89,2656181.26,403654.95,944916.98,1545146.57,2384832.33,562804.82,1143989.45,1703302.3,2350949.57,446415.06,887809.66,1590671.78,2317324.17,508762.53,1096588.63,1587850.08,2454908.88,350134.79
投资所支付的现金,105550.7,13000.0,26000.0,294.0,12344.51,12344.51,17594.51,0.0,0.0,0.0,7992.0,0.0,4404.0,0.0,6125.0,0.0,4262.0,0.0,16390.0,2500.0,5943.0,25000.0,8973.0,14044.0,19700.0,24100.8,15391.05,10000.0,13000.0,20265.0,26409.0,0.0,36649.0,50967.37,73717.54,3236.06,28516.06,28566.06,49508.06,0.0,9800.0,3050.0,35069.0,10108.79
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2119.78,9771.2,53759.37,76918.25,124189.85,19383.17
支付的其他与投资活动有关的现金,16211.84,27787.41,8600.0,234.85,7288.83,7434.51,11559.15,3359.56,4140.46,4582.3,5364.07,896.25,6092.4,1875.93,20009.05,807.38,1258.71,1995.17,2905.51,3058.36,6142.06,8394.05,26153.82,1265.48,16429.1,16781.76,30027.08,985.22,979.98,10672.69,10490.35,313.02,370.1,705.01,46296.92,38.92,89.18,101.97,3124.6,232.29,328.73,610.15,65527.82,419.69
投资活动现金流出小计,551508.92,1181291.83,1497848.31,313334.03,662214.99,1110374.4,1842054.9,716903.06,1302432.26,1823395.7,2704819.61,335352.28,1017561.2,1466596.51,2301375.54,568194.9,1009862.93,1632181.96,2389693.28,529658.06,963596.15,1669808.07,2413626.01,551972.74,1029617.56,1501512.45,2701599.39,414640.18,958896.97,1576084.26,2421731.69,563117.84,1181008.54,1754974.67,2470964.03,449690.03,916414.91,1619339.81,2372076.61,518766.01,1160476.73,1668428.48,2679695.55,380046.44
投资活动产生的现金流量净额,-442616.03,-1129821.23,-1448147.53,-312661.39,-638405.26,-1078615.36,-1798233.48,-714940.98,-1293515.99,-1810211.12,-2690577.62,-329723.18,-1003320.98,-1454903.3,-2285409.79,-566120.97,-971218.13,-1585434.82,-2343802.88,-528707.49,-956739.82,-1543645.89,-2340777.92,-516215.43,-990584.23,-1459915.68,-2662231.26,-408076.58,-952059.41,-1565479.55,-2383455.75,-562197.58,-1179811.06,-1746190.18,-2439532.36,-448388.43,-913798.38,-1613406.09,-2275209.8,-516911.14,-1148189.78,-1648995.05,-2630184.86,-339387.4
吸收投资收到的现金,112000.0,78354.0,117178.5,6272.0,27216.6,56839.75,315802.6,110653.4,156844.4,205669.3,334175.62,62658.01,161010.89,187685.56,456998.0,57508.67,295507.37,341390.26,445922.94,13422.57,141160.15,189447.08,316732.87,27705.0,1449453.6,1485829.58,1573820.24,0.2,57367.8,207305.07,267387.98,16213.2,91068.95,168845.2,339529.53,18965.4,110965.9,183501.18,244659.64,0.0,108685.18,152846.28,209318.87,0.0
其中：子公司吸收少数股东投资收到的现金,55500.0,73354.0,117178.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195843.62,0.0,0.0,0.0,226121.0,0.0,0.0,0.0,404685.82,0.0,0.0,0.0,244566.87,0.0,147835.6,0.0,274631.46,0.2,57367.8,207305.07,267387.98,16213.2,91068.95,168845.2,339529.53,500.0,110965.9,183501.18,244659.64,0.0,108685.18,152846.28,209318.87,0.0
取得借款收到的现金,2309349.06,3242422.31,4759869.27,1487404.32,3625011.17,5116745.88,7322729.65,2161910.39,3885376.1,4884820.68,6282754.17,848106.15,2514365.86,3123977.43,4524631.71,613689.27,1595676.29,2601295.4,4146715.85,691585.14,1776490.0,3129150.39,4341676.33,384086.38,1259008.13,1790551.19,3499037.16,538031.32,2352476.88,3640813.61,5176815.03,559481.54,2034530.83,3408979.32,4690411.6,829035.0,1980050.45,3000036.45,4166138.75,1071396.36,2994328.32,3619206.89,4803292.69,942935.83
