报表日期,2010-12-31,2011-12-31,2012-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,824466.55,1234633.03,773107.45,790478.26,822145.61,688447.37,2880134.52,1773385.17,1156042.13,844881.19,1429545.1,1000290.71,1029088.11,854175.62,1050993.41,968961.14,1016447.27,1208345.31,1234808.15,1433447.26,1656867.51,1591519.27,1520793.68,1496024.95,1367037.05,2287943.12,1957164.88,1982025.06,1334580.78,1287178.49,1212837.72,1266877.62
交易性金融资产,3788.1,1847.21,5430.89,3711.49,3833.2,4594.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.89,0.0,0.0,0.0,0.0,143.06,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,922.62,1842.99,2737.95,5121.19,1929.88,5290.84,1332.44,1581.13,1239.97,0.0,663.02,596.39,148.66,464.22,0.0,1323.68,475.36,0.0,131.82,0.0,314.94,54.25,167.93,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,224124.1,213765.04,233740.42,234611.48,199940.67,299773.3,295573.28,636384.65,355185.09,321712.46,302090.92,573549.33,677983.98,625248.03,661334.75,664844.82,589414.1,554495.95,531308.06,664938.1,644464.34,508546.07,657850.34,815306.4,684878.44,776879.55,728235.01,1068608.88,1058640.71
应收票据,0.0,0.0,0.0,522.35,363.0,538.05,556.64,391.51,465.25,1354.43,5.0,566.64,660.0,363.67,1084.0,1206.06,980.64,3958.59,3852.2,466.92,0.0,0.0,1843.35,0.0,269.49,635.31,66917.03,2670.24,328.25,30278.25,190048.17,210048.17
应收账款,163292.05,165539.13,183318.92,223601.75,213402.04,233202.36,234054.84,199549.16,299308.05,294218.85,636379.65,354618.45,321052.46,301727.25,572465.33,676777.92,624267.39,657376.15,660992.62,588947.18,0.0,0.0,663094.74,0.0,508276.58,657215.03,748389.37,682208.2,776551.31,697956.76,878560.71,848592.54
预付款项,0.0,0.0,0.0,61493.9,65796.33,56732.65,34905.76,52298.47,53991.58,67390.75,506094.13,68036.73,74326.67,81816.11,555523.05,620054.88,633351.77,631199.64,595694.47,585324.86,541493.96,572903.05,512894.88,511372.27,575302.05,720401.17,919750.34,1089584.78,1286815.9,1620861.65,1799454.24,1881482.72
应收利息,0.0,0.0,0.0,4448.64,2679.79,2173.61,3267.6,4383.86,6262.24,8632.46,10952.62,12424.76,14373.18,16415.92,19204.11,21884.41,23171.13,25838.47,28231.95,31598.68,0.0,0.0,38844.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,2222.1,0.0,0.0,0.0,0.0,0.0,2661.55,60521.94,57118.4,0.0,0.0,80143.09,15340.85,13741.65,13741.65,18055.67,18055.67,0.0,0.0,14602.32,0.0,0.0,9466.55,7705.78,6420.21,6420.21,8929.91,1045.65,0.0
其他应收款,38616.99,320578.82,814978.86,30827.01,32226.54,62196.06,56529.41,49361.84,78500.43,80694.01,75114.45,61449.54,82159.53,91448.42,73531.82,85158.68,87640.68,75442.85,128135.81,127377.35,100854.89,120680.32,37310.44,0.0,0.0,0.0,7013.85,0.0,8317.58,0.0,7651.71,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,784441.21,788415.48,783368.4,917501.45,975430.1,920366.21,933735.86,928291.56,1051219.64,1012445.86,1622085.95,1064215.66,1041632.15,965911.32,1843882.08,2405684.37,2471786.98,2411168.14,2655803.69,2649099.23,1969355.55,2045090.11,2137225.54,2161984.03,2094076.2,1995197.26,1837063.72,1761599.14,1752995.66,1638082.95,1502073.05,1514449.31
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5597.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,7013.87,5905.26,3555.13,1818.29,4126.4,1316.58,3372.81,3417.05,24.36,227.9,227.9,12.1,13.41,50.45,95.8,124.85,0.0,124.85,124.85,365.9,269.27,291.96,110.08,24.53,22.83,0.0,0.0,0.0,127.19
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
