报表日期,2007-12-31,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,91023.31,164025.09,34624.92,67436.15,106221.3,154541.67,26013.95,58619.09,96689.9,154629.96,34351.67,66060.14,93264.45,170818.43,67860.16,141368.3,224201.72,345470.68,70760.69,160809.49,242414.04,391098.98,86857.53,162249.16,267485.72,392663.16,72244.83,178263.48,298848.47,448131.48,140471.49,289655.13,506736.37,713120.99,198532.22,407106.81,660729.69,866951.74,184656.05,383084.04,609262.75,862601.46,164658.46,399912.78,646583.06,891438.87,125337.42,360922.26,650653.45
收到的税费返还,312.8,154.13,6.21,6.21,6.21,6.21,20.65,288.12,1177.54,1932.36,40.94,269.1,742.14,1656.44,142.19,376.28,2423.98,2927.26,174.85,232.74,555.02,2065.01,1470.59,1608.82,1667.53,2312.65,408.38,705.94,7690.42,16688.39,5472.11,12137.51,21335.49,24952.14,7985.22,16184.65,20653.91,34551.39,8395.9,17004.37,29642.98,51255.31,7707.61,11665.0,18152.2,42882.31,6116.92,10289.93,15505.13
收到的其他与经营活动有关的现金,19553.97,13149.46,971.52,1207.86,1275.54,2429.73,384.0,694.62,1015.2,2081.07,3072.59,586.54,795.17,995.04,2476.65,7531.5,8369.21,4768.38,2671.81,8403.89,18272.54,13836.35,724.53,1640.16,4356.93,6796.76,1493.39,3248.28,9123.21,18666.2,1712.22,3135.91,9451.62,21323.63,3425.51,5561.45,7527.58,18355.48,2770.28,9620.83,14622.03,34972.66,10370.1,26691.19,24825.01,75024.52,1767.64,6075.66,11825.18
经营活动现金流入小计,110890.08,177328.68,35602.65,68650.22,107503.05,156977.61,26418.6,59601.84,98882.64,158643.39,37465.2,66915.77,94801.76,173469.91,70479.0,149276.08,234994.9,353166.32,73607.34,169446.12,261241.61,407000.34,89052.65,165498.14,273510.18,401772.57,74146.6,182217.7,315662.1,483486.07,147655.82,304928.55,537523.49,759396.76,209942.94,428852.91,688911.18,919858.61,195822.22,409709.24,653527.75,948829.43,182736.17,438268.97,689560.27,1009345.7,133221.98,377287.85,677983.76
购买商品、接受劳务支付的现金,87909.86,134718.83,25829.1,49115.46,75308.65,114455.25,36914.59,67495.36,100436.4,140663.36,43124.6,70604.78,104976.89,163581.68,57678.03,131233.61,197961.56,273015.07,74894.0,146238.5,239685.95,340326.8,73075.75,151528.3,264897.86,320535.07,79244.6,170273.63,292852.41,353983.64,143481.69,267578.71,461576.27,589000.41,189731.84,360538.58,581141.38,668608.9,241935.33,400578.6,543653.89,688220.8,179872.64,337147.55,524258.09,680298.47,121322.46,311889.55,585230.21
支付给职工以及为职工支付的现金,2629.63,3627.45,1161.7,2139.15,3281.16,4896.4,1705.1,3343.07,5186.14,7371.97,2454.1,4620.19,7071.46,11069.02,4338.66,8854.24,13892.19,18676.15,5493.74,11176.16,17247.9,23703.83,6483.55,12713.63,19506.47,27456.96,8263.69,16237.2,26044.93,35849.07,11833.34,22078.23,32650.11,44024.85,13123.51,23409.74,35252.6,47562.59,15908.28,29777.75,43481.94,57129.03,15134.14,30142.7,45608.55,63521.42,13568.68,31766.04,50526.75
支付的各项税费,3791.74,7962.52,4138.51,6168.17,9486.43,11176.17,1779.01,2498.24,3349.19,3785.04,2020.91,3508.56,4975.26,7820.32,4482.72,7973.62,10555.86,14242.67,2747.36,6413.18,9395.12,13965.71,3685.23,8191.8,10235.6,13319.1,3565.85,10920.74,22408.5,47015.46,15624.4,32447.78,51847.72,74850.98,27804.99,51003.21,76317.3,101527.93,27702.02,54238.93,71342.36,100245.33,28738.5,65555.0,74566.98,112755.31,11684.92,29016.52,43759.23
支付的其他与经营活动有关的现金,20930.78,21681.58,3019.97,5989.93,8932.17,14362.47,2238.51,4678.82,7789.15,12561.41,2728.42,5247.74,10485.5,12920.79,5528.15,9545.74,13651.61,25715.13,7282.57,11020.23,22674.5,21175.57,7286.47,13791.96,21473.67,36439.01,7495.13,14307.8,26312.09,42455.02,10633.42,19035.48,37821.34,51002.05,16678.02,27548.32,44174.81,71743.71,20318.02,34637.33,54579.89,78428.58,24847.5,44018.39,52996.37,124617.12,20112.65,42476.69,51835.96
经营活动现金流出小计,115262.02,167990.38,34149.27,63412.71,97008.41,144890.3,42637.21,78015.49,116760.89,164381.77,50328.03,83981.26,127509.1,195391.82,72027.56,157607.21,236061.22,331649.01,90417.68,174848.08,289003.47,399171.92,90531.0,186225.68,316113.6,397750.15,98569.27,211739.36,367617.93,479303.19,181572.84,341140.2,583895.45,758878.29,247338.36,462499.85,736886.1,889443.12,305863.65,519232.61,713058.08,924023.74,248592.77,476863.64,697430.0,981192.33,166688.71,415148.79,731352.16
经营活动产生的现金流量净额,-4371.94,9338.29,1453.37,5237.51,10494.64,12087.31,-16218.61,-18413.65,-17878.24,-5738.38,-12862.83,-17065.49,-32707.34,-21921.91,-1548.56,-8331.14,-1066.32,21517.31,-16810.33,-5401.96,-27761.86,7828.42,-1478.35,-20727.54,-42603.41,4022.42,-24422.67,-29521.66,-51955.83,4182.88,-33917.02,-36211.66,-46371.96,518.47,-37395.42,-33646.94,-47974.92,30415.49,-110041.42,-109523.37,-59530.33,24805.69,-65856.6,-38594.67,-7869.73,28153.37,-33466.73,-37860.94,-53368.39
收回投资所收到的现金,117.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960.0,1960.0,1960.0,0.0,0.0,0.0,1400.0,83.25,0.0,0.0,1481.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,529.95,529.95,618.47,0.0,0.0,0.0
