报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30
销售商品、提供劳务收到的现金,8149.21,21251.19,37017.85,70254.54,17565.37,30327.47,39728.03,52570.01,9820.31,16359.09,28130.35,47628.14,11366.73,17697.91,25881.68,45398.93,10095.49,19134.09,31340.1,53129.31,11023.31,22289.52,38274.02,76897.8,19943.67,33696.39,52990.91,102347.69,16345.84,33597.7,63049.3,110810.66,16673.95,38255.0,64312.21,129973.9,18122.91,35194.31,59787.79,134879.37,36569.06,54822.76,77503.2,143628.15,22644.53,41217.64,67448.84,145617.54,20043.92,46133.08,75085.98,153451.93,19364.54,44870.72
收到的税费返还,165.14,237.18,917.32,1470.14,109.39,167.74,201.08,163.83,0.0,163.08,163.1,289.79,9.93,9.93,9.93,224.61,0.0,0.0,0.0,191.78,5.25,0.0,0.0,512.18,136.31,318.61,326.44,621.08,11.2,254.43,266.75,528.58,144.58,339.12,428.85,533.09,160.83,258.06,285.83,356.76,121.85,199.58,246.75,368.29,185.8,186.18,186.52,216.48,0.0,7.97,37.73,37.73,0.0,5.85
收到的其他与经营活动有关的现金,1279.59,2599.88,3729.32,1529.34,819.32,609.51,1362.44,313.13,595.6,1362.77,2659.87,3001.28,797.82,1166.76,1918.25,614.52,516.13,543.97,1590.37,992.3,984.28,4432.74,5197.66,1191.1,2774.66,3490.36,13199.88,1876.17,1846.36,153.49,506.79,2269.25,76.4,114.18,129.92,187.57,200.84,337.82,396.01,509.74,159.61,211.23,203.84,406.26,15.92,39.93,83.07,85.64,15.77,103.94,341.06,461.43,338.75,2812.84
经营活动现金流入小计,9593.94,24088.24,41664.5,73254.02,18494.09,31104.73,41291.55,53046.97,10415.91,17884.94,30953.32,50919.21,12174.48,18874.6,27809.86,46238.06,10611.62,19678.06,32930.48,54313.39,12012.84,26722.26,43471.68,78601.08,22854.64,37505.36,66517.23,104844.95,18203.4,34005.62,63822.83,113608.49,16894.94,38708.3,64870.97,130694.56,18484.58,35790.2,60469.62,135745.86,36850.52,55233.56,77953.78,144402.71,22846.26,41443.75,67718.43,145919.67,20059.69,46244.98,75464.77,153951.09,19703.28,47689.41
购买商品、接受劳务支付的现金,5125.91,15270.74,24550.12,49973.98,12777.45,27438.32,33424.62,42901.21,7239.22,15934.65,24723.27,38342.53,7899.29,13827.56,22375.13,33261.94,8218.85,16761.75,26011.69,36836.87,10531.63,21748.87,32952.72,54192.55,17859.58,33787.79,51421.83,70998.76,16487.9,33165.95,58211.41,79983.55,21071.55,37909.13,50174.88,78435.4,17827.35,34457.22,45496.64,79794.78,33674.14,56421.95,70619.33,91913.75,17113.2,33489.04,45083.63,66371.14,23219.29,37829.8,55120.82,77670.43,19232.41,36077.26
支付给职工以及为职工支付的现金,2132.78,3514.31,5542.47,8286.7,1573.52,1540.46,2096.63,2256.67,616.53,1288.05,2173.17,3399.86,790.64,1570.1,2603.32,4538.9,924.03,2113.27,3683.3,5214.17,1713.24,3866.64,5657.14,9190.85,2457.13,6647.08,9574.71,13091.36,2711.56,8298.12,12024.21,16935.88,4878.24,11645.61,16588.84,21697.92,5517.58,13621.05,18832.7,25478.5,6358.4,15406.21,22903.18,30273.1,7046.46,18494.2,25299.93,32628.5,7995.86,19505.8,27283.42,35380.83,8862.01,21476.68
支付的各项税费,872.92,1307.97,1681.62,3088.76,1016.73,1198.42,1501.99,1620.99,517.16,670.36,886.03,1084.96,422.47,756.15,1146.5,1226.75,433.67,829.36,1519.37,1940.81,856.5,1673.77,2049.18,2266.27,1547.23,2798.74,2974.04,3439.2,1537.77,1795.93,1947.28,2344.75,1661.23,2456.59,3507.24,4378.54,1926.97,2672.42,3722.99,4315.88,2163.47,3601.26,3774.17,4751.33,2240.01,3789.09,4244.01,4344.17,2576.19,3228.91,3835.67,5547.1,1536.8,2352.86
支付的其他与经营活动有关的现金,3316.28,5911.33,8489.43,4139.64,1351.79,3330.21,5070.32,2742.36,1562.17,3231.28,5877.53,4275.86,2365.36,4235.14,6109.31,4807.18,2013.3,4151.1,6947.95,5761.07,1712.03,7786.25,11256.61,9956.71,5021.56,6874.72,20137.84,10479.39,3508.95,5391.36,8331.01,11732.1,3489.68,6609.81,10292.93,13941.08,3379.55,7920.7,11732.63,15608.83,5471.77,7988.01,14599.55,19394.53,5243.95,9692.99,19729.58,27055.8,8203.29,13757.19,19856.2,26865.99,3285.55,7443.19
经营活动现金流出小计,11447.89,26004.35,40263.65,65489.07,16719.49,33507.42,42093.56,49521.23,9935.08,21124.34,33660.01,47103.21,11477.76,20388.94,32234.26,43834.77,11589.84,23855.48,38162.31,49752.92,14813.4,35075.53,51915.65,75606.39,26885.51,50108.33,84108.43,98008.72,24246.19,48651.36,80513.92,110996.28,31100.7,58621.15,80563.9,118452.94,28651.44,58671.39,79784.95,125197.99,47667.78,83417.44,111896.24,146332.71,31643.62,65465.32,94357.15,130399.62,41994.62,74321.69,106096.12,145464.34,32916.77,67349.98
经营活动产生的现金流量净额,-1853.95,-1916.11,1400.85,7764.95,1774.59,-2402.69,-802.01,3525.74,480.84,-3239.4,-2706.69,3816.01,696.72,-1514.34,-4424.4,2403.29,-978.22,-4177.43,-5231.83,4560.47,-2800.56,-8353.27,-8443.97,2994.69,-4030.87,-12602.97,-17591.21,6836.24,-6042.79,-14645.74,-16691.09,2612.22,-14205.77,-19912.85,-15692.93,12241.62,-10166.86,-22881.19,-19315.33,10547.87,-10817.26,-28183.87,-33942.46,-1930.0,-8797.37,-24021.57,-26638.73,15520.05,-21934.92,-28076.71,-30631.35,8486.75,-13213.48,-19660.57
