报表日期,2016-12-31,2017-12-31,2018-12-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
销售商品、提供劳务收到的现金,92824.98,126990.01,174426.16,0.0,0.0,224637.75,54851.47,120007.97,180281.83,273688.36,54791.03,124748.44,198807.65
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.41,58.1,119.15
收到的其他与经营活动有关的现金,277.78,148.04,395.35,0.0,0.0,721.24,344.72,345.56,545.2,1107.58,732.28,979.81,1395.91
经营活动现金流入小计,93102.76,127138.05,174821.51,0.0,0.0,225358.99,55196.19,120353.53,180827.04,274795.94,55528.71,125786.36,200322.72
购买商品、接受劳务支付的现金,84554.44,115125.5,161622.01,0.0,0.0,203373.53,46255.41,98929.78,160416.77,249413.94,60087.42,131129.58,201777.2
支付给职工以及为职工支付的现金,2831.48,4010.69,5746.06,0.0,0.0,7166.08,2323.65,3968.02,5729.79,7650.91,2941.94,5048.98,7379.77
支付的各项税费,4178.42,2900.94,2985.66,0.0,0.0,3837.04,923.22,2452.55,3329.35,4166.28,1025.97,2183.05,2677.57
支付的其他与经营活动有关的现金,2096.66,2796.7,3751.07,0.0,0.0,6748.97,652.89,3145.54,5292.62,6632.85,2091.11,2113.83,5810.34
经营活动现金流出小计,93660.99,124833.83,174104.8,0.0,0.0,221125.62,50155.17,108495.89,174768.53,267863.98,66146.44,140475.45,217644.88
经营活动产生的现金流量净额,-558.23,2304.22,716.71,6141.36,6308.07,4233.38,5041.01,11857.65,6058.5,6931.96,-10617.72,-14689.09,-17322.17
收回投资所收到的现金,6000.0,0.0,50.0,0.0,0.0,2560.0,0.0,0.0,0.0,0.0,0.0,245.0,265.0
取得投资收益所收到的现金,21.2,0.0,7.64,0.0,0.0,6.71,0.0,0.0,87.06,62.58,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.05,0.07,2.55,0.0,0.0,0.05,0.0,21.81,641.99,633.49,2.65,7.12,6.65
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.69,-8.69
收到的其他与投资活动有关的现金,300.0,0.0,0.0,0.0,0.0,539.07,0.0,0.0,0.0,0.0,25.5,0.0,0.0
投资活动现金流入小计,6321.25,0.07,60.19,0.0,0.0,3105.83,0.0,21.81,729.04,696.07,28.15,243.43,262.95
购建固定资产、无形资产和其他长期资产所支付的现金,849.75,1340.78,4409.92,0.0,0.0,3644.51,666.9,1794.32,1873.74,3522.19,947.08,2000.55,2552.82
投资所支付的现金,6216.11,130.4,1827.0,0.0,0.0,2400.0,252.84,552.84,552.84,238.52,0.0,500.0,1120.0
取得子公司及其他营业单位支付的现金净额,88.82,7773.98,0.0,0.0,0.0,334.11,0.0,-0.63,-0.63,7.53,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,1090.0,0.0,0.0,580.0,41.16,41.16,41.16,0.0,0.0,0.0,0.0
投资活动现金流出小计,7154.68,9245.16,7326.92,0.0,0.0,6958.62,960.9,2387.69,2467.12,3768.25,947.08,2500.55,3672.82
投资活动产生的现金流量净额,-833.43,-9245.09,-7266.73,-4903.69,-3415.96,-3852.79,-960.9,-2365.88,-1738.07,-3072.18,-918.94,-2257.12,-3409.86
吸收投资收到的现金,1236.0,6500.0,6454.4,0.0,0.0,1180.0,0.0,25.0,25.0,25.0,27222.45,28309.24,28339.24
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,200.0,0.0,0.0,1180.0,0.0,25.0,25.0,25.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,4000.0,0.0,0.0,4000.1,4000.0,3999.9,4000.0,4004.83,2000.0,2000.0,2000.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,481.0,0.0,0.0,0.0,0.0,58.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,1717.0,6500.0,10454.4,0.0,0.0,5238.52,4000.0,4024.9,4025.0,4029.83,29222.45,30309.24,30339.24
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,4000.0,4000.1,4000.0,4000.1,4000.1,4000.0,4000.0,4000.0
分配股利、利润或偿付利息所支付的现金,0.0,0.0,812.19,0.0,0.0,193.55,48.38,1170.94,1264.02,1264.22,26.34,1961.91,1984.14
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,147.0,38.36,0.0,0.0,0.0,0.0,105.0,105.0,105.0,0.0,1676.15,1786.15,1956.15
筹资活动现金流出小计,147.0,38.36,812.19,0.0,0.0,4193.55,4153.48,5275.94,5369.12,5264.32,5702.49,7748.06,7940.29
筹资活动产生的现金流量净额,1570.0,6461.64,9642.2,903.5,976.5,1044.97,-153.48,-1251.04,-1344.12,-1234.49,23519.96,22561.19,22398.95
四、汇率变动对现金及现金等价物的影响,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
五、现金及现金等价物净增加额,178.34,-479.23,3092.18,2141.17,3868.61,1425.56,3926.64,8240.73,2976.3,2625.29,11983.3,5614.98,1666.92
加:期初现金及现金等价物余额,2621.14,2799.48,2320.25,0.0,0.0,5412.43,6837.99,6837.99,6837.99,6837.99,9463.28,9368.97,9366.02
六、期末现金及现金等价物余额,2799.48,2320.25,5412.43,0.0,0.0,6837.99,10764.62,15078.72,9814.29,9463.28,21446.58,14983.95,11032.94
净利润,2889.96,4459.79,5641.29,0.0,0.0,6233.0,0.0,2133.95,3032.14,5241.86,0.0,1210.93,0.0
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,298.35,156.89,154.25,0.0,0.0,152.92,0.0,419.72,443.18,569.7,0.0,1399.33,0.0
固定资产折旧、油气资产折耗、生产性物资折旧,116.01,188.2,297.24,0.0,0.0,661.67,0.0,406.49,613.63,834.79,0.0,603.6,0.0
无形资产摊销,12.97,21.39,94.12,0.0,0.0,180.94,0.0,87.97,130.28,169.11,0.0,126.65,0.0
长期待摊费用摊销,61.09,122.32,108.79,0.0,0.0,113.27,0.0,62.04,114.66,139.72,0.0,78.54,0.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.53,4.79,44.45,0.0,0.0,22.95,0.0,3.46,5.78,6.34,0.0,-0.24,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,3.72,0.0,1.71,2.73,2.73,0.0,0.27,0.0
公允价值变动损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,149.51,0.0,0.0,213.96,0.0,93.83,138.84,182.14,0.0,43.74,0.0
投资损失,-21.2,0.0,50.13,0.0,0.0,-64.48,0.0,15.04,-15.8,-17.7,0.0,-1053.32,0.0
递延所得税资产减少,40.29,-35.66,-48.65,0.0,0.0,-56.12,0.0,-190.09,-143.69,-24.97,0.0,16.85,0.0
递延所得税负债增加,0.0,-32.32,-25.08,0.0,0.0,-25.51,0.0,-10.66,-15.99,-57.81,0.0,-65.39,0.0
存货的减少,-6024.57,-741.75,-5426.9,0.0,0.0,-6439.01,0.0,5382.89,5687.23,-4562.87,0.0,1735.74,0.0
经营性应收项目的减少,-583.91,-2852.81,-6198.74,0.0,0.0,-1825.61,0.0,-11795.16,-16943.38,-4932.97,0.0,-23692.48,0.0
经营性应付项目的增加,1272.06,309.38,5876.29,0.0,0.0,5083.18,0.0,14374.38,11912.45,9381.89,0.0,4906.69,0.0
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,1380.2,704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
经营活动产生现金流量净额,-558.23,2304.22,716.71,0.0,0.0,4233.38,0.0,11857.65,6058.5,6931.96,0.0,-14689.09,0.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,0.0,0.0,0.0,6837.99,0.0,15078.72,9814.29,9463.28,0.0,14983.95,0.0
现金的期初余额,0.0,0.0,0.0,0.0,0.0,5412.43,0.0,6837.99,6837.99,6837.99,0.0,9368.97,0.0
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金及现金等价物的净增加额,0.0,0.0,0.0,0.0,0.0,1425.56,0.0,8240.73,2976.3,2625.29,0.0,5614.98,0.0
