报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,5318.45,10335.82,23307.5,1805.03,4353.86,9508.02,21438.84,2013.07,5421.91,13924.79,30392.51,3456.72,9307.86,18533.92,46154.78,4535.18,10669.92,20090.92,51237.42,4879.92,9519.21,16738.39,34077.73,4838.81,11246.2,18815.09,46075.39,5902.24,14754.16,24246.13,125922.27,16520.92,37390.58,57689.16,160294.3,13796.17,38544.01,68115.76,159267.88,27607.85,55521.78,93216.51,191952.45,26747.79,53923.61,89692.9,194615.39,26488.29,58500.37,106154.23,221431.31,16333.93,59858.46,110088.61
收到的税费返还,19.01,19.01,528.51,114.07,536.69,780.06,1176.03,467.96,612.41,723.33,1189.2,0.0,108.72,555.44,1374.46,0.0,0.0,485.58,730.43,125.48,1452.62,1588.7,1723.14,184.85,349.59,349.59,542.89,129.74,799.07,1498.22,1741.15,737.92,738.0,1460.17,2009.07,72.91,766.6,1453.15,2052.66,593.51,1835.18,2133.43,2414.65,454.54,1399.62,1486.91,1859.4,749.19,1387.57,2437.29,3243.53,61.38,1360.44,1937.26
收到的其他与经营活动有关的现金,64.0,129.67,224.8,32.65,76.12,82.32,1063.44,584.26,545.23,738.77,829.84,69.76,200.72,450.13,870.8,98.57,243.97,584.07,2298.07,873.27,1322.22,2104.64,7136.03,150.93,160.94,2333.22,3756.12,795.44,832.47,1468.66,5439.2,805.17,2185.77,4352.89,6698.98,299.1,2556.32,4151.14,5078.11,1370.51,2880.39,2331.62,9099.83,1105.27,4247.64,5646.1,16278.27,2391.49,2923.75,3730.4,6363.11,490.59,826.86,2512.53
经营活动现金流入小计,5401.46,10484.51,24060.81,1951.75,4966.67,10370.39,23678.31,3065.28,6579.55,15386.9,32411.56,3526.48,9617.3,19539.49,48400.04,4633.74,10913.89,21160.58,54265.91,5878.68,12294.05,20431.73,42936.9,5174.59,11756.73,21497.9,50374.4,6827.43,16385.7,27213.0,133102.62,18064.01,40314.35,63502.22,169002.36,14168.18,41866.93,73720.04,166398.64,29571.87,60237.35,97681.56,203466.94,28307.6,59570.88,96825.91,212753.06,29628.96,62811.69,112321.91,231037.95,16885.89,62045.75,114538.39
购买商品、接受劳务支付的现金,3234.41,5500.37,7726.42,2051.41,3306.67,5812.35,9792.52,2189.02,4002.46,7212.9,11638.34,4222.29,7288.28,10798.1,18759.83,7850.93,12046.21,16749.81,26119.53,3497.75,6322.38,9276.75,12025.47,4918.09,8218.53,11769.88,22868.09,5377.48,11460.8,17616.24,85085.76,22436.6,45389.59,60725.21,101085.99,29660.35,49088.36,77613.66,116286.75,29894.24,60231.32,93353.57,141088.27,37917.53,62396.27,100905.43,137374.83,49363.49,80257.54,116010.26,166802.53,32720.92,61418.36,94656.13
支付给职工以及为职工支付的现金,2272.36,3301.34,4097.65,1533.2,3015.13,4080.38,5474.21,2312.67,3849.3,5633.66,7309.74,2170.59,3562.79,5487.67,7511.85,2931.68,4718.5,7496.26,10678.97,3684.68,5681.2,7990.24,10206.37,3027.28,4919.1,7299.02,10344.09,3199.96,5153.74,8448.9,19181.33,5272.21,10604.2,16495.31,25090.34,9528.77,16029.18,24219.69,33707.89,13675.05,21074.3,29500.41,35063.18,12924.67,19481.48,25807.02,37556.43,15788.42,23052.69,31535.84,41090.32,19341.87,28194.76,38618.22
支付的各项税费,1599.37,2184.85,3462.81,872.34,1324.09,2134.73,2602.8,1104.31,1568.49,2246.23,3441.71,1046.9,1759.14,2419.86,4075.0,804.39,2770.02,4638.02,6710.54,2482.83,3667.87,4442.4,6098.26,1808.41,2753.51,3548.2,4941.94,1631.11,3053.48,4513.66,11104.07,2964.62,5026.86,7529.08,10152.93,8203.12,10441.01,11872.52,14255.56,8340.23,10820.5,11341.1,14847.75,9715.02,13069.66,14933.97,17629.89,4860.29,7815.04,8618.52,11309.72,5000.17,6891.74,7880.19
支付的其他与经营活动有关的现金,1625.76,3000.63,4466.54,1654.68,2237.32,3828.73,5463.86,1919.78,2968.59,4174.61,5887.64,1602.18,3267.31,5108.16,8650.17,2359.23,5181.42,6262.4,9359.98,1995.9,3562.55,5355.63,7853.19,3265.18,5355.61,6753.25,8023.22,2420.15,4465.04,5774.34,13549.44,3822.79,5831.24,11748.2,12616.77,2501.99,6520.21,9999.06,15870.34,3132.83,8169.1,12374.41,17574.14,4873.99,10550.68,13887.38,16905.01,5712.17,9732.59,16413.57,21623.99,2311.37,5887.54,11504.77
经营活动现金流出小计,8731.9,13987.19,19753.42,6111.63,9883.2,15856.19,23333.4,7525.79,12388.84,19267.39,28277.42,9041.96,15877.52,23813.79,38996.86,13946.23,24716.15,35146.49,52869.04,11661.17,19233.99,27065.02,36183.28,13018.96,21246.75,29370.36,46177.34,12628.7,24133.06,36353.14,128920.6,34496.21,66851.89,96497.81,148946.03,49894.23,82078.76,123704.94,180120.54,55042.36,100295.21,146569.49,208573.34,65431.2,105498.09,155533.8,209466.16,75724.37,120857.86,172578.2,240826.56,59374.32,102392.4,152659.31
经营活动产生的现金流量净额,-3330.44,-3502.68,4307.39,-4159.88,-4916.53,-5485.8,344.91,-4460.5,-5809.29,-3880.5,4134.13,-5515.48,-6260.23,-4274.3,9403.19,-9312.49,-13802.25,-13985.91,1396.88,-5782.49,-6939.94,-6633.29,6753.61,-7844.37,-9490.02,-7872.46,4197.07,-5801.28,-7747.36,-9140.14,4182.02,-16432.2,-26537.54,-32995.59,20056.33,-35726.05,-40211.84,-49984.89,-13721.89,-25470.49,-40057.86,-48887.93,-5106.4,-37123.6,-45927.21,-58707.89,3286.9,-46095.4,-58046.17,-60256.28,-9788.6,-42488.43,-40346.65,-38120.92
