报表日期,2012-12-31,2013-12-31,2014-12-31,2015-03-31,2015-12-31,2016-06-30,2016-12-31,2017-06-30,2017-12-31,2018-06-30,2018-12-31,2019-06-30
销售商品、提供劳务收到的现金,0.0,23819.31,58674.91,2.42,23963.04,13097.97,14367.81,15043.12,154721.2,180736.73,447470.19,392418.17
收到的税费返还,0.0,0.0,342.43,0.0,0.0,0.0,0.0,0.0,0.0,1186.45,1186.5,0.0
收到的其他与经营活动有关的现金,185069.24,243737.95,568593.47,196806.42,384780.66,161461.85,207342.94,49906.51,155837.07,11704.6,59517.41,132384.6
经营活动现金流入小计,232953.16,316654.76,664102.08,206981.19,452900.47,198003.82,277555.2,85401.07,371804.87,212929.15,540869.5,585376.61
购买商品、接受劳务支付的现金,0.0,11862.83,12451.02,30163.53,66444.95,30729.13,33648.66,16810.9,171633.16,185489.89,463234.31,415085.86
支付给职工以及为职工支付的现金,11448.37,14099.01,14510.97,5783.93,16882.54,10627.17,17458.49,12844.53,23371.44,15447.47,26667.13,12198.81
支付的各项税费,5403.51,4973.63,4864.59,871.41,6465.8,2898.08,5928.84,5892.54,6791.13,3740.83,5190.38,5437.61
支付的其他与经营活动有关的现金,157153.51,213193.15,470720.44,76399.25,68860.22,79644.28,147634.36,185899.89,417616.16,148798.97,172076.6,70259.68
经营活动现金流出小计,190956.65,263320.93,520934.53,117265.99,187471.19,134878.56,227190.22,233518.29,641196.44,353477.17,694936.62,513566.61
经营活动产生的现金流量净额,41996.51,53333.83,143167.55,89715.19,265429.28,63125.26,50364.98,-148117.22,-269391.58,-140548.02,-154067.12,71810.0
收回投资所收到的现金,98.56,0.0,128200.0,108001.39,203647.97,32163.41,147437.55,185816.36,265752.42,154118.92,59199.83,43789.79
取得投资收益所收到的现金,0.0,0.0,1186.43,450.96,4427.37,1415.75,2550.88,1061.15,9140.0,12064.81,44551.74,2854.79
处置固定资产、无形资产和其他长期资产所收回的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,761.38,0.0,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.82,0.0,3308.71,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,88352.73,65162.42,131866.19,272856.82,444257.7,134104.62,575557.11,623300.19,1826442.17,964159.79,1526223.83,148334.62
投资活动现金流入小计,88451.28,65162.42,261252.62,381309.17,652333.86,167683.78,728854.25,810177.7,2102095.98,1130343.52,1629975.41,194979.2
购建固定资产、无形资产和其他长期资产所支付的现金,1122.83,3626.91,14008.57,6536.35,4939.52,2736.91,4772.54,1547.2,3991.05,1775.11,3327.17,1894.5
投资所支付的现金,0.0,3000.0,133426.38,115561.97,239953.05,23756.83,205416.32,126706.94,223341.5,126731.83,62773.57,72819.16
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,241.62,2445.71,0.0,0.0,151.1,12.86,32.35,0.0
支付的其他与投资活动有关的现金,39213.2,146473.47,366957.53,288650.95,645664.52,120045.3,584088.04,581482.79,1740610.31,855000.0,1402486.49,77830.5
投资活动现金流出小计,40336.04,153100.37,514392.48,410749.26,890798.71,148984.74,794276.9,709736.93,1968093.96,983519.8,1468619.58,152544.16
投资活动产生的现金流量净额,48115.25,-87937.95,-253139.86,-29440.09,-238464.85,18699.04,-65422.64,100440.77,134002.01,146823.72,161355.83,42435.03
吸收投资收到的现金,31080.0,0.0,0.0,0.0,980.0,0.0,78.4,34.15,8.62,26.28,26.28,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,0.0,0.0,0.0,0.0,13000.0,13000.0,0.0,11000.0,25925.33,38149.59,47675.58
发行债券收到的现金,0.0,0.0,0.0,0.0,44900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,31080.0,0.0,0.0,0.0,45880.0,13000.0,13078.4,34.15,11008.62,25951.61,38175.87,47675.58
偿还债务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000.0,13000.0,11000.0,13000.0,7000.0
分配股利、利润或偿付利息所支付的现金,2000.0,0.0,0.0,0.0,0.0,141.69,3067.9,172.79,2940.03,319.86,3538.26,1198.82
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流出小计,2000.0,0.0,0.0,0.0,0.0,141.69,3067.9,13172.79,15940.03,11319.86,16538.26,8198.82
筹资活动产生的现金流量净额,29080.0,0.0,0.0,0.0,45880.0,12858.31,10010.5,-13138.64,-4931.41,14631.75,21637.61,39476.76
四、汇率变动对现金及现金等价物的影响,-311.77,-1145.45,-1463.92,-1172.72,-599.83,3192.68,-188.38,317.73,-1235.58,438.55,4045.75,8093.62
五、现金及现金等价物净增加额,118879.99,-35749.57,-111436.22,59102.38,72244.61,97875.29,-5235.55,-60497.37,-141556.56,21345.99,32972.07,161815.41
加:期初现金及现金等价物余额,206001.92,324881.91,289132.34,177696.11,177696.11,240394.52,249940.72,244705.17,244705.17,103148.61,103148.61,136120.69
六、期末现金及现金等价物余额,324881.91,289132.34,177696.11,236798.5,249940.72,338269.8,244705.17,184207.8,103148.61,124494.61,136120.69,297936.09
净利润,0.0,0.0,10735.57,0.0,8109.18,0.0,16003.18,0.0,17747.25,0.0,12363.65,5239.47
少数股东权益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
未确认的投资损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
资产减值准备,0.0,0.0,14.22,0.0,411.78,0.0,20.65,0.0,2989.84,0.0,-1000.69,241.0
固定资产折旧、油气资产折耗、生产性物资折旧,0.0,0.0,727.5,0.0,658.75,0.0,592.36,0.0,753.9,0.0,843.69,414.81
无形资产摊销,0.0,0.0,478.33,0.0,1114.0,0.0,1336.7,0.0,1339.98,0.0,970.68,349.98
长期待摊费用摊销,0.0,0.0,420.46,0.0,401.76,0.0,334.24,0.0,388.68,0.0,600.42,232.0
待摊费用的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预提费用的增加,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产的损失,0.0,0.0,12.92,0.0,42.5,0.0,-150.28,0.0,-761.38,0.0,0.0,0.0
固定资产报废损失,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.55,7.11
公允价值变动损失,0.0,0.0,46.42,0.0,249.87,0.0,173.73,0.0,-11199.71,0.0,13158.62,-1047.87
递延收益增加（减：减少）,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预计负债,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
财务费用,0.0,0.0,0.0,0.0,461.25,0.0,284.63,0.0,2972.17,0.0,3586.18,2520.18
投资损失,0.0,0.0,-1186.43,0.0,-5382.47,0.0,-2131.5,0.0,3585.5,0.0,-21679.07,-10014.65
递延所得税资产减少,0.0,0.0,20.28,0.0,166.28,0.0,-856.63,0.0,-972.37,0.0,1580.47,-1014.07
递延所得税负债增加,0.0,0.0,1.69,0.0,44.94,0.0,-46.63,0.0,3439.86,0.0,-3409.98,982.59
存货的减少,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14895.6,0.0,-1202.42,-21547.22
经营性应收项目的减少,0.0,0.0,-115568.1,0.0,-19120.17,0.0,-121645.29,0.0,96555.92,0.0,43134.14,-82890.2
经营性应付项目的增加,0.0,0.0,259260.38,0.0,288007.15,0.0,168978.65,0.0,-349574.41,0.0,-182459.66,187228.3
已完工尚未结算款的减少(减:增加),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
已结算尚未完工款的增加(减:减少),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他,0.0,0.0,-12874.01,0.0,-11019.86,0.0,-12561.44,0.0,-22965.52,0.0,-21547.0,-9240.6
经营活动产生现金流量净额,0.0,0.0,143167.55,0.0,265429.28,0.0,50364.98,0.0,-269391.58,0.0,-154067.12,71810.0
债务转为资本,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的可转换公司债券,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
融资租入固定资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金的期末余额,0.0,0.0,177696.11,0.0,249940.72,0.0,244701.64,0.0,103148.61,0.0,136120.69,297936.09
现金的期初余额,0.0,0.0,289132.34,0.0,177696.11,0.0,249940.72,0.0,244705.17,0.0,103148.61,136120.69
现金等价物的期末余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
现金等价物的期初余额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
