报表日期,2017-12-31,2018-12-31,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
销售商品、提供劳务收到的现金,20695.88,21879.7,0.0,33850.25,0.0,15384.34,0.0,37988.42,0.0
收到的税费返还,1153.89,1809.21,0.0,1126.64,0.0,517.62,0.0,876.51,0.0
收到的其他与经营活动有关的现金,256.16,727.29,0.0,865.47,0.0,328.65,0.0,725.67,0.0
经营活动现金流入小计,22105.94,24416.2,0.0,35842.35,0.0,16230.6,0.0,39590.6,0.0
购买商品、接受劳务支付的现金,10918.12,14588.65,0.0,21928.43,0.0,12368.42,0.0,25530.49,0.0
支付给职工以及为职工支付的现金,3797.48,5141.75,0.0,6050.45,0.0,3389.47,0.0,6850.84,0.0
支付的各项税费,1040.39,690.81,0.0,1226.34,0.0,752.04,0.0,1760.82,0.0
支付的其他与经营活动有关的现金,1864.28,1754.42,0.0,3351.41,0.0,642.14,0.0,1535.45,0.0
经营活动现金流出小计,17620.27,22175.62,0.0,32556.64,0.0,17152.06,0.0,35677.59,0.0
经营活动产生的现金流量净额,4485.67,2240.58,2388.31,3285.71,-1597.77,-921.46,1720.54,3913.01,1355.26
收回投资所收到的现金,0.0,19900.0,0.0,7400.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,2.02,3.8,0.0,41.05,0.0,0.0,0.0,0.0,0.0
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,488.31,126.13,0.0,84.09,0.0,20.28,0.0,37.99,0.0
投资活动现金流入小计,490.33,20029.93,0.0,7525.14,0.0,20.28,0.0,37.99,0.0
购建固定资产、无形资产和其他长期资产所支付的现金,3178.43,3849.65,0.0,3719.51,0.0,1072.98,0.0,2503.55,0.0
投资所支付的现金,0.0,20400.0,0.0,6900.0,0.0,0.0,0.0,0.0,0.0
取得子公司及其他营业单位支付的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,473.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流出小计,3651.48,24249.65,0.0,10619.51,0.0,1072.98,0.0,2503.55,0.0
投资活动产生的现金流量净额,-3161.16,-4219.72,-1557.72,-3094.37,-501.52,-1052.7,-1921.33,-2465.56,-492.21
吸收投资收到的现金,0.0,9250.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
取得借款收到的现金,0.0,640.0,0.0,0.0,0.0,730.92,0.0,730.92,0.0
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,921.83,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
筹资活动现金流入小计,921.83,10340.0,0.0,0.05,0.0,730.92,0.0,730.92,0.0
偿还债务支付的现金,643.4,2346.72,0.0,311.93,0.0,0.0,0.0,166.67,0.0
分配股利、利润或偿付利息所支付的现金,507.97,102.92,0.0,0.0,0.0,93.19,0.0,139.76,0.0
其中：子公司支付给少数股东的股利、利润,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付其他与筹资活动有关的现金,2017.06,2867.76,0.0,224.35,0.0,58.6,0.0,147.07,0.0
筹资活动现金流出小计,3168.42,5317.4,0.0,536.28,0.0,151.79,0.0,453.49,0.0
筹资活动产生的现金流量净额,-2246.59,5022.6,-426.52,-536.23,500.0,579.13,384.49,277.43,-669.05
四、汇率变动对现金及现金等价物的影响,-34.54,-32.72,0.0,3.27,0.0,-34.17,0.0,-170.35,0.0
五、现金及现金等价物净增加额,-956.63,3010.73,420.16,-341.62,-1641.62,-1429.19,45.09,1554.53,63.11
加:期初现金及现金等价物余额,1078.56,121.92,0.0,3132.66,0.0,2791.03,0.0,2791.03,0.0
