报表日期,2013-12-31,2014-12-31,2015-12-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30
销售商品、提供劳务收到的现金,67857.75,88671.15,96437.9,53325.2,83589.73,114477.44,36422.23,84378.64,132403.6,173259.42,44592.83,86066.2,130635.04,182880.11,50834.76,99074.61,151257.87,207570.09,94085.83,510531.59,973510.82
收到的税费返还,2682.38,4496.65,6070.62,3464.53,5878.51,8026.56,2570.77,5408.99,9110.12,11948.65,2566.1,5296.97,8876.19,12018.88,3152.87,6361.79,9930.6,13938.37,2915.53,5225.73,11496.16
收到的其他与经营活动有关的现金,1319.12,2136.38,3018.91,1930.99,2014.89,2040.92,1139.08,3238.25,7672.48,3380.81,2695.54,2876.95,4825.8,5938.01,2052.77,4545.74,11361.53,8710.97,3461.3,6488.76,36000.34
经营活动现金流入小计,71859.26,95304.18,105527.44,58720.71,91483.14,124544.93,40132.08,93025.88,149186.2,188588.89,49854.47,94240.12,144337.03,200837.0,56040.4,109982.14,172550.01,230219.43,100462.66,522246.08,1021007.33
购买商品、接受劳务支付的现金,50434.14,69383.16,73135.36,36265.92,62018.25,87383.68,28798.16,60998.11,103803.88,125163.11,32918.07,65322.03,102528.84,137221.69,37948.33,72023.9,124826.31,147930.45,55172.67,205383.99,347950.16
支付给职工以及为职工支付的现金,6699.88,8546.74,10749.6,6356.05,9554.56,14029.07,4141.24,8977.95,13919.63,19733.32,5450.16,10891.13,16554.94,23299.98,5726.83,11272.41,16808.9,24618.44,7829.03,18416.71,34281.79
支付的各项税费,652.98,443.8,1482.95,992.53,1245.89,1680.79,752.9,1515.4,2052.64,2849.17,1131.35,2450.83,3084.56,4617.11,1363.04,2700.16,2703.74,3967.95,2054.98,8674.61,22712.79
支付的其他与经营活动有关的现金,6619.98,9202.76,12530.42,6627.43,11264.17,13605.27,4966.91,11485.58,14616.71,16094.83,5503.6,10331.35,12935.79,17120.42,4709.57,10845.13,17145.69,20733.56,7791.48,31451.73,99179.22
经营活动现金流出小计,64406.99,87576.46,97898.33,50241.94,84082.87,116698.8,38659.21,82977.04,134392.85,163840.43,45003.19,88995.34,135104.13,182259.2,49747.77,96841.6,161484.64,197250.4,72848.15,263927.04,504123.97
经营活动产生的现金流量净额,7452.27,7727.72,7629.1,8478.77,7400.27,7846.12,1472.87,10048.84,14793.35,24748.45,4851.28,5244.78,9232.91,18577.8,6292.63,13140.54,11065.37,32969.03,27614.51,258319.04,516883.36
收回投资所收到的现金,0.0,32513.93,100760.0,17224.39,39474.89,54451.29,10046.0,16416.0,53091.0,115472.6,51202.09,116157.01,160888.7,167343.3,0.0,0.0,0.0,34001.0,38215.0,43067.77,53727.77
取得投资收益所收到的现金,0.0,19.21,100.45,21.51,33.37,36.48,3.62,6.21,74.85,348.11,131.71,280.12,245.69,217.87,32.65,0.0,0.0,185.22,68.47,0.0,219.99
处置固定资产、无形资产和其他长期资产所收回的现金净额,15.63,106.35,6.09,27.33,27.73,22.59,6.71,282.56,283.61,304.64,55.09,32.57,26.43,30.21,0.0,0.0,4.23,6.11,2.42,17.24,22.16
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,1145.81,9273.31,1067.78,320.35,320.35,320.35,0.0,0.0,0.0,89.55,83.0,1333.24,0.0,2000.0,3208.49,3210.09,3949.53,1379.57,2133.22,460.17,460.17
投资活动现金流入小计,1161.45,41912.8,101934.31,17593.58,39856.33,54830.7,10056.33,16704.77,53449.46,116214.9,51471.89,117802.93,161160.83,169591.39,3241.14,3210.09,3953.76,35571.91,40419.11,43545.18,54430.08
购建固定资产、无形资产和其他长期资产所支付的现金,6873.29,4951.56,14435.9,9955.89,15383.16,21536.12,4983.94,7257.61,9867.77,21222.27,7755.65,19649.02,23427.92,30855.27,10082.41,21266.85,34148.76,53657.43,15320.8,76194.54,149509.35
投资所支付的现金,1549.93,31964.0,99860.0,19164.95,40050.55,54491.29,9906.0,16276.0,76690.09,129780.8,40247.3,110349.41,150088.11,152971.03,0.0,0.0,0.0,60571.0,55540.0,34307.0,41307.0
取得子公司及其他营业单位支付的现金净额,421.57,14592.61,0.0,0.0,0.0,0.0,0.0,2937.58,2937.58,3270.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
支付的其他与投资活动有关的现金,1744.74,690.66,0.0,705.28,0.0,27.55,0.0,0.0,0.0,0.0,0.0,0.0,1528.32,3758.66,0.0,39.72,3771.24,453.45,0.0,510.0,510.0
投资活动现金流出小计,10589.53,52198.82,114295.9,29826.12,55433.72,76054.96,14889.94,26471.19,89495.43,154273.2,48002.95,129998.43,175044.35,187584.95,10082.41,21306.57,37920.0,114681.88,70860.8,111011.54,191326.35
投资活动产生的现金流量净额,-9428.08,-10286.02,-12361.58,-12232.54,-15577.38,-21224.25,-4833.61,-9766.42,-36045.97,-38058.3,3468.94,-12195.5,-13883.52,-17993.57,-6841.27,-18096.48,-33966.24,-79109.98,-30441.69,-67466.36,-136896.27
吸收投资收到的现金,2000.0,0.0,16593.0,0.0,0.0,0.0,0.0,0.0,43869.78,48045.03,0.0,0.0,0.0,0.0,1537.51,1707.72,4027.5,4157.72,1555.09,5911.42,5853.53
其中：子公司吸收少数股东投资收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450.0,0.0,0.0,0.0
取得借款收到的现金,34898.24,49612.41,50331.16,23430.68,42440.59,59149.01,22023.52,32472.96,38632.14,48567.54,16911.58,39736.13,91205.43,149622.27,57360.1,115504.78,192664.31,211912.78,32701.83,39668.64,44672.64
发行债券收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到其他与筹资活动有关的现金,153.6,0.0,1660.0,0.0,0.0,0.0,0.0,0.0,0.0,120.94,0.0,653.42,653.42,653.42,24538.14,43918.14,49807.89,27667.46,1000.0,1000.0,1000.0
