报表日期,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
销售商品、提供劳务收到的现金,12632.74,27778.9,47555.3,70573.19,16556.97,39479.5,66979.74,99153.14,25220.6,57639.23,89207.18,130435.03,33199.83,77981.79,125531.45,192377.84,62202.81,152934.23,259321.75,404059.77,94774.59,239379.3,375051.34,529995.75,109234.05,280284.88,475803.88,678157.15,170071.08,377377.79,605944.12,878989.8,152644.44,375224.35,668374.11,1038680.67,239714.2,544022.84,854207.84
收到的税费返还,0.0,0.0,0.0,13.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.09,34.43,1.16,14.64,154.49,0.0,15.5,35.91,45.04,0.0,64.49,484.23,2393.92,2247.84,18.17,33.36,96.63,451.37,718.35,885.94,920.0,661.45,35.45,76.12,92.59
收到的其他与经营活动有关的现金,1413.56,1147.02,2929.28,1675.2,703.1,1434.94,2392.14,1579.89,957.93,2917.51,4105.56,1446.99,1196.65,9097.62,7732.32,2951.68,3246.94,5299.95,7541.29,4716.41,8376.98,6330.46,8242.4,7384.31,4114.68,7508.41,8816.57,13270.63,4198.48,9562.66,15056.16,19649.56,3372.13,7522.31,14198.37,17633.38,4054.74,12117.58,22315.52
经营活动现金流入小计,14046.3,28925.91,50484.58,72261.75,17260.07,40914.44,69371.88,100733.03,26178.53,60556.75,93312.74,131882.02,34396.48,87079.41,133298.86,195363.94,65450.9,158248.81,267017.53,408776.18,103167.08,245745.67,383338.78,537380.06,113413.22,288277.53,487014.37,693675.62,174287.73,386973.81,621096.91,899090.74,156734.92,383632.61,683492.48,1056975.5,243804.39,556216.55,876615.94
购买商品、接受劳务支付的现金,14798.41,22917.04,34021.38,45653.36,11337.06,22381.48,38691.71,57565.87,15214.71,31322.12,47579.26,73716.49,21785.99,45147.5,67862.28,121685.27,51632.68,97830.97,177820.51,279606.15,79295.33,173766.68,270247.35,367273.0,92848.83,196080.17,325311.25,439344.29,125925.43,251292.91,403365.0,593776.04,126863.77,251974.61,431643.87,617147.6,179193.25,356309.01,544038.68
支付给职工以及为职工支付的现金,3180.73,5695.07,8782.68,12291.86,5067.11,8910.15,13132.97,18402.15,6823.95,11976.57,17730.01,24395.87,9348.16,16443.91,23944.41,33681.26,12420.05,25356.21,37731.13,54499.45,20540.49,36584.12,54979.08,78061.98,23985.85,47103.7,72100.33,100213.63,35513.57,61580.38,88939.62,118558.57,32639.67,59142.92,89191.06,127316.83,51224.37,85499.86,125883.49
支付的各项税费,278.8,890.6,1598.3,2225.97,263.53,1544.73,2360.64,3760.63,920.12,2988.19,4112.29,5097.94,1163.01,2748.21,3652.86,5593.91,2184.1,7385.5,12691.19,18346.32,6341.23,14158.95,21917.23,29114.23,7841.46,18356.88,27740.06,37909.66,12205.22,27094.21,36175.83,44576.98,9134.87,21675.0,34150.32,45884.99,19573.1,39616.07,55992.2
支付的其他与经营活动有关的现金,2775.59,4508.29,8817.35,9524.95,4410.52,8854.46,14006.57,13460.48,4900.42,10525.92,17947.31,16876.78,7042.62,14837.18,29977.83,21274.84,8889.78,23598.07,37374.17,43099.55,17768.02,35014.71,55904.58,59079.77,18289.33,41278.96,71407.21,78884.3,25202.09,51792.49,79279.78,93860.58,20084.3,48774.29,85474.4,111903.38,34906.92,62865.63,103339.72
经营活动现金流出小计,21033.53,34011.0,53219.71,69696.14,21078.21,41690.82,68191.89,93189.13,27859.19,56812.79,87368.87,120087.09,39339.78,79176.8,125437.39,182235.28,75126.61,154170.75,265616.99,395551.47,123945.07,259524.46,403048.24,533528.98,142965.48,302819.72,496558.85,656351.88,198846.31,391760.0,607760.23,850772.18,188722.62,381566.82,640459.65,902252.8,284897.63,544290.57,829254.08
经营活动产生的现金流量净额,-6987.23,-5085.09,-2735.14,2565.61,-3818.14,-776.38,1179.99,7543.89,-1680.66,3743.95,5943.87,11794.93,-4943.3,7902.61,7861.47,13128.66,-9675.7,4078.06,1400.54,13224.71,-20778.0,-13778.79,-19709.46,3851.08,-29552.26,-14542.19,-9544.49,37323.74,-24558.58,-4786.19,13336.68,48318.56,-31987.7,2065.79,43032.83,154722.7,-41093.24,11925.98,47361.86
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0,11371.11,225.98,225.98,225.98,731.68,0.0,1005.2,1005.2,3160.25,0.0,1556.97,16556.97,32676.31,3161.88,2158.67,3438.43,20276.75,519.26,3330.94,7409.95,17177.56,3528.6,8890.92,24455.9
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.37,263.07,263.07,185.12,0.0,287.29,287.29,310.22,47.78,1056.72,2490.22,1168.16,36.03,2711.86,2793.6,139.48,0.0,1388.49,5083.96,180.18,4857.9,8552.36,8664.58
处置固定资产、无形资产和其他长期资产所收回的现金净额,2.03,8.88,11.5,22.81,3.72,5.76,6.2,37.02,6.46,10.16,12.71,167.71,8.5,9.71,11.08,437.07,3.83,8.19,21.61,640.8,16.18,70.1,253.48,1886.49,173.32,165.01,411.49,3216.19,28.1,110.15,231.65,1425.81,118.88,156.68,272.63,1824.47,245.37,367.33,569.97
处置子公司及其他营业单位收到的现金净额,0.0,0.0,91.62,91.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15084.07,0.0,10000.0,0.0,0.0,0.0,78.31,99.1,331.36,-13.63,-68.89,18.92,32.54,0.0,84.81,84.81
收到的其他与投资活动有关的现金,0.0,18185.0,7060.0,18185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052.77,717.59,717.59,1416.0,803.37,3072.04,4528.89,7462.06,37.0,0.0,0.0,1700.31,1077.75,0.0,2079.21,3074.44,3868.93,1238.98,2106.23,3909.98,2004.24,1021.23,2043.34,3099.01,161.27,818.8,1320.05,1922.3
投资活动现金流入小计,2.03,18193.88,7163.13,18299.43,3.72,5.76,6.2,37.02,6.46,10.16,12.71,1220.48,726.09,727.3,6727.07,12611.54,3444.22,5026.13,7972.71,1594.6,16.18,1362.58,3246.28,21518.79,221.1,14857.91,22533.12,40929.59,4464.98,7165.22,10472.76,24177.65,1645.74,6850.57,15884.46,19376.02,9450.68,19215.47,35697.56
购建固定资产、无形资产和其他长期资产所支付的现金,977.48,1972.61,2447.58,4297.52,1134.72,2335.02,3511.57,4759.8,2185.9,5770.12,9644.13,12544.25,8444.3,8584.03,11017.79,15488.05,6363.75,9024.33,19397.98,31745.88,6285.9,14246.18,27453.54,38203.83,9470.01,21839.39,33177.89,45667.62,15770.88,23469.41,31265.58,41149.69,5655.14,15375.23,27468.84,47570.51,9121.84,20839.81,33969.48
投资所支付的现金,0.0,1900.0,0.0,0.0,0.0,724.36,1325.0,1325.0,0.0,0.0,0.0,1454.82,0.0,27923.63,61151.39,44950.52,40660.0,81261.0,101328.24,43665.43,32567.52,41166.22,76426.48,61911.89,8316.56,5323.06,17632.23,6239.15,5364.46,11591.52,19608.15,465.54,0.0,1713.69,15629.8,50724.99,176.88,20356.64,32181.75
取得子公司及其他营业单位支付的现金净额,0.0,0.0,2013.75,3287.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21699.13,0.0,0.0,24662.38,0.0,0.0,0.0,111507.72,9535.34,12133.31,12133.31,33136.96,0.0,26982.46,30699.84,38571.79,198.96,5245.07,4038.23,6693.35,1614.05,3014.05,2852.78,3140.65,0.0,0.0,0.0
支付的其他与投资活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.79,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17252.06,0.0,774.43,1135.1,1135.1,0.0,261.5,419.18,477.18,0.0,2000.0,0.0,270.0,13.63,0.0,0.0,0.0
投资活动现金流出小计,977.48,3872.61,4461.34,7585.23,1134.72,3059.39,4836.57,6084.8,2185.9,5770.12,9644.13,14092.86,30143.43,36667.66,72169.18,85100.95,47023.75,90285.33,120726.23,186919.03,48388.75,67545.71,133265.39,133252.68,18561.0,55280.01,82645.06,90478.55,21595.81,40725.18,55389.14,48308.57,9269.19,20102.97,46221.42,101449.77,9298.72,41196.44,66151.23
投资活动产生的现金流量净额,-975.45,14321.27,2701.79,10714.2,-1131.0,-3053.63,-4830.37,-6047.78,-2179.44,-5759.95,-9631.42,-12872.38,-29417.35,-35940.36,-65442.11,-72489.41,-43579.53,-85259.21,-112753.52,-185324.44,-48372.57,-66183.12,-130019.11,-111733.89,-18339.91,-40422.1,-60111.94,-49548.96,-17130.82,-33559.96,-44916.38,-24130.92,-7623.45,-13252.4,-30336.96,-82073.76,151.96,-21980.97,-30453.67
吸收投资收到的现金,0.0,37.5,382.5,345.0,0.0,0.0,0.0,0.0,0.0,3983.05,4083.05,4283.05,0.0,3619.79,3619.79,4572.19,101071.67,104993.07,106960.92,108086.25,616.0,3270.0,18921.96,8381.5,735.0,4075.0,4900.0,109579.35,1485.0,2540.0,2540.0,2540.0,187.0,714.0,861.0,6906.97,16127.0,16690.5,17450.5
