报表日期,2014-12-31,2015-12-31,2016-12-31,2017-06-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,59162.85,66994.76,74201.7,46521.39,93232.71,29493.75,58401.36,90684.1,126913.14,31411.83,64453.42,103577.65
收到的税费返还,392.78,489.18,135.23,181.79,1140.07,475.47,1421.83,2452.43,3367.0,613.67,1433.41,2174.96
收到的其他与经营活动有关的现金,203.23,183.85,220.71,143.2,226.52,17.98,328.84,401.2,1040.35,173.53,223.04,270.94
经营活动现金流入小计,59758.86,67667.79,74557.65,46846.39,94599.3,29987.2,60152.04,93537.72,131320.5,32199.03,66109.87,106023.54
购买商品、接受劳务支付的现金,42749.88,45108.56,47968.3,31479.05,66355.94,23738.03,48935.69,71476.72,92114.75,27800.19,45842.46,69673.6
支付给职工以及为职工支付的现金,9560.51,11086.1,11475.29,7640.54,16569.08,6211.68,14181.47,20607.41,26677.91,5211.87,11878.94,17328.41
支付的各项税费,1916.94,1332.82,2283.46,1874.99,2568.5,1043.46,1321.79,1972.74,2411.5,679.09,1134.86,1350.75
支付的其他与经营活动有关的现金,2070.44,3406.52,3943.5,3277.51,6965.73,2462.25,5146.1,7937.92,8221.03,1471.88,2682.6,4166.43
经营活动现金流出小计,56297.77,60933.99,65670.55,44272.09,92459.25,33455.41,69585.05,101994.78,129425.19,35163.04,61538.85,92519.2
经营活动产生的现金流量净额,3461.09,6733.8,8887.09,2574.29,2140.05,-3468.21,-9433.01,-8457.06,1895.3,-2964.01,4571.02,13504.35
收回投资所收到的现金,0.0,16518.0,20290.0,57440.0,84510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
取得投资收益所收到的现金,0.0,8.05,47.35,122.31,237.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
处置固定资产、无形资产和其他长期资产所收回的现金净额,49.3,35.24,14.76,0.0,0.0,0.0,0.4,9.55,9.72,0.0,0.62,0.62
处置子公司及其他营业单位收到的现金净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与投资活动有关的现金,11119.85,4618.58,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
投资活动现金流入小计,11169.14,21179.86,25352.12,57562.31,84747.38,0.0,0.4,9.55,9.72,0.0,0.62,0.62
