报表日期,2009-12-31,2010-12-31,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
销售商品、提供劳务收到的现金,289380.88,321343.22,294610.1,398969.03,113790.61,219188.45,341321.32,453993.77,127657.92,249691.19,380042.14,510623.84,137600.66,269670.58,410221.09,546505.47,151163.89,301472.97,472566.48,631673.65,182743.94,352207.6,542776.53,728010.1,199852.55,394049.6,598667.77,805905.05,215143.19,418459.14,633347.3,839558.8,222838.97,431792.23,674184.01
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
收到的其他与经营活动有关的现金,7642.35,1193.42,5362.93,2105.06,590.81,1586.95,1404.5,5002.37,461.7,1050.74,2671.26,6664.25,715.05,644.07,914.31,2074.26,447.6,924.11,1054.35,2704.14,973.39,1899.97,2615.15,7483.67,1817.65,1642.77,2235.27,5155.69,905.18,1308.11,2049.53,9811.06,361.37,1646.68,3005.57
经营活动现金流入小计,297023.24,322536.63,299973.03,401074.1,114381.42,220775.41,342725.82,458996.14,128119.62,250741.92,382713.39,517288.08,138315.7,270314.65,411135.39,548579.73,151611.5,302397.08,473620.82,634377.79,183717.33,354107.57,545391.68,735493.77,201670.2,395692.37,600903.03,811060.74,216048.37,419767.25,635396.84,849369.86,223200.33,433438.91,677189.58
购买商品、接受劳务支付的现金,219930.42,251494.22,223070.91,296864.35,88718.13,168002.67,259946.14,341920.02,93824.58,180624.25,277560.61,373288.97,100963.23,196613.62,296446.1,396525.11,110213.28,229415.63,356249.68,469886.53,137922.13,262163.97,406555.12,536255.28,148726.68,292131.19,444512.25,585511.02,172511.63,309120.21,448534.52,592641.9,172241.54,320532.47,487919.39
支付给职工以及为职工支付的现金,19750.45,21658.03,22373.16,30234.65,10117.74,19610.41,30044.5,42849.85,12586.38,25123.0,38113.56,51748.83,13044.64,25448.58,38525.23,51251.02,13694.65,27837.56,43441.55,59713.16,19001.97,35858.13,52994.49,71951.71,19489.56,37400.1,55040.29,72449.61,18828.93,39197.73,58130.07,77791.23,23390.15,45125.25,67609.17
支付的各项税费,11733.43,13233.49,12282.32,17145.55,3857.25,9566.8,13551.61,17702.38,4702.37,11202.63,15619.49,20412.26,4980.58,12176.07,17090.96,23148.92,6000.07,13914.63,20165.58,26539.7,6740.31,14237.06,20977.88,27469.85,6781.67,15379.5,22406.62,28366.63,7151.69,17646.87,25152.71,33089.54,11502.27,20636.68,30616.61
支付的其他与经营活动有关的现金,19323.33,26096.23,23111.43,31656.86,14200.92,17108.76,29119.28,37637.86,14524.59,18755.43,33736.54,43947.23,11675.9,23777.09,41521.77,49751.08,14887.64,24245.18,72331.43,58668.25,19886.11,36069.18,60416.18,72613.05,15512.87,36074.2,57704.62,76771.83,22051.96,35379.31,61647.78,79665.06,37444.2,48024.47,85930.0
经营活动现金流出小计,270737.62,312481.96,280837.82,375901.41,116894.04,214288.64,332661.53,440110.11,125637.92,235705.31,365030.2,489397.29,130664.34,258015.36,393584.05,520676.13,144795.65,295413.01,492188.24,614807.63,183550.51,348328.33,540943.68,708289.89,190510.79,380984.99,579663.78,763099.1,220544.22,401344.11,593465.08,783187.73,244578.16,434318.86,672075.18
经营活动产生的现金流量净额,26285.61,10054.67,19135.2,25172.69,-2512.62,6486.76,10064.29,18886.03,2481.7,15036.61,17683.19,27890.8,7651.37,12299.29,17551.34,27903.59,6815.85,6984.07,-18567.41,19570.16,166.81,5779.24,4448.0,27203.88,11159.42,14707.38,21239.25,47961.64,-4495.85,18423.14,41931.76,66182.13,-21377.82,-879.95,5114.4
