报表日期,2011-12-31,2012-12-31,2013-12-31,2014-06-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30
货币资金,9654.43,12732.31,8222.42,9230.76,19747.58,46617.31,21437.35,12636.23,22006.74,17392.33,18518.07,72176.79,57749.26,59802.85,38343.07,91209.62,38036.94,37602.04,41662.18,40928.79,55960.36,56233.02,104319.53
交易性金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281438.36,264257.87,369089.59,426597.67,549180.22,536958.01,653101.26
应收票据,61.63,8965.71,11453.6,9977.34,19110.54,19194.19,15567.04,20714.27,32279.57,31587.29,31844.94,39437.01,32961.52,18728.36,11418.54,20131.55,27607.26,27061.49,51743.81,78411.07,110610.06,129329.01,107397.89
应收账款,61090.2,62404.21,76505.19,90216.85,96333.19,84956.77,111031.64,127733.8,117649.55,102567.91,158759.81,187460.14,185574.32,139420.21,216329.9,224282.83,253831.1,237196.38,317345.78,348186.6,438570.17,407629.0,545703.37
预付款项,420.64,702.86,550.82,1027.17,859.12,3649.68,3161.78,27950.82,2754.72,9955.13,4677.81,8069.19,5934.25,23898.43,12381.81,19194.53,5523.15,24315.13,15028.98,24790.66,6497.49,11736.87,3859.08
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,173.59,0.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他应收款,1386.41,1792.04,2231.43,3052.38,2849.71,2975.48,3483.21,5573.74,3165.18,3520.2,5416.19,4837.6,4128.95,5827.46,7935.48,10797.6,11875.99,24953.66,31563.06,32738.47,20767.55,0.0,20362.44
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,6506.55,5595.43,9085.97,10375.13,11386.46,19933.41,16294.8,22890.27,13874.0,32342.4,34769.27,46947.7,41466.51,82898.82,77732.78,81607.05,55258.48,72030.54,80254.63,82009.49,63788.81,84015.46,68823.75
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待摊费用,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
待处理流动资产损益,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
其他流动资产,0.0,0.0,0.0,0.0,0.0,0.0,14400.0,0.0,28.67,0.0,0.0,1149.5,11322.82,18789.06,15410.97,14498.39,43212.4,12198.22,8305.6,11344.54,12720.19,18439.3,15842.45
流动资产合计,79119.85,92192.56,108049.42,123879.63,150286.61,177326.84,185549.42,217499.12,191758.43,197365.26,253986.08,360077.94,339176.82,349365.2,379552.54,461721.57,435345.33,435357.46,545904.06,618409.61,708914.63,730099.16,866308.5
发放贷款及垫款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,130.0,130.0,130.0,2130.0,2130.0,2130.0,3138.0,2130.0,0.0,0.0
持有至到期投资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期应收款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
长期股权投资,0.0,0.0,143.36,50.1,161.9,98.11,35.32,0.0,0.0,0.0,0.0,1713.6,0.0,240.0,240.0,490.0,330.43,1948.43,1948.43,1948.43,2538.46,2512.15,2512.15
投资性房地产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1265.0,1246.22,1227.43,1208.64,1189.86,1171.07,1152.28,1133.49,1114.71,1095.92,1077.13,2471.76,2484.36,2447.21,2410.05
