报表日期,2008-12-31,2009-12-31,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30,2022-12-31,2023-03-31
销售商品、提供劳务收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42670.8,92375.72,159050.45,222247.04,48566.4,116559.38,195623.17,255579.51,58832.05,135553.18,213939.46,280425.82,57136.94,125859.2,199510.28,269252.54,54137.54,117112.93,184125.05,244369.63,62107.9,129918.03,193804.06,1375539.8,374477.7,772192.1,1122656.9,1559644.6,324210.9,692623.7,1095205.8,1467156.5,293488.4,615529.6,985392.6,1385288.7,297006.2,584859.8,892093.7,1219827.0,279871.6,508481.2,773849.7,1085697.5,268849.2
收到的税费返还,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.96,405.83,577.65,1046.86,321.76,427.94,742.68,1975.34,130.06,202.11,614.42,796.29,967.05,1409.41,1757.97,2089.18,608.93,835.83,1497.07,2130.98,749.41,1308.82,2062.82,233.0,80.0,163.9,202.6,262.4,21.9,99.7,501.2,534.5,161.9,337.1,497.8,539.6,460.1,551.1,708.4,1026.8,54.5,18036.7,19586.1,19872.9,237.2
收到的其他与经营活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.39,2257.66,4356.43,2507.0,2492.58,1420.22,2759.86,2979.33,2113.97,1384.25,4983.64,3568.7,1981.97,1031.42,9808.45,2588.54,2198.45,598.78,8125.09,1685.08,2597.79,675.64,6716.78,132205.1,27360.0,37956.3,45182.0,46906.7,30378.8,45612.2,47312.2,69700.4,21151.3,31199.0,42895.0,43941.1,29301.0,41633.2,53236.9,66788.8,22368.7,38014.7,43505.9,48555.1,8644.5
经营活动现金流入小计,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42820.16,95039.21,163984.54,225800.9,51380.74,118407.55,199125.72,260534.18,61076.08,137139.54,219537.52,284790.82,60085.96,128300.03,211076.69,273930.26,56944.92,118547.53,193747.21,248185.69,65455.11,131902.49,202583.66,1507977.9,401917.7,810312.3,1168041.5,1606813.7,354611.6,738335.6,1143019.2,1537391.4,314801.6,647065.7,1028785.4,1429769.4,326767.3,627044.1,946039.0,1287642.6,302294.8,564532.6,836941.7,1154125.5,277730.9
购买商品、接受劳务支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39914.09,70292.39,117976.6,164850.49,44636.66,81318.24,141366.74,190218.37,38790.64,81054.25,151102.31,197631.97,49850.66,96791.44,144708.21,191498.45,47784.68,80907.55,140200.2,175125.6,54861.54,96299.0,153618.82,595325.8,173810.0,363169.4,533784.9,731980.5,159036.6,346520.2,518275.8,709949.9,167465.7,353929.5,535445.5,734076.1,182873.2,369250.0,532598.4,721630.6,161406.3,293899.2,443459.7,575018.1,141325.3
支付给职工以及为职工支付的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3916.44,7305.97,11190.5,14959.85,4961.69,9271.49,14207.21,19255.96,7329.37,13011.35,20277.96,26850.52,9752.27,16919.99,25057.76,33074.71,11102.02,19275.2,28257.15,37392.63,12405.46,20980.93,29636.46,216938.2,66882.4,121115.8,193119.7,251046.1,84893.6,142078.3,207998.0,268729.5,102541.2,163528.3,238469.9,307512.4,117360.9,192699.7,305050.9,399431.0,130879.9,223693.4,304266.6,386099.8,108354.9
支付的各项税费,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.55,4002.97,6762.06,9205.65,1431.09,4555.17,7873.78,10577.08,1672.13,6029.98,8917.91,13165.15,1655.77,6626.86,10878.08,13227.35,1731.55,6036.08,9194.22,12248.02,1466.9,2804.06,5724.63,149076.4,39773.3,69575.8,101968.0,142847.5,28372.7,72063.3,140875.5,169406.6,30534.9,51985.2,75375.5,103058.3,27916.7,42183.5,60334.0,83608.8,27317.2,51817.5,62256.2,86371.9,15859.1
支付的其他与经营活动有关的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3224.98,8216.47,11315.0,15724.57,2485.57,9372.72,10873.62,18150.38,3377.38,9738.96,11875.79,19477.12,3666.77,10832.61,16069.55,18890.49,3584.94,10371.44,12849.68,18905.11,4419.39,7827.53,12064.47,132384.6,32890.2,43198.6,86168.4,106160.1,38652.5,57755.2,90379.1,113312.5,18090.6,46626.0,67879.8,90825.6,23719.6,37131.4,54048.0,66414.0,13761.5,22311.1,38316.2,50903.1,11642.1
经营活动现金流出小计,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48178.07,89817.79,147244.16,204740.56,53515.01,104517.62,174321.35,238201.79,51169.53,109834.55,192173.98,257124.76,64925.48,131170.9,196713.61,256691.0,64203.19,116590.26,190501.25,243671.36,73153.29,127911.52,201044.37,1093725.0,313355.9,597059.6,915041.0,1232034.2,310955.4,618417.0,957528.4,1261398.5,318632.4,616069.0,917170.7,1235472.4,351870.4,641264.6,952031.3,1271084.4,333364.9,591721.2,848298.7,1098392.9,277181.4
经营活动产生的现金流量净额,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5357.91,5221.42,16740.38,21060.34,-2134.27,13889.93,24804.36,22332.39,9906.55,27305.0,27363.55,27666.06,-4839.52,-2870.87,14363.09,17239.26,-7258.28,1957.27,3245.96,4514.33,-7698.18,3990.97,1539.29,414252.9,88561.8,213252.7,253000.5,374779.5,43656.2,119918.6,185490.8,275992.9,-3830.8,30996.7,111614.7,194297.0,-25103.1,-14220.5,-5992.3,16558.2,-31070.1,-27188.6,-11357.0,55732.6,549.5
收回投资所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.81,18.81,46018.81,41000.0,43000.0,59000.0,86000.0,53000.0,68500.0,114500.0,154000.0,51250.0,64000.0,90500.0,110000.0,13500.0,42900.0,57900.0,64586.7,1168.8,13549.1,60238.3,71511.4,11865.5,125684.7,130209.1,405646.5,6937.2,20521.3,36093.5,61915.7,4584.6,13673.9,34523.5,84269.4,19939.2,27939.4,29396.7,121686.7,99.0
取得投资收益所收到的现金,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,771.46,188.82,201.84,381.59,848.77,380.52,446.24,699.26,831.58,222.23,1039.21,1259.39,1553.98,228.84,658.39,422.05,29953.6,649.6,2153.3,5549.4,10204.4,1777.6,13476.6,15605.6,26009.0,4867.3,15181.0,19381.2,83857.3,7426.4,49913.6,80246.9,88507.8,19907.7,23434.2,26584.6,63130.5,1242.6
