股票代码,股票名称,交易所
000001,平安银行,深圳
000002,万科Ａ,深圳
000004,国农科技,深圳
000005,世纪星源,深圳
000006,深振业Ａ,深圳
000007,全新好,深圳
000008,神州高铁,深圳
000009,中国宝安,深圳
000010,*ST美丽,深圳
000011,深物业A,深圳
000012,南玻Ａ,深圳
000014,沙河股份,深圳
000016,深康佳Ａ,深圳
000017,深中华A,深圳
000018,*ST神城,深圳
000019,深粮控股,深圳
000020,深华发Ａ,深圳
000021,深科技,深圳
000023,深天地Ａ,深圳
000025,特力Ａ,深圳
000026,飞亚达Ａ,深圳
000027,深圳能源,深圳
000028,国药一致,深圳
000029,深深房Ａ,深圳
000030,富奥股份,深圳
000031,大悦城,深圳
000032,深桑达Ａ,深圳
000034,神州数码,深圳
000035,中国天楹,深圳
000036,华联控股,深圳
000037,深南电A,深圳
000038,深大通,深圳
000039,中集集团,深圳
000040,东旭蓝天,深圳
000042,中洲控股,深圳
000043,中航善达,深圳
000045,深纺织Ａ,深圳
000046,泛海控股,深圳
000048,*ST康达,深圳
000049,德赛电池,深圳
000050,深天马Ａ,深圳
000055,方大集团,深圳
000056,皇庭国际,深圳
000058,深赛格,深圳
000059,华锦股份,深圳
000060,中金岭南,深圳
000061,农产品,深圳
000062,深圳华强,深圳
000063,中兴通讯,深圳
000065,北方国际,深圳
000066,中国长城,深圳
000068,华控赛格,深圳
000069,华侨城Ａ,深圳
000070,特发信息,深圳
000078,海王生物,深圳
000088,盐田港,深圳
000089,深圳机场,深圳
000090,天健集团,深圳
000096,广聚能源,深圳
000099,中信海直,深圳
000100,TCL集团,深圳
000150,宜华健康,深圳
000151,中成股份,深圳
000153,丰原药业,深圳
000155,川能动力,深圳
000156,华数传媒,深圳
000157,中联重科,深圳
000158,常山北明,深圳
000159,国际实业,深圳
000166,申万宏源,深圳
000301,东方盛虹,深圳
000333,美的集团,深圳
000338,潍柴动力,深圳
000400,许继电气,深圳
000401,冀东水泥,深圳
000402,金融街,深圳
000403,振兴生化,深圳
000404,长虹华意,深圳
000407,胜利股份,深圳
000408,藏格控股,深圳
000409,*ST地矿,深圳
000410,沈阳机床,深圳
000411,英特集团,深圳
000413,东旭光电,深圳
000415,渤海租赁,深圳
000416,民生控股,深圳
000417,合肥百货,深圳
000419,通程控股,深圳
000420,吉林化纤,深圳
000421,南京公用,深圳
000422,ST宜化,深圳
000423,东阿阿胶,深圳
000425,徐工机械,深圳
000426,兴业矿业,深圳
000428,华天酒店,深圳
000429,粤高速Ａ,深圳
000430,张家界,深圳
000488,晨鸣纸业,深圳
000498,山东路桥,深圳
000501,鄂武商Ａ,深圳
000502,绿景控股,深圳
000503,国新健康,深圳
000504,*ST生物,深圳
000505,京粮控股,深圳
000506,中润资源,深圳
000507,珠海港,深圳
000509,华塑控股,深圳
000510,新金路,深圳
000513,丽珠集团,深圳
000514,渝开发,深圳
000516,国际医学,深圳
000517,荣安地产,深圳
000518,四环生物,深圳
000519,中兵红箭,深圳
000520,长航凤凰,深圳
000521,长虹美菱,深圳
000523,广州浪奇,深圳
000524,岭南控股,深圳
000525,红太阳,深圳
000526,紫光学大,深圳
000528,柳工,深圳
000529,广弘控股,深圳
000530,大冷股份,深圳
000531,穗恒运Ａ,深圳
000532,华金资本,深圳
000533,顺钠股份,深圳
000534,万泽股份,深圳
000536,华映科技,深圳
000537,广宇发展,深圳
000538,云南白药,深圳
000539,粤电力Ａ,深圳
000540,中天金融,深圳
000541,佛山照明,深圳
000543,皖能电力,深圳
000544,中原环保,深圳
000545,金浦钛业,深圳
000546,金圆股份,深圳
000547,航天发展,深圳
000548,湖南投资,深圳
000550,江铃汽车,深圳
000551,创元科技,深圳
000552,靖远煤电,深圳
000553,安道麦A,深圳
000554,泰山石油,深圳
000555,神州信息,深圳
000557,西部创业,深圳
000558,莱茵体育,深圳
000559,万向钱潮,深圳
000560,我爱我家,深圳
000561,烽火电子,深圳
000563,陕国投Ａ,深圳
000564,供销大集,深圳
000565,渝三峡Ａ,深圳
000566,海南海药,深圳
000567,海德股份,深圳
000568,泸州老窖,深圳
000570,苏常柴Ａ,深圳
000571,*ST大洲,深圳
000572,*ST海马,深圳
000573,粤宏远Ａ,深圳
000576,广东甘化,深圳
000581,威孚高科,深圳
000582,北部湾港,深圳
000584,哈工智能,深圳
000585,*ST东电,深圳
000586,汇源通信,深圳
000587,金洲慈航,深圳
000589,贵州轮胎,深圳
000590,启迪古汉,深圳
000591,太阳能,深圳
000592,平潭发展,深圳
000593,大通燃气,深圳
000595,宝塔实业,深圳
000596,古井贡酒,深圳
000597,东北制药,深圳
000598,兴蓉环境,深圳
000599,青岛双星,深圳
000600,建投能源,深圳
000601,韶能股份,深圳
000603,盛达矿业,深圳
000605,渤海股份,深圳
000606,顺利办,深圳
000607,华媒控股,深圳
000608,阳光股份,深圳
000609,中迪投资,深圳
000610,西安旅游,深圳
000611,*ST天首,深圳
000612,焦作万方,深圳
000613,大东海A,深圳
000615,京汉股份,深圳
000616,海航投资,深圳
000617,中油资本,深圳
000619,海螺型材,深圳
000620,新华联,深圳
000622,恒立实业,深圳
000623,吉林敖东,深圳
000625,长安汽车,深圳
000626,远大控股,深圳
000627,天茂集团,深圳
000628,高新发展,深圳
000629,攀钢钒钛,深圳
000630,铜陵有色,深圳
000631,顺发恒业,深圳
000632,三木集团,深圳
000633,合金投资,深圳
000635,英力特,深圳
000636,风华高科,深圳
000637,茂化实华,深圳
000638,万方发展,深圳
