报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,66.89,14.312,23.047,12.237,24.422,11.432,27.127,13.658
除税前盈利/(亏损),-398.056,-222.762,-332.83,-25.315,-708.579,-28.262,-172.39,6.208
税项,2.633,1.97,4.116,-1.807,65.041,-1.893,-5.642,-2.213
除税后盈利/(亏损),-395.423,-220.792,-328.714,-27.122,-643.538,-30.155,-178.032,3.995
少数股东权益,,,,,,,,
股东应占盈利/(亏损),-395.423,-220.792,-328.714,-27.122,-643.538,-30.155,-178.032,3.995
股息,,,,,,,,
除税及股息后盈利/(亏损),-395.423,-220.792,-328.714,-27.122,-643.538,-30.155,-178.032,3.995
基本每股盈利(仙),-14.650000,-8.930000,-14.540000,-1.330000,-42.340000,-2.010000,-13.340000,0.320000
摊薄每股盈利(仙),-14.650000,-8.930000,-14.540000,-1.330000,-42.340000,-2.010000,-13.340000,0.280000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-48.496,-4.886,-5.919,-2.893,-5.424,-2.679,-6.049,-3.094
折旧,-2.676,-1.365,-4.425,-2.507,-4.354,-2.217,-4.243,-2.086
销售及分销费用,-3.207,-1.864,-1.947,-0.466,-3.003,-2.216,-2.039,--
一般及行政费用,-41.66,-19.904,-56.612,-27.251,-44.055,-21.048,-39.194,-19.519
利息费用/融资成本,-23.365,-22.98,-51.432,-5.084,-24.385,-14.057,-0.178,-0.096
毛利,18.394,9.426,17.128,9.344,18.998,8.753,21.078,10.564
经营盈利,-375.867,-200.295,-218.82,-18.32,-680.89,-14.417,-173.83,-8.872
应占联营公司盈利,1.008,0.457,-1.398,-1.963,-4.224,-0.006,0.305,14.141
币种,港币,港币,港币,港币,港币,港币,港币,港币
