报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
营业额,200.23,442.522,247.624,740.979,405.813,782.197,416.146,804.284
除税前盈利/(亏损),3.034,-71.743,-90.675,-272.02,-50.196,-366.304,-77.91,-37.59
税项,0.045,-7.166,-0.175,-4.981,-0.856,-3.095,-0.349,-0.125
除税后盈利/(亏损),3.079,-78.909,-90.85,-277.001,-51.052,-369.399,-78.259,-37.715
少数股东权益,-0.16,-8.712,-0.397,-2.056,-0.802,0.893,-0.045,-0.006
股东应占盈利/(亏损),3.239,-70.197,-90.453,-274.945,-50.25,-370.292,-78.214,-37.709
股息,,,,,,,,
除税及股息后盈利/(亏损),3.239,-70.197,-90.453,-274.945,-50.25,-370.292,-78.214,-37.709
基本每股盈利(仙),0.140000,-3.000000,-4.320000,-16.000000,-3.640000,-81.000000,-4.140000,-6.000000
摊薄每股盈利(仙),0.130000,-3.000000,-4.320000,-16.000000,-3.640000,-81.000000,-4.140000,-6.000000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-176.091,-405.975,-230.735,-691.306,-358.768,-746.471,-395.395,-785.4
折旧,-8.484,-20.822,-10.803,-19.026,-8.282,-25.138,-13.961,-28.957
销售及分销费用,-5.126,-9.507,-5.816,-15.241,-11.878,-22.52,-10.983,-9.712
一般及行政费用,-48.544,-137.927,-89.503,-134.717,-61.403,-109.582,-63.886,-100.987
利息费用/融资成本,-4.204,-16.091,-11.139,-11.459,-3.465,-11.001,-4.824,-12.007
毛利,24.139,36.547,16.889,49.673,47.045,35.726,20.751,18.884
经营盈利,3.034,-71.743,-90.675,-272.02,-50.196,-366.304,-77.91,-37.59
应占联营公司盈利,8.609,2.35,6.377,-0.018,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
