报告期,2018-01-31,2017-07-31,2017-01-31,2016-07-31,2016-01-31,2015-07-31,2015-01-31,2014-07-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
营业额,509.41,1326.682,479.022,2043.53,833.552,1901.394,538.055,1207.302
除税前盈利/(亏损),591.47,1652.804,546.98,1285.585,493.997,1579.246,329.04,1483.028
税项,-191.238,-62.22,-200.364,-388.163,-177.184,-571.197,-144.181,-366.109
除税后盈利/(亏损),400.232,1590.584,346.616,897.422,316.813,1008.049,184.859,1116.919
少数股东权益,41.321,113.132,10.192,23.895,13.6,3.148,0.603,17.192
股东应占盈利/(亏损),358.911,1477.452,336.424,873.527,303.213,1004.901,184.256,1099.727
股息,,65.148,,58.42,,53.228,,49.916
除税及股息后盈利/(亏损),358.911,1412.304,336.424,815.107,303.213,951.673,184.256,1049.811
基本每股盈利(仙),110.200000,454.700000,2.100000,5.400000,1.900000,6.200000,1.100000,6.800000
摊薄每股盈利(仙),109.600000,454.200000,2.100000,5.400000,1.900000,6.200000,1.100000,6.800000
每股股息(仙),--,20.000000,--,0.360000,--,0.330000,--,0.310000
销售成本,-163.683,-662.438,-138.617,-954.724,-363.032,-864.887,-217.424,-461.633
折旧,-39.023,-72.226,-35.292,-71.201,-35.846,-74.252,-37.42,-73.607
销售及分销费用,-20.775,-93.629,-55.801,-61.498,-28.482,-54.273,-24.28,-46.009
一般及行政费用,-159.592,-300.597,-141.13,-289.68,-144.927,-289.724,-142.702,-294.235
利息费用/融资成本,-97.61,-166.083,-78.024,-156.356,-83.014,-199.067,-100.807,-322.343
毛利,345.727,664.244,340.405,1088.806,470.52,1036.507,320.631,745.669
经营盈利,573.899,1209.325,314.025,1274.189,488.37,1623.496,281.196,1650.474
应占联营公司盈利,-0.101,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
