报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,372.7,270.777,206.164,148.278
除税前盈利/(亏损),125.384,95.027,75.951,60.297
税项,-20.008,-17.701,-11.044,-8.576
除税后盈利/(亏损),105.376,77.326,64.907,51.721
少数股东权益,,,,
股东应占盈利/(亏损),105.376,77.326,64.907,51.721
股息,73.136,30.06,,
除税及股息后盈利/(亏损),32.24,47.266,64.907,51.721
基本每股盈利(仙),14.000000,10.000000,9.000000,7.000000
摊薄每股盈利(仙),14.000000,10.000000,9.000000,7.000000
每股股息(仙),3.500000,--,--,--
销售成本,-108.91,-83.466,-64.108,-46.933
折旧,-10.937,-7.865,-4.641,-4.276
销售及分销费用,-50.397,-36.229,-28.782,-17.416
一般及行政费用,-56.222,-38.115,-22.262,-12.377
利息费用/融资成本,--,--,--,--
毛利,263.79,187.311,142.056,101.345
经营盈利,124.888,93.37,72.957,57.791
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
