报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,224.331,210.07,181.347
除税前盈利/(亏损),35.572,27.004,28.148
税项,-5.427,-4.651,-4.86
除税后盈利/(亏损),30.145,22.353,23.288
少数股东权益,,,
股东应占盈利/(亏损),30.145,22.353,23.288
股息,,4.852,33
除税及股息后盈利/(亏损),30.145,17.501,-9.712
基本每股盈利(仙),5.020000,3.730000,3.880000
摊薄每股盈利(仙),5.020000,3.730000,3.880000
每股股息(仙),--,--,--
销售成本,-79.027,-74.491,-71.415
折旧,-9.456,-8.858,-4.078
销售及分销费用,-95.955,-90.164,-64.875
一般及行政费用,-18.402,-19.244,-17.675
利息费用/融资成本,-0.001,-0.002,-0.063
毛利,145.304,135.579,109.932
经营盈利,35.572,27.004,28.148
应占联营公司盈利,--,--,--
币种,港币,港币,港币
