报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,408.144,155.326,602.325,153.524,153.108,96.269,337.324,145.924
除税前盈利/(亏损),41.217,50.075,62.062,-6.68,-86.234,-16.8,128.459,5.934
税项,-6.541,-3.812,-7.677,-3.831,-5.402,-7.422,-16.814,-5.64
除税后盈利/(亏损),34.676,46.263,54.385,-10.511,-91.636,-24.222,111.645,0.294
少数股东权益,3.556,0.616,0.875,-1.242,-8.273,-1.439,-1.769,-1.758
股东应占盈利/(亏损),31.12,45.647,53.51,-9.269,-83.363,-22.783,113.414,2.052
股息,14.323,,14.323,,14.323,,23.872,
除税及股息后盈利/(亏损),16.797,45.647,39.187,-9.269,-97.686,-22.783,89.542,2.052
基本每股盈利(仙),6.500000,9.600000,11.200000,-1.900000,-17.500000,-4.800000,23.700000,0.400000
摊薄每股盈利(仙),6.500000,9.600000,11.200000,--,--,--,--,--
每股股息(仙),3.000000,--,3.000000,--,3.000000,--,5.000000,--
销售成本,-299.151,-105.793,-464.213,-115.964,-115.063,-61.571,-246.525,-118.394
折旧,-3.854,-2.103,-4.537,-2.322,-4.495,-2.172,-4.364,-2.287
销售及分销费用,-22.335,-8.96,-18.469,-8.074,-36.002,-10.736,-10.679,-3.366
一般及行政费用,-104.572,-24.314,-75.731,-35.601,-94.722,-46.102,-150.244,-84.658
利息费用/融资成本,-13.176,-4.767,-6.723,-3.333,-6.126,-3.33,-7.725,-4.002
毛利,108.993,49.533,138.112,37.56,38.045,34.698,90.799,27.53
经营盈利,37.184,40.435,26.702,-15.866,-72.381,-22.632,38.011,-21.042
应占联营公司盈利,--,--,--,--,1.115,1.19,22.396,9.412
币种,港币,港币,港币,港币,港币,港币,港币,港币
