报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,76.509,384.604,273.668,190.342,80.998,289.162,221.409,144.641
除税前盈利/(亏损),32.805,223.819,152.434,105.65,40.934,135.32,120.966,80.823
税项,-13.431,-70.961,-50.631,-34.405,-13.455,-31.886,-27.378,-17.754
除税后盈利/(亏损),19.374,152.858,101.803,71.245,27.479,103.434,93.588,63.069
少数股东权益,-2.517,0.096,-2.987,-4.502,-0.626,2.111,3.528,5.261
股东应占盈利/(亏损),21.891,152.762,104.79,75.747,28.105,101.323,90.06,57.808
股息,,44.34,,15.027,,30.239,,14.826
除税及股息后盈利/(亏损),21.891,108.422,104.79,60.72,28.105,71.084,90.06,42.982
基本每股盈利(仙),1.260000,8.820000,6.050000,4.370000,1.620000,6.170000,5.580000,3.720000
摊薄每股盈利(仙),1.260000,8.820000,6.050000,4.370000,1.620000,6.170000,5.580000,3.720000
每股股息(仙),--,3.000000,--,1.000000,--,1.749200,--,0.854700
销售成本,--,--,--,--,--,--,--,--
折旧,-0.559,-2.459,-1.722,-1.144,-0.691,-2.597,-2.113,-1.499
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-17.053,-79.017,-60.632,-42.806,-18.673,-78.992,-52.476,-31.834
利息费用/融资成本,-4.189,-16.89,-12.52,-8.275,-4.107,-7.79,-2.645,--
毛利,76.509,384.604,273.668,190.342,80.998,289.162,221.409,144.641
经营盈利,32.805,223.819,152.434,105.65,40.934,135.32,120.966,80.823
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
