报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,1516.655,672.948,3745.148,1944.869,1542.397,968.961,2627.288,1241.212
除税前盈利/(亏损),4125.682,2700.455,7258.155,3514.764,8196.126,98.553,9008.758,2575.726
税项,-327.049,-100.072,-564.966,-352.087,-476.395,-215.788,-255.859,-115.42
除税后盈利/(亏损),3798.633,2600.383,6693.189,3162.677,7719.731,-117.235,8752.899,2460.306
少数股东权益,89.747,37.677,332.877,231.661,-7.477,-1.851,7.972,13.794
股东应占盈利/(亏损),3708.886,2562.706,6360.312,2931.016,7727.208,-115.384,8744.927,2446.512
股息,6123.458,5932.696,14021,10186.686,11655.553,2861.429,13086.266,572.286
除税及股息后盈利/(亏损),-2414.572,-3369.99,-7660.688,-7255.67,-3928.345,-2976.813,-4341.339,1874.226
基本每股盈利(仙),194.400000,134.300000,333.400000,153.700000,405.100000,-6.100000,458.400000,128.300000
摊薄每股盈利(仙),194.400000,134.300000,333.400000,153.700000,405.100000,-6.100000,458.400000,128.300000
每股股息(仙),321.000000,311.000000,735.000000,534.000000,611.000000,150.000000,686.000000,30.000000
销售成本,-546.813,-233.053,-1597.606,-588.462,-255.521,-201.286,-422.694,-209.088
折旧,-8.68,-4.585,-10.304,-5.795,-55.832,-41.718,-23.381,-9.127
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,-279.254,-157.782,-331.484,-192.835,-344.79,-215.322,-296.296,-152.43
利息费用/融资成本,-295.173,-146.978,-176.505,-89.415,-316.865,-185.408,-395.018,-212.379
毛利,969.842,439.895,2147.542,1356.407,1286.876,767.675,2204.594,1032.124
经营盈利,4125.682,2700.455,7258.155,3514.764,8196.126,98.553,9008.758,2575.726
应占联营公司盈利,189.922,27.721,161.182,117.739,649.705,132.305,187.331,110.457
币种,港币,港币,港币,港币,港币,港币,港币,港币
