报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,430.093,378.761,364.491
除税前盈利/(亏损),41.81,22.803,22.298
税项,-7.597,-3.689,-3.835
除税后盈利/(亏损),34.213,19.114,18.463
少数股东权益,,,
股东应占盈利/(亏损),34.213,19.114,18.463
股息,,,
除税及股息后盈利/(亏损),34.213,19.114,18.463
基本每股盈利(仙),4.600000,2.500000,2.500000
摊薄每股盈利(仙),4.600000,2.500000,2.500000
每股股息(仙),--,--,--
销售成本,-346.845,-318.252,-303.145
折旧,-4.145,-4.465,-4.128
销售及分销费用,--,--,--
一般及行政费用,-43.404,-39.998,-41.938
利息费用/融资成本,-1.362,-0.968,-1.277
毛利,83.248,60.509,61.346
经营盈利,43.172,23.771,23.575
应占联营公司盈利,--,--,--
币种,港币,港币,港币
