报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
报表类型,一季报,年报,一季报,年报,年报,年报
营业额,76.939,430.717,74.218,386.043,377.75,401.218
除税前盈利/(亏损),-0.636,12.459,-3.607,18.379,15.833,18.217
税项,-0.917,-5.929,,-5.415,-3.955,-6.501
除税后盈利/(亏损),-1.553,6.53,-3.607,12.964,11.878,11.716
少数股东权益,,,,-0.401,-1.672,0.169
股东应占盈利/(亏损),-1.553,6.53,-3.607,13.365,13.55,11.547
股息,,,,,45,
除税及股息后盈利/(亏损),-1.553,6.53,-3.607,13.365,-31.45,11.547
基本每股盈利(仙),-0.250000,1.070000,-0.680000,2.510000,2.820000,2.410000
摊薄每股盈利(仙),-0.250000,1.070000,-0.570000,2.290000,2.680000,2.390000
每股股息(仙),--,--,--,--,900.000000,--
销售成本,-52.499,-311.635,-51.754,-260.46,-269.276,-290.76
折旧,--,-20.823,--,-13.783,-13.361,-15.396
销售及分销费用,-6.152,-26.972,-6.224,-31.848,-29.317,-30.51
一般及行政费用,-20.61,-65.776,-18.382,-60.311,-58.483,-56.001
利息费用/融资成本,-1.629,-8.321,-2.065,-8.296,-7.537,-6.729
毛利,24.44,119.082,22.464,125.583,108.474,110.458
经营盈利,0.993,20.78,-1.542,26.675,23.37,24.946
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
