报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,12.483,46.491,11.544,47.453,49.753
除税前盈利/(亏损),-5.337,0.243,-1.926,11.076,11.658
税项,-0.366,-2.076,-0.418,-2.076,-2.02
除税后盈利/(亏损),-5.703,-1.833,-2.344,9,9.638
少数股东权益,,1.653,0.631,3.024,3.669
股东应占盈利/(亏损),-5.703,-3.486,-2.975,5.976,5.969
股息,,,,,
除税及股息后盈利/(亏损),-5.703,-3.486,-2.975,5.976,5.969
基本每股盈利(仙),-0.850000,-0.680000,-0.700000,1.400000,1.400000
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-7.044,-25.983,-6.376,-26.643,-28.784
折旧,--,-1.179,--,-1.088,-1.137
销售及分销费用,--,--,--,--,--
一般及行政费用,-3.096,-9.211,-2.764,-9.585,-9.471
利息费用/融资成本,-0.001,-0.009,-0.003,-0.015,-0.016
毛利,5.439,20.508,5.168,20.81,20.969
经营盈利,-5.337,0.243,-1.926,11.076,11.658
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
