报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-09-30,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,中报,年报
营业额,237.723,1225.545,669.666,249.092,104.77,129.494,42.946,56.211
除税前盈利/(亏损),31.753,145.532,171.694,-65.083,-25,-18.616,-35.044,-3.359
税项,-10.809,-74.739,-74.017,-10.639,-5.404,-4.103,-0.87,-0.497
除税后盈利/(亏损),12.108,70.793,97.677,-75.722,-30.404,-22.719,-35.914,-3.856
少数股东权益,,,,0.148,,-0.006,-0.003,-0.006
股东应占盈利/(亏损),12.108,70.793,97.677,-75.87,-30.404,-22.713,-35.911,-3.85
股息,,,,,,,,
除税及股息后盈利/(亏损),12.108,70.793,97.677,-75.87,-30.404,-22.713,-35.911,-3.85
基本每股盈利(仙),0.300000,4.200000,8.020000,-8.840000,-3.540000,-2.790000,-4.670000,-0.680000
摊薄每股盈利(仙),0.180000,1.200000,1.660000,-8.840000,-3.540000,-2.790000,-4.670000,-0.680000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-181.475,-889.767,-375.092,-145.295,-54.88,-73.487,-21.114,-16.797
折旧,-1.024,-4.453,-2.199,-2.262,-1.032,-1.175,-0.413,-0.762
销售及分销费用,-9.226,-49.161,-38.539,-56.736,-27.804,-33.327,-14.836,-1.036
一般及行政费用,-28.915,-97.347,-65.812,-102.76,-45.497,-64.907,-39.483,-65.954
利息费用/融资成本,-24.836,-34.172,-14.79,-25.443,-11.432,-16.743,-5.808,-3.747
毛利,56.248,335.778,294.574,103.797,49.89,56.007,21.832,39.414
经营盈利,31.753,145.532,171.694,-65.083,-25,-18.616,-35.044,-3.359
应占联营公司盈利,--,--,--,-1.938,-1.247,2.641,-0.891,-1.081
币种,人民币,人民币,人民币,港币,港币,港币,港币,港币
