报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,3519.581,2465.291,835.345,291.218
除税前盈利/(亏损),139.498,64.676,41.851,47.403
税项,-38.557,-14.412,-8.897,-9.894
除税后盈利/(亏损),100.941,50.264,32.954,37.509
少数股东权益,-0.364,,-0.002,
股东应占盈利/(亏损),101.305,50.264,32.956,37.509
股息,,,,
除税及股息后盈利/(亏损),101.305,50.264,32.956,37.509
基本每股盈利(仙),12.000000,9.000000,7.000000,8.000000
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-3268.296,-2315.776,-735.866,-219.408
折旧,-2.368,-2.136,-1.557,-0.369
销售及分销费用,-41.726,-43.398,-27.998,-10.827
一般及行政费用,-51.339,-44.136,-31.548,-13.48
利息费用/融资成本,--,--,--,--
毛利,251.285,149.515,99.479,71.81
经营盈利,139.498,64.676,41.851,47.403
应占联营公司盈利,-0.018,0.35,0.4,-0.4
币种,人民币,人民币,人民币,人民币
