报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,671.805,730.471,894.725
除税前盈利/(亏损),25.657,26.715,11.37
税项,-4.628,-4.358,-1.734
除税后盈利/(亏损),21.029,22.357,9.636
少数股东权益,0.046,0.138,0.161
股东应占盈利/(亏损),20.983,22.219,9.475
股息,,,
除税及股息后盈利/(亏损),20.983,22.219,9.475
基本每股盈利(仙),3.080000,3.260000,1.390000
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-630.454,-688.591,-869.26
折旧,-2.647,-2.667,-2.52
销售及分销费用,-4.127,-4.084,-4.065
一般及行政费用,-7.651,-9.85,-9.388
利息费用/融资成本,-0.589,-0.737,-0.762
毛利,41.351,41.88,25.465
经营盈利,25.657,26.715,11.37
应占联营公司盈利,--,--,--
币种,港币,港币,港币
