报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,580.481,463.937,422.665,376.294
除税前盈利/(亏损),27.139,31.49,35.931,35.497
税项,-4.276,-7.386,-10.222,-9.465
除税后盈利/(亏损),22.863,24.104,25.709,26.032
少数股东权益,,,,
股东应占盈利/(亏损),22.863,24.104,25.709,26.032
股息,,,,
除税及股息后盈利/(亏损),22.863,24.104,25.709,26.032
基本每股盈利(仙),15.820000,,,
摊薄每股盈利(仙),15.820000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-470.258,-360.692,-334.11,-293.076
折旧,-21.177,-20.28,-19.412,-18.386
销售及分销费用,-11.393,-9.954,-8.221,-7.551
一般及行政费用,-64.229,-55.781,-43.345,-39.181
利息费用/融资成本,-8.87,-6.583,-2.866,-1.003
毛利,110.223,103.245,88.555,83.218
经营盈利,27.139,31.49,35.931,35.497
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
