报告期,2017-10-31,2017-04-30,2016-10-31,2016-04-30,2015-04-30
报表类型,中报,年报,中报,年报,年报
营业额,239.721,367.146,249.762,445.756,520.966
除税前盈利/(亏损),20.94,19.474,25.973,47.611,46.176
税项,-3.918,3.11,4.562,-13.586,-9.644
除税后盈利/(亏损),17.022,22.584,30.535,34.025,36.532
少数股东权益,,,,,
股东应占盈利/(亏损),17.022,22.584,30.535,34.025,36.532
股息,,,,,
除税及股息后盈利/(亏损),17.022,22.584,30.535,34.025,36.532
基本每股盈利(仙),2.100000,,4.100000,,
摊薄每股盈利(仙),2.100000,--,4.100000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-179.813,-266.682,-182.077,-314.74,-394.762
折旧,-9.178,-21.234,-10.736,-25.72,-28.882
销售及分销费用,-13.441,-28.392,-17.568,-40.612,-39.998
一般及行政费用,-23.121,-47.895,-22.323,-40.96,-40.251
利息费用/融资成本,-3.1,-5.904,-2.974,-4.315,-5.192
毛利,59.908,100.464,67.685,131.016,126.204
经营盈利,24.036,25.36,28.934,50.777,48.531
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
