报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
报表类型,一季报,年报,一季报,年报,年报,年报
营业额,37.304,176.81,36.504,172.347,168.802,174.809
除税前盈利/(亏损),1.626,13.972,2.885,14.683,10.536,8.18
税项,-0.215,-4.423,-0.686,-5.258,-3.174,-2.411
除税后盈利/(亏损),1.411,9.549,2.199,9.425,7.362,5.769
少数股东权益,,,,,,
股东应占盈利/(亏损),1.411,9.549,2.199,9.425,7.362,5.769
股息,,,,,,
除税及股息后盈利/(亏损),1.411,9.549,2.199,9.425,7.362,5.769
基本每股盈利(仙),0.180000,1.400000,0.320000,1.400000,1.100000,0.800000
摊薄每股盈利(仙),0.180000,1.400000,0.320000,1.400000,1.100000,0.800000
每股股息(仙),--,--,--,--,--,--
销售成本,-29.52,-135.79,-28.701,-133.426,-136.775,-144.476
折旧,-0.405,-1.691,-0.426,-1.716,-1.861,-2.304
销售及分销费用,-1.801,-10.596,-2.12,-9.269,-9.599,-9.485
一般及行政费用,-4.381,-15.102,-3.094,-12.268,-12.427,-13.711
利息费用/融资成本,--,--,--,--,-0.724,-1.479
毛利,7.784,41.02,7.803,38.921,32.027,30.333
经营盈利,1.626,13.972,2.885,14.683,10.536,8.18
应占联营公司盈利,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币
