报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,4.962,19.688,4.919,15.4,12.906
除税前盈利/(亏损),-0.39,-1.92,-0.575,1.644,0.939
税项,-0.048,-0.342,-0.065,-0.276,-0.202
除税后盈利/(亏损),-0.438,-2.262,-0.64,1.368,0.737
少数股东权益,,,,,
股东应占盈利/(亏损),-0.438,-2.262,-0.64,1.368,0.737
股息,,,,,
除税及股息后盈利/(亏损),-0.438,-2.262,-0.64,1.368,0.737
基本每股盈利(仙),-0.110000,,,,
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-1.144,-4.597,-1.124,-3.883,-3.473
折旧,-0.256,-0.977,-0.24,-0.718,-0.612
销售及分销费用,-0.018,-0.074,-0.002,-0.066,-0.068
一般及行政费用,--,--,--,--,--
利息费用/融资成本,-0.029,-0.218,-0.047,-0.159,-0.096
毛利,3.765,15.091,3.795,11.517,9.433
经营盈利,-0.39,-1.92,-0.575,1.644,0.939
应占联营公司盈利,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
