报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,301.313,280.67,221.591,231.124
除税前盈利/(亏损),17.866,28.898,25.286,22.28
税项,-5.021,-4.798,-4.176,-3.676
除税后盈利/(亏损),12.845,24.1,21.11,18.604
少数股东权益,,,,
股东应占盈利/(亏损),12.845,24.1,21.11,18.604
股息,,,,
除税及股息后盈利/(亏损),12.845,24.1,21.11,18.604
基本每股盈利(仙),8.560000,48.200000,14.070000,37.200000
摊薄每股盈利(仙),8.560000,48.200000,14.070000,37.200000
每股股息(仙),--,--,--,--
销售成本,-261.267,-244.687,-191.12,-201.415
折旧,-0.055,-0.037,-0.027,-0.031
销售及分销费用,--,--,--,--
一般及行政费用,-22.077,-7.085,-5.185,-7.429
利息费用/融资成本,-0.103,--,--,--
毛利,40.046,35.983,30.471,29.709
经营盈利,17.866,28.898,25.286,22.28
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
