报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30
报表类型,中报,年报,中报,年报
营业额,6.55,12.186,6.014,12.343
除税前盈利/(亏损),-0.823,1.008,0.905,1.513
税项,-0.15,-0.268,-0.134,-0.246
除税后盈利/(亏损),-0.973,0.74,0.771,1.267
少数股东权益,,,,
股东应占盈利/(亏损),-0.973,0.74,0.771,1.267
股息,,,,
除税及股息后盈利/(亏损),-0.973,0.74,0.771,1.267
基本每股盈利(仙),-0.160000,,0.130000,
摊薄每股盈利(仙),-0.160000,--,0.130000,--
每股股息(仙),--,--,--,--
销售成本,-4.968,-8.693,-4.285,-9.085
折旧,-0.158,-0.355,-0.178,-0.412
销售及分销费用,-0.629,-1.085,-0.523,-1.126
一般及行政费用,-0.416,-0.762,-0.344,-0.743
利息费用/融资成本,-0.01,-0.01,-0.005,-0.007
毛利,1.582,3.493,1.729,3.258
经营盈利,-0.813,1.018,0.91,1.52
应占联营公司盈利,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元
