报告期,2017-06-30,2016-06-30,2015-06-30
报表类型,年报,年报,年报
营业额,21.138,17.408,17.114
除税前盈利/(亏损),6.769,4.957,7.333
税项,-2.167,-1.515,-2.572
除税后盈利/(亏损),4.602,3.442,4.761
少数股东权益,,,
股东应占盈利/(亏损),4.602,3.442,4.761
股息,,,13.889
除税及股息后盈利/(亏损),4.602,3.442,-9.128
基本每股盈利(仙),0.257600,0.226000,0.317400
摊薄每股盈利(仙),0.256500,0.226000,0.317400
每股股息(仙),--,--,--
销售成本,-9.977,-8.055,-7.712
折旧,-0.253,-0.217,-0.136
销售及分销费用,-1.199,-1.161,-0.635
一般及行政费用,-3.448,-3.591,-1.762
利息费用/融资成本,--,--,--
毛利,11.161,9.353,9.402
经营盈利,6.769,4.957,7.333
应占联营公司盈利,--,--,--
币种,澳元,澳元,澳元
