报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-06-30.1,2014-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,3464.573,1497.294,3678.153,1449.61,3688.161,958.977,2404.316,
除税前盈利/(亏损),131.563,73.092,122.485,0.662,58.721,-110.983,14.83,-8.892
税项,-20.435,-8.004,-31.375,3.348,-32.312,10.998,-18.869,
除税后盈利/(亏损),111.128,65.088,91.11,4.01,26.409,-99.985,-4.039,-8.892
少数股东权益,-4.606,-2.085,,,,,,
股东应占盈利/(亏损),115.734,67.173,91.11,4.01,26.409,-99.985,-4.039,-8.892
股息,34.491,,35.275,,,,,
除税及股息后盈利/(亏损),81.243,67.173,55.835,4.01,26.409,-99.985,-4.039,-8.892
基本每股盈利(仙),5.750000,3.350000,4.890000,0.230000,3.370000,-16.590000,-0.680000,-1.150000
摊薄每股盈利(仙),5.700000,3.290000,4.890000,0.230000,2.700000,-16.590000,-0.680000,-1.150000
每股股息(仙),2.000000,--,1.789000,--,--,--,--,--
销售成本,-3184.754,-1354.384,-3472.63,-1404.626,-3398.545,-895.293,-2190.618,--
折旧,-48.054,-22.555,-44.43,-22.915,-58.011,-10.199,-28.414,--
销售及分销费用,-42.147,-20.805,-36.267,-18.367,-53.724,-15.892,-33.404,--
一般及行政费用,-115.194,-38.939,-73.907,-35.411,-83.77,-27.032,-59.276,-8.892
利息费用/融资成本,-31.321,-16.523,-20.239,-7.949,-9.939,-2.994,-5.082,--
毛利,279.819,142.91,205.523,44.984,289.616,63.684,213.698,--
经营盈利,131.563,73.092,122.485,0.662,58.721,-110.983,14.83,-8.892
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,港币
